# file...... NODE_1.csv
# date...... Sun May  8 02:06:38 2022
# user...... void
# host...... (null)
# target.... node 0
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA,current_A,current_B,current_C,power_A,power_B,power_C,measured_angle_A,measured_frequency_A,measured_angle_B,measured_frequency_B,measured_angle_C,measured_frequency_C,measured_frequency
2010-01-01 00:00:00 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:01 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:02 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:03 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:04 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:05 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:06 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:07 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:08 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:09 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
2010-01-01 00:00:10 PST,+2401.96+0.0256884d,+2402.75-120.022d,+2400.63+119.996d,+4161.99+30.0075d,+4159.48-90.0274d,+4158.54+150.02d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+60,+0,+60,+0,+60,+60
