# file...... output/compare.csv
# date...... Tue May 10 10:08:01 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,Bus13:measured_real_energy, Bus22:measured_real_energy, Bus13:measured_power.real, Bus22:measured_power.real, Bus13:measured_power.imag, Bus22:measured_power.imag
2019-04-21 00:00:00 GMT,+0,+0,+5900.26,+5900.26,+4425.19,+4425.19
2019-04-21 00:10:00 GMT,+1000.33,+697.795,+6259.23,+4116.19,+4694.42,+3087.14
2019-04-21 00:20:00 GMT,+2052.5,+1415.38,+6426.64,+4393.27,+4819.98,+3294.95
2019-04-21 00:30:00 GMT,+3124.6,+2158.38,+6287.23,+4478.79,+4715.42,+3359.1
2019-04-21 00:40:00 GMT,+4168.14,+2879.71,+6109.4,+4164.95,+4590.44,+3132.1
2019-04-21 00:50:00 GMT,+5177.27,+3567.61,+5903.04,+3972.48,+4427.28,+2979.36
2019-04-21 01:00:00 GMT,+6155.74,+4225.23,+5810.79,+3894.12,+4360.02,+2922.52
2019-04-21 01:10:00 GMT,+7123.28,+4874.18,+5782.92,+3880.14,+4337.19,+2910.11
2019-04-21 01:20:00 GMT,+8082.98,+5517.63,+5712.79,+3823.9,+4284.59,+2867.93
2019-04-21 01:30:00 GMT,+9040.6,+6160.19,+5818.46,+3942.08,+4363.85,+2956.56
2019-04-21 01:40:00 GMT,+10009.6,+6817.49,+5806.32,+3943.82,+4354.74,+2957.86
2019-04-21 01:50:00 GMT,+10978,+7476.52,+5799,+3950.39,+4349.25,+2962.79
2019-04-21 02:00:00 GMT,+11947.8,+8139.31,+5932.07,+4098.74,+4449.05,+3074.05
2019-04-21 02:10:00 GMT,+12939,+8825.83,+5965.56,+4144.72,+4474.17,+3108.54
2019-04-21 02:20:00 GMT,+13936.1,+9520.57,+5949.75,+4142.81,+4462.31,+3107.11
2019-04-21 02:30:00 GMT,+14919.1,+10203.5,+5776.42,+3983.37,+4332.32,+2987.52
2019-04-21 02:40:00 GMT,+15876.2,+10862.7,+5670.1,+3890.93,+4252.58,+2918.2
2019-04-21 02:50:00 GMT,+16816.5,+11507.6,+5634.53,+3869.25,+4225.89,+2901.94
2019-04-21 03:00:00 GMT,+17759.9,+12157.8,+5774.57,+4023.18,+4330.93,+3017.38
2019-04-21 03:10:00 GMT,+18727.6,+12834.6,+5844.24,+4106.74,+4383.18,+3080.06
2019-04-21 03:20:00 GMT,+19707.8,+13526.3,+5898.8,+4175.18,+4424.1,+3131.39
2019-04-21 03:30:00 GMT,+20693.5,+14225.7,+5925.71,+4215.99,+4444.28,+3161.99
2019-04-21 03:40:00 GMT,+21677.4,+14925.7,+5827.34,+4131.51,+4370.51,+3098.63
2019-04-21 03:50:00 GMT,+22650.7,+15617.5,+5863.35,+4181.41,+4397.51,+3136.05
2019-04-21 04:00:00 GMT,+23624.9,+16312.3,+5823.28,+4155.22,+4367.46,+3116.42
2019-04-21 04:10:00 GMT,+24601.5,+17012,+5770.32,+4116.16,+4327.74,+3087.12
2019-04-21 04:20:00 GMT,+25568.2,+17704,+5917.39,+4277.11,+4438.04,+3207.83
2019-04-21 04:30:00 GMT,+26561.6,+18425,+6101.29,+4474.9,+4575.97,+3356.18
2019-04-21 04:40:00 GMT,+27592.2,+19185.6,+6334.54,+4722.04,+4750.9,+3541.53
2019-04-21 04:50:00 GMT,+28649.7,+19975.3,+6473.23,+4874.61,+4854.92,+3655.96
2019-04-21 05:00:00 GMT,+29723.8,+20784,+6305.08,+4720.36,+4728.81,+3540.27
2019-04-21 05:10:00 GMT,+30781.6,+21578.7,+6385.82,+4814.99,+4789.37,+3611.24
2019-04-21 05:20:00 GMT,+31843.2,+22379.6,+6311.51,+4754.57,+4733.63,+3565.93
2019-04-21 05:30:00 GMT,+32882.8,+23160.8,+6043.48,+4500.42,+4552.79,+3395.49
2019-04-21 05:40:00 GMT,+33874.6,+23896.4,+5988.3,+4459.14,+4574.78,+3427.91
2019-04-21 05:50:00 GMT,+34848.5,+24616.7,+5434.19,+3920.3,+4259.85,+3124.44
2019-04-21 06:00:00 GMT,+35723.7,+25240.6,+4898.83,+3398.83,+3674.13,+2549.13
2019-04-21 06:10:00 GMT,+36502,+25769.9,+3962.95,+2475.45,+2972.21,+1856.59
2019-04-21 06:20:00 GMT,+37128.3,+26149.3,+3592.79,+2119.18,+2694.59,+1589.39
2019-04-21 06:30:00 GMT,+37718.8,+26495.2,+3450.21,+1990.49,+2587.66,+1492.87
2019-04-21 06:40:00 GMT,+38260.1,+26794.2,+2535.1,+1089.27,+1901.32,+816.95
2019-04-21 06:50:00 GMT,+38638.8,+26933.3,+1487.01,+55.0684,+1115.26,+41.3013
2019-04-21 07:00:00 GMT,+38849.2,+26906.3,+733.925,-684.13,+550.444,-513.098
2019-04-21 07:10:00 GMT,+38949.1,+26770.9,+660.737,-743.419,+698.643,-354.475
2019-04-21 07:20:00 GMT,+39042,+26630.7,+480.544,-909.73,+760.87,-281.834
2019-04-21 07:30:00 GMT,+39106.9,+26464.9,+568.651,-807.733,+831.422,-200.864
2019-04-21 07:40:00 GMT,+39190.9,+26320.5,+477.087,-885.408,+899.81,-122.063
2019-04-21 07:50:00 GMT,+39254.9,+26158.5,+310.428,-1038.18,+918.975,-92.4784
2019-04-21 08:00:00 GMT,+39295.9,+25975.8,+136.107,-1198.62,+893.568,-107.473
2019-04-21 08:10:00 GMT,+39303.9,+25762.5,-151.518,-1472.37,+745.332,-245.305
2019-04-21 08:20:00 GMT,+39265.1,+25504.6,-422.15,-1729.11,+564.443,-415.772
2019-04-21 08:30:00 GMT,+39183,+25205.8,-605.994,-1899.06,+446.966,-522.831
2019-04-21 08:40:00 GMT,+39080.1,+24888.4,-616.119,-1895.28,+439.005,-520.365
2019-04-21 08:50:00 GMT,+38981.6,+24577.8,-518.403,-1783.68,+449.25,-499.705
2019-04-21 09:00:00 GMT,+38898.8,+24285.1,-486.553,-1737.94,+454.238,-484.299
2019-04-21 09:10:00 GMT,+38827.7,+24006.5,-329.058,-1566.56,+460.802,-467.322
2019-04-21 09:20:00 GMT,+38777.6,+23751.2,-210.105,-1433.72,+448.684,-469.023
