#Feni weather file
$city_name=Feni
$timezone=GMT
solar_diff,solar_dir,solar_global,temperature,wind_speed
04:20:06:00:00,35.5624,42.2349,40.5971,31.7,1.17723
04:20:06:01:00,36.8831,46.4832,42.4141,31.7,0.853076
04:20:06:02:00,37.9277,49.4002,43.9965,31.7,0.709637
04:20:06:03:00,39.3278,52.8135,46.0222,31.7033,0.811927
04:20:06:04:00,40.9982,56.2554,48.345,31.7483,1.25064
04:20:06:05:00,42.7063,60.0543,50.9157,31.7083,1.39161
04:20:06:06:00,44.2982,64.0674,53.329,31.705,1.21344
04:20:06:07:00,45.395,68.5661,55.1713,31.7383,0.912209
04:20:06:08:00,46.623,72.365,57.0355,31.7067,0.7417
04:20:06:09:00,48.031,76.7352,59.398,31.7033,0.806325
04:20:06:10:00,49.7112,81.9194,62.0518,31.7367,0.751011
04:20:06:11:00,51.3467,86.4182,64.6385,31.7383,1.04573
04:20:06:12:00,52.7787,90.7027,67.281,31.7967,1.12502
04:20:06:13:00,54.4167,94.0874,69.8898,31.8267,0.992513
04:20:06:14:00,55.7853,97.7149,72.2737,31.8983,0.828717
04:20:06:15:00,57.3232,102.499,74.9175,31.905,1.02149
04:20:06:16:00,58.9048,105.313,77.7798,31.985,0.926907
04:20:06:17:00,60.2608,108.526,80.0925,32,0.694302
04:20:06:18:00,61.4728,113.796,82.3002,32.03,0.853799
04:20:06:19:00,63.045,116.095,84.7193,32.1,0.879264
04:20:06:20:00,64.8993,118.68,87.5982,32.17,0.934088
04:20:06:21:00,66.5777,124.979,90.6107,32.2083,1.19445
04:20:06:22:00,67.7565,127.706,93.1298,32.2917,0.85419
04:20:06:23:00,69.09,132.019,95.9152,32.3233,1.09572
04:20:06:24:00,70.612,135.704,98.763,32.4,1.08424
04:20:06:25:00,72.4503,140.088,102.15,32.4,1.23734
04:20:06:26:00,74.0547,144.116,105.376,32.3567,1.15957
04:20:06:27:00,75.835,150.9,109.273,32.3217,1.12207
04:20:06:28:00,77.4442,157.869,112.856,32.33,1.43438
04:20:06:29:00,79.1023,162.468,116.114,32.3017,1.26973
04:20:06:30:00,80.2717,165.439,118.599,32.3,1.20527
04:20:06:31:00,81.8638,170.523,122.097,32.3098,1.51148
04:20:06:32:00,83.3768,174.836,125.34,32.3733,1.03878
04:20:06:33:00,84.4692,180.249,128.502,32.4017,1.13082
04:20:06:34:00,86.369,185.59,132.024,32.4983,1.16662
04:20:06:35:00,87.7853,191.588,135.5,32.5,1.10546
04:20:06:36:00,88.8918,194.887,138.648,32.585,1.29206
04:20:06:37:00,90.2057,201.457,142.409,32.6083,1.10237
04:20:06:38:00,91.3068,199.871,143.571,32.6317,1.43078
04:20:06:39:00,92.5732,203.456,146.745,32.6983,0.968259
04:20:06:40:00,93.5865,207.812,149.611,32.7583,1.27769
04:20:06:41:00,95.0413,211.283,153.219,32.8,1.5259
04:20:06:42:00,96.7128,216.31,157.465,32.8433,1.2123
04:20:06:43:00,98.1755,222.408,161.09,32.9,1.2663
04:20:06:44:00,99.3858,228.935,164.66,32.9,0.890537
04:20:06:45:00,100.347,235.133,168.049,32.995,0.857317
04:20:06:46:00,101.568,239.191,171.383,33,0.839179
04:20:06:47:00,102.575,244.09,174.565,33.0066,0.897178
04:20:06:48:00,104.588,248.915,179.5,33.0017,1.54692
04:20:06:49:00,106.215,254.799,183.393,33.0567,1.07854
04:20:06:50:00,107.586,257.041,186.516,33.0217,1.34757
04:20:06:51:00,108.859,259.654,189.524,33.04,1.04702
04:20:06:52:00,110.071,259.454,192.161,33.1,1.12815
04:20:06:53:00,111.826,266.067,197.077,33.1,1.23532
04:20:06:54:00,113.121,269.452,199.956,33.1733,1.09535
04:20:06:55:00,114.545,273.636,204.388,33.2,0.960542
04:20:06:56:00,116.066,279.92,208.445,33.2217,1.06223
04:20:06:57:00,117.342,283.847,212.277,33.3,1.0479
04:20:06:58:00,118.474,288.76,216.513,33.3433,0.776599
04:20:06:59:00,119.582,292.616,219.21,33.3967,1.23668
04:20:07:00:00,121.233,293.659,222.018,33.4,1.27242
04:20:07:01:00,122.043,295.202,225.744,33.4617,1.16942
04:20:07:02:00,123.287,300.343,229.998,33.5,1.2229
04:20:07:03:00,124.183,306.855,233.839,33.5133,0.792125
04:20:07:04:00,125.368,306.555,236.089,33.5983,1.04895
04:20:07:05:00,126.384,309.297,239.361,33.6,1.19775
04:20:07:06:00,127.076,317.395,244.402,33.615,0.89643
04:20:07:07:00,128.769,321.851,248.467,33.6933,1.51736
04:20:07:08:00,130.609,323.765,252.823,33.7,1.35117
04:20:07:09:00,131.957,333.619,258.576,33.7217,1.69841
04:20:07:10:00,133.461,340.346,263.64,33.8,1.71736
04:20:07:11:00,134.589,342.031,266.788,33.8,1.44173
04:20:07:12:00,135.644,345.101,270.667,33.82,1.51686
04:20:07:13:00,137.079,349.371,275.12,33.9,0.959821
04:20:07:14:00,138.004,352.271,278.999,33.9,1.20735
04:20:07:15:00,139.408,356.127,283.376,33.9,1.18036
04:20:07:16:00,140.724,362.682,288.556,33.91,1.05957
04:20:07:17:00,142.282,364.082,291.737,33.9067,1.46128
04:20:07:18:00,143.801,362.968,294.163,33.9,1.35298
04:20:07:19:00,145.196,370.451,299.732,33.9033,1.82149
04:20:07:20:00,146.492,372.979,304.106,33.9,1.38084
04:20:07:21:00,147.314,371.237,305.331,33.9,1.31656
04:20:07:22:00,149.105,378.035,311.912,33.97,1.92913
04:20:07:23:00,151.086,376.292,314.322,34,1.27174
04:20:07:24:00,151.617,377.464,316.633,34.0067,0.998422
04:20:07:25:00,152.783,382.719,321.415,34.1,0.776193
04:20:07:26:00,153.958,382.876,323.766,34.1,0.635946
04:20:07:27:00,155.565,382.134,325.969,34.1017,0.691528
04:20:07:28:00,157.152,375.95,326.992,34.1983,1.09381
04:20:07:29:00,158.977,382.511,333.433,34.2,1.04982
04:20:07:30:00,161.259,388.231,340.294,34.2115,1.39286
04:20:07:31:00,164.112,386.732,344.335,34.295,1.49991
04:20:07:32:00,166.608,384.961,347.293,34.3,0.908768
04:20:07:33:00,168.053,389.203,351.86,34.3117,0.832902
04:20:07:34:00,170.024,393.945,357.409,34.39,0.811957
04:20:07:35:00,172.359,399.057,363.394,34.3433,0.654951
04:20:07:36:00,173.912,398.972,365.798,34.3817,0.550607
04:20:07:37:00,175.399,397.972,368.435,34.4,0.998039
04:20:07:38:00,176.95,402.685,373.942,34.4,0.988988
04:20:07:39:00,177.716,409.083,379.105,34.4167,0.819261
04:20:07:40:00,178.232,410.954,382.181,34.5,0.623148
04:20:07:41:00,178.417,411.882,384.168,34.5,0.639747
04:20:07:42:00,178.318,419.595,389.522,34.5167,0.648698
04:20:07:43:00,177.59,423.479,392.001,34.6,1.09824
04:20:07:44:00,176.81,420.337,391.998,34.6,1.8711
04:20:07:45:00,176.062,426.407,396.231,34.6083,1.30275
04:20:07:46:00,175.302,430.12,398.127,34.6967,1.34818
04:20:07:47:00,174.884,432.505,400.176,34.7,1.43712
04:20:07:48:00,174.994,434.305,403.334,34.7,1.85701
04:20:07:49:00,175.704,436.09,407.371,34.765,2.05757
04:20:07:50:00,176.828,437.332,409.559,34.8,2.66056
04:20:07:51:00,177.636,438.503,412.667,34.8,2.19689
04:20:07:52:00,178.125,441.559,416.554,34.83,1.88464
04:20:07:53:00,178.391,446.058,420.51,34.895,1.89869
04:20:07:54:00,179.099,453.213,426.983,34.9,2.25539
04:20:07:55:00,180.845,458.083,432.769,34.9033,2.66894
04:20:07:56:00,182.443,457.369,435.718,34.9083,2.07573
04:20:07:57:00,183.476,457.769,438.558,34.9733,1.98731
04:20:07:58:00,183.417,457.812,440.176,35,1.56441
04:20:07:59:00,182.535,460.154,441.795,35,1.46195
04:20:08:00:00,182.218,459.554,442.457,35,1.97494
04:20:08:01:00,184.839,468.409,451.545,35.0467,2.6407
04:20:08:02:00,187.433,466.581,455.006,35.1,2.06205
04:20:08:03:00,188.028,467.581,458.603,35.1,1.9232
04:20:08:04:00,188.681,470.094,462.103,35.1,2.22459
04:20:08:05:00,189.168,472.594,465.265,35.1,2.16525
04:20:08:06:00,189.939,477.149,470.068,35.1,1.53781
04:20:08:07:00,190.614,473.765,469.915,35.1467,2.10881
04:20:08:08:00,192.268,475.721,474.445,35.1567,2.33405
04:20:08:09:00,193.487,475.664,477.025,35.1983,1.90365
04:20:08:10:00,193.842,475.307,479.36,35.2,2.6903
04:20:08:11:00,194.985,476.421,481.781,35.2,2.69884
04:20:08:12:00,195.886,482.219,489.387,35.2,1.78702
04:20:08:13:00,195.209,485.218,491.036,35.27,1.74306
04:20:08:14:00,194.758,485.661,492.172,35.2967,1.53731
04:20:08:15:00,194.469,492.359,498.728,35.3,1.13226
04:20:08:16:00,195.837,499.015,504.539,35.3467,1.9104
04:20:08:17:00,197.958,497.272,507.423,35.3983,1.79937
04:20:08:18:00,199.605,490.917,506.887,35.4,2.17421
04:20:08:19:00,200.499,491.874,510.085,35.4267,2.06532
04:20:08:20:00,201.789,495.358,515.463,35.415,3.07433
04:20:08:21:00,203.217,492.516,516.514,35.415,2.90104
04:20:08:22:00,202.858,497.101,520.428,35.4967,3.1131
04:20:08:23:00,202.666,502.499,525.604,35.5,2.68628
04:20:08:24:00,202.536,508.055,531.202,35.5767,3.13466
04:20:08:25:00,204.177,516.981,539.154,35.6067,2.31461
04:20:08:26:00,204.644,518.352,541.315,35.6767,2.3234
04:20:08:27:00,205.495,513.782,541.886,35.7,2.04202
04:20:08:28:00,205.831,510.183,542.292,35.7683,1.75158
04:20:08:29:00,205.604,517.995,547.938,35.8,1.94077
04:20:08:30:00,206.818,525.378,555.698,35.8033,1.38302
04:20:08:31:00,206.799,522.022,554.491,35.8933,1.65476
04:20:08:32:00,207.272,526.321,559.504,35.9,0.95143
04:20:08:33:00,208.761,524.864,561.345,35.9,1.89334
04:20:08:34:00,210.781,519.923,561.205,35.9,2.03825
04:20:08:35:00,211.396,511.711,558.311,35.9,1.66168
04:20:08:36:00,211.295,511.882,560.376,35.9,1.7938
04:20:08:37:00,211.963,524.936,571.25,35.8717,1.47153
04:20:08:38:00,211.799,525.493,572.68,35.8017,1.74236
04:20:08:39:00,212.047,526.392,575.362,35.8,1.76994
04:20:08:40:00,212,532.048,581.468,35.8,1.48614
04:20:08:41:00,211.538,535.333,583.883,35.8,1.9518
04:20:08:42:00,211.769,530.634,583.627,35.8,2.62791
04:20:08:43:00,212.345,543.945,596.66,35.8133,2.40768
04:20:08:44:00,212.658,547.344,600.49,35.8067,1.52913
04:20:08:45:00,214.014,543.073,600.158,35.8317,1.61554
04:20:08:46:00,215.877,541.188,601.388,35.8867,2.51103
04:20:08:47:00,217.736,536.589,601.048,35.8933,2.80411
04:20:08:48:00,218.458,535.461,602.585,35.9,2.85066
04:20:08:49:00,219.076,535.847,605.507,35.9,2.41116
04:20:08:50:00,218.98,539.318,609.31,35.9,1.77787
04:20:08:51:00,218.356,543.245,613.719,35.9,1.69356
04:20:08:52:00,217.979,545.601,615.227,35.9533,1.83701
04:20:08:53:00,218.502,548.858,620.231,36,1.40607
04:20:08:54:00,219.994,551.142,623.655,36.0867,1.55583
04:20:08:55:00,222.547,538.061,618.469,36.1517,2.50138
04:20:08:56:00,224.757,537.689,622.558,36.2,1.33977
04:20:08:57:00,222.677,538.232,621.739,36.2733,1.02111
04:20:08:58:00,220.144,541.36,624.647,36.3217,1.35949
04:20:08:59:00,220.136,552.542,633.399,36.4,1.29715
04:20:09:00:00,220.268,553.356,635.811,36.4483,1.69678
04:20:09:01:00,221.213,555.184,638.87,36.5033,2.74176
04:20:09:02:00,224.203,557.769,647.55,36.595,2.64013
04:20:09:03:00,225.34,563.368,653.631,36.6,2.62417
04:20:09:04:00,225.753,565.858,658.181,36.6814,2.4281
04:20:09:05:00,226.489,575.723,666.561,36.6574,2.02672
04:20:09:06:00,226.476,571.994,665.182,36.6,1.88337
04:20:09:07:00,224.63,565.124,659.244,36.6,1.78014
04:20:09:08:00,222.497,572.594,665.334,36.6,2.17484
04:20:09:09:00,222.591,589.603,679.986,36.6,2.07072
04:20:09:10:00,222.628,591.617,682.516,36.6,1.64
04:20:09:11:00,221.644,588.832,680.839,36.6,1.20942
04:20:09:12:00,220.736,592.088,684.326,36.6,0.540877
04:20:09:13:00,220.486,600.885,691.939,36.6,0.744336
04:20:09:14:00,220.294,600.229,692.953,36.6,1.2388
04:20:09:15:00,221.333,603.313,698.762,36.6517,2.24941
04:20:09:16:00,223.331,607.012,704.108,36.7,1.28188
04:20:09:17:00,223.445,600.443,700.679,36.7,1.07574
04:20:09:18:00,223.549,595.615,699.145,36.7,1.00543
04:20:09:19:00,223.351,595.13,699.901,36.725,1.10759
04:20:09:20:00,223.545,608.997,713.024,36.795,1.36401
04:20:09:21:00,224.149,605.541,711.254,36.8,1.68369
04:20:09:22:00,224.813,609.097,716.904,36.8083,1.81822
04:20:09:23:00,225.79,605.498,716.253,36.8967,2.26125
04:20:09:24:00,225.694,599.929,713.887,36.9,1.79173
04:20:09:25:00,224.13,604.17,717.776,36.9,1.49004
04:20:09:26:00,223.724,619.28,732.132,36.9,1.65807
04:20:09:27:00,223.574,615.767,728.373,36.9317,1.87405
04:20:09:28:00,223.857,619.88,733.947,36.9967,2.72867
04:20:09:29:00,224.271,627.378,742.74,37,2.64211
04:20:09:30:00,223.631,637.789,751.325,37,2.87779
04:20:09:31:00,223.473,636.661,750.199,37.045,1.74078
04:20:09:32:00,221.666,640.831,753.849,37.1,1.50125
04:20:09:33:00,221.887,638.518,753.609,37.1,1.68447
04:20:09:34:00,221.538,638.889,755.06,37.1317,1.13694
04:20:09:35:00,220.453,638.632,755.64,37.1983,1.26916
04:20:09:36:00,219.486,643.488,759.863,37.2,1.4973
04:20:09:37:00,219.199,647.872,765.93,37.2,1.51033
04:20:09:38:00,219.918,654.741,773.077,37.2,2.06049
04:20:09:39:00,219.859,657.884,776.477,37.2317,0.934196
04:20:09:40:00,217.894,656.527,773.524,37.2983,1.06528
04:20:09:41:00,216.383,651.914,770.305,37.3,1.12934
04:20:09:42:00,216.538,649.572,770.581,37.3,2.11904
04:20:09:43:00,216.95,662.554,784.454,37.3583,2.07679
04:20:09:44:00,216.893,666.41,789.275,37.3917,1.5834
04:20:09:45:00,216.695,675.95,799.227,37.4033,1.43851
04:20:09:46:00,216.841,674.836,798.578,37.4783,0.917313
04:20:09:47:00,216.448,673.351,798.344,37.5,0.44024
04:20:09:48:00,217.12,670.537,797.35,37.5,0.690126
04:20:09:49:00,218.081,663.668,792.763,37.5333,0.844496
04:20:09:50:00,219.315,657.141,790.263,37.5867,1.51584
04:20:09:51:00,222.259,662.653,800.085,37.6,2.32262
04:20:09:52:00,224.03,662.568,802.004,37.6,2.0605
04:20:09:53:00,223.923,650.586,792.833,37.6,2.00218
04:20:09:54:00,223.475,649.929,793.206,37.6067,1.63814
04:20:09:55:00,223.105,656.455,800.665,37.645,1.40464
04:20:09:56:00,222.427,668.052,810.719,37.6033,1.21703
04:20:09:57:00,221.323,672.351,814.359,37.635,0.757992
04:20:09:58:00,221.198,671.979,815.055,37.7,0.914876
04:20:09:59:00,221.732,667.124,812.177,37.6733,0.829959
04:20:10:00:00,221.92,660.811,808.467,37.6983,0.715269
04:20:10:01:00,222.188,663.21,812.107,37.7,0.569834
04:20:10:02:00,223.134,659.868,812.129,37.7,0.980213
04:20:10:03:00,224.993,665.11,819.568,37.715,1.52073
04:20:10:04:00,227.145,663.471,821.909,37.7983,2.0664
04:20:10:05:00,228.078,666.99,828.217,37.8,2.83202
04:20:10:06:00,228.056,672.765,834.867,37.8,1.95225
04:20:10:07:00,226.372,676.921,838.248,37.8,1.9331
04:20:10:08:00,225.268,683.948,844.323,37.8,1.34867
04:20:10:09:00,223.878,687.975,846.494,37.8317,0.672071
04:20:10:10:00,223.105,688.96,847.732,37.9,1.71174
04:20:10:11:00,224.094,684.104,844.77,37.9,0.959729
04:20:10:12:00,223.331,687.204,848.601,37.9767,0.920723
04:20:10:13:00,222.358,687.447,846.978,38.08,0.539587
04:20:10:14:00,221.941,680.534,842.31,38.165,1.19233
04:20:10:15:00,221.508,679.035,843.439,38.2583,1.45528
04:20:10:16:00,221.181,685.004,848.429,38.3467,0.952518
04:20:10:17:00,220.405,694.659,859.352,38.4167,0.830809
04:20:10:18:00,220.456,694.802,859.887,38.505,0.982053
04:20:10:19:00,221.111,687.218,853.724,38.6,1.24428
04:20:10:20:00,221.853,690.717,860.736,38.6183,1.82768
04:20:10:21:00,222.697,693.973,865.371,38.6683,2.568
04:20:10:22:00,223.774,692.331,867.617,38.675,2.18623
04:20:10:23:00,224.037,692.917,868.903,38.6267,1.6425
04:20:10:24:00,224.076,693.245,869.601,38.6,2.03961
04:20:10:25:00,225.205,710.554,888.048,38.6,2.45073
04:20:10:26:00,226.114,709.154,886.794,38.6,1.80316
04:20:10:27:00,225.831,697.801,877.009,38.6,2.09421
04:20:10:28:00,226.11,698.586,880.523,38.6,1.74447
04:20:10:29:00,227.227,702.913,885.285,38.6,1.27195
04:20:10:30:00,226.842,704.827,887.551,38.6,0.980068
04:20:10:31:00,227.04,697.486,881.367,38.6,2.0057
04:20:10:32:00,228.868,692.751,880.843,38.6,2.5372
04:20:10:33:00,231.176,694.2,885.885,38.6,2.73397
04:20:10:34:00,233.24,689.474,883.305,38.66,2.58763
04:20:10:35:00,235.66,675.864,874.189,38.6117,1.66207
04:20:10:36:00,236.621,672.436,873.585,38.6633,1.49317
04:20:10:37:00,238.655,673.208,877.524,38.7,2.95639
04:20:10:38:00,241.045,662.368,869.3,38.7,1.91761
04:20:10:39:00,241.122,661.668,870.837,38.7,1.82697
04:20:10:40:00,241.485,664.71,873.969,38.7,1.72975
04:20:10:41:00,241.186,663.925,873.459,38.7,0.978942
04:20:10:42:00,241.805,668.409,879.713,38.7167,1.48803
04:20:10:43:00,243.511,669.523,883.132,38.7983,2.17585
04:20:10:44:00,245.535,667.823,884.259,38.8,2.64655
04:20:10:45:00,246.159,666.681,884.739,38.8,2.32448
04:20:10:46:00,245.812,668.052,886.952,38.8,1.6062
04:20:10:47:00,244.836,670.007,888.017,38.8017,1.40992
04:20:10:48:00,243.955,669.715,887.472,38.8885,1.33919
04:20:10:49:00,243.386,672.665,890.995,38.9,1.62915
04:20:10:50:00,243.054,679.363,898.776,38.9,1.80711
04:20:10:51:00,241.957,687.775,906.381,38.9533,1.37294
04:20:10:52:00,241.383,688.832,905.968,39,0.856857
04:20:10:53:00,241.386,678.506,897.006,39,0.861677
04:20:10:54:00,243.781,678.692,900.342,39.0333,1.36119
04:20:10:55:00,246.439,678.878,903.845,39.1,1.43315
04:20:10:56:00,248.931,668.709,897.191,39.1,1.13448
04:20:10:57:00,250.986,655.97,888.908,39.1383,1.26354
04:20:10:58:00,254.151,664.596,901.271,39.2,1.40446
04:20:10:59:00,255.857,657.626,897.657,39.2,1.23434
04:20:11:00:00,256.851,647.943,889.05,39.2033,1.07562
04:20:11:01:00,257.25,632.048,872.01,39.2883,1.46554
04:20:11:02:00,259.707,642.102,889.121,39.3033,2.50535
04:20:11:03:00,261.13,647.244,896.106,39.39,1.35306
04:20:11:04:00,259.636,650.914,897.137,39.4,0.74075
04:20:11:05:00,258.317,655.241,900.633,39.4,0.731592
04:20:11:06:00,257.857,658.883,903.689,39.4,0.619646
04:20:11:07:00,257.638,656.198,899.649,39.4017,0.831391
04:20:11:08:00,257.378,635.833,881.291,39.4033,2.30149
04:20:11:09:00,259.474,640.931,891.738,39.4817,1.44936
04:20:11:10:00,260.22,662.939,914.247,39.5,0.892292
04:20:11:11:00,259.557,674.836,924.575,39.5,0.688363
04:20:11:12:00,259.88,677.378,926.306,39.5083,0.856911
04:20:11:13:00,260.888,674.95,925.825,39.5817,1.42436
04:20:11:14:00,263.355,671.894,925.239,39.6,1.2601
04:20:11:15:00,264.463,659.269,915.205,39.6,1.26456
04:20:11:16:00,269.118,661.025,923.631,39.615,2.10692
04:20:11:17:00,274.845,659.34,928.733,39.6133,2.12077
04:20:11:18:00,277.762,633.976,906.426,39.7,1.65694
04:20:11:19:00,282.235,641.031,921.428,39.7,1.91956
04:20:11:20:00,284.742,658.469,939.861,39.7,2.24194
04:20:11:21:00,284.009,639.917,919.747,39.705,1.84055
