#Feni weather file
$city_name=Feni
$timezone=GMT
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
09:28:06:00:00,36.3033,0.854565,5.04267,0,5.04267
09:28:06:01:00,36.3967,0.89299,5.51817,0,5.51817
09:28:06:02:00,36.43,0.874804,6.23367,0,6.23367
09:28:06:03:00,36.4633,1.01763,6.57117,0.471295,7.16467
09:28:06:04:00,36.3933,0.899266,8.24433,0,8.24433
09:28:06:05:00,36.3167,1.0865,8.89967,0.028563,9.30517
09:28:06:06:00,36.4,1.04111,10.762,0,10.762
09:28:06:07:00,36.4167,0.803842,11.8535,0,11.8535
09:28:06:08:00,36.4133,0.962588,12.6857,0.0856902,13.0613
09:28:06:09:00,36.3267,0.797864,13.9998,0.0571268,14.2943
09:28:06:10:00,36.3,0.773327,15.3145,0.214224,15.5257
09:28:06:11:00,36.3617,0.803275,16.8242,0,16.8242
09:28:06:12:00,36.4,0.738259,18.3235,0,18.3235
09:28:06:13:00,36.41,0.701835,19.6168,0,19.6168
09:28:06:14:00,36.345,0.938533,21.0955,0,21.0955
09:28:06:15:00,36.31,0.911175,22.6188,0,22.6188
09:28:06:16:00,36.4,0.970228,24.2195,0,24.2195
09:28:06:17:00,36.4633,0.865026,25.9573,0,25.9573
09:28:06:18:00,36.45,0.97265,27.3698,0,27.3698
09:28:06:19:00,36.4,0.850818,28.7873,0,28.7873
09:28:06:20:00,36.34,0.906645,30.0917,0,30.0917
09:28:06:21:00,36.4067,0.82966,31.4985,0.328478,31.832
09:28:06:22:00,36.5,0.842741,33.4732,0,33.4732
09:28:06:23:00,36.485,0.7946,34.7615,0.328477,35.1877
09:28:06:24:00,36.4,0.71087,37.0112,0,37.0112
09:28:06:25:00,36.345,0.852167,38.974,0.285633,39.1048
09:28:06:26:00,36.3,0.910907,40.7643,0,40.7643
09:28:06:27:00,36.3,0.918731,41.833,0.199943,42.2952
09:28:06:28:00,36.3,0.943798,43.9003,0,43.9003
09:28:06:29:00,36.3,1.10644,45.5368,0.457011,45.6432
09:28:06:30:00,36.3,1.24734,47.6162,0.0856907,47.7003
09:28:06:31:00,36.3,1.10224,49.8057,0.285633,49.9398
09:28:06:32:00,36.3333,1.07881,51.7588,0.25707,51.7657
09:28:06:33:00,36.39,0.963255,53.753,0,53.753
09:28:06:34:00,36.4,0.866344,55.7197,0,55.7197
09:28:06:35:00,36.4,1.07024,57.7267,0,57.7267
09:28:06:36:00,36.4317,1.09258,59.7167,0.756927,59.9277
09:28:06:37:00,36.525,1.22966,61.9452,1.15681,62.3153
09:28:06:38:00,36.6,1.22847,64.2668,0.899744,64.7872
09:28:06:39:00,36.5817,1.20532,66.784,0.642674,67.5773
09:28:06:40:00,36.4967,1.2328,69.1912,0.528421,70.2595
09:28:06:41:00,36.4783,1.09785,73.0085,0,73.0085
09:28:06:42:00,36.5233,1.22099,74.648,0.0285631,75.9303
09:28:06:43:00,36.6017,1.11415,77.7862,0.942589,78.8555
09:28:06:44:00,36.615,0.972336,80.7508,1.41388,81.8085
09:28:06:45:00,36.6,1.31004,84.527,0,84.527
09:28:06:46:00,36.6,1.22728,87.2965,0,87.2965
09:28:06:47:00,36.6767,0.994252,88.808,0.357042,89.4757
09:28:06:48:00,36.7467,1.06016,91.5932,0,91.5932
09:28:06:49:00,36.75,0.792584,93.8695,0,93.8695
09:28:06:50:00,36.7,0.906692,96.0653,0,96.0653
09:28:06:51:00,36.6733,0.832112,98.3243,0.242788,98.503
09:28:06:52:00,36.61,0.789504,101.308,0,101.308
09:28:06:53:00,36.6967,0.985693,104.313,0,104.313
09:28:06:54:00,36.7167,0.906232,107.396,0.257069,107.487
09:28:06:55:00,36.7067,0.98298,110.5,0,110.5
09:28:06:56:00,36.6267,1.24471,112.881,0.442731,113.67
09:28:06:57:00,36.6,0.972764,116.762,0,116.762
09:28:06:58:00,36.6217,1.36159,118.682,0.314196,119.448
09:28:06:59:00,36.7,1.12129,121.508,0.185661,122.495
09:28:07:00:00,36.6683,0.986942,124.209,0.571266,125.096
09:28:07:01:00,36.6,0.872774,127.732,0.899743,128.122
09:28:07:02:00,36.6,1.06495,131.735,0,131.735
09:28:07:03:00,36.6367,1.00727,136.119,0.042845,136.371
09:28:07:04:00,36.7,0.949897,141.075,0.142816,141.245
09:28:07:05:00,36.6783,1.26888,146.202,0.157098,146.455
09:28:07:06:00,36.6,0.91227,150.484,0.371323,150.932
09:28:07:07:00,36.5733,0.860673,154.119,0.614111,154.65
09:28:07:08:00,36.615,0.601047,157.029,0.185661,157.726
09:28:07:09:00,36.7,0.811996,160.196,0.399886,160.942
09:28:07:10:00,36.67,0.761617,164.102,0.17138,164.968
09:28:07:11:00,36.6,1.04071,168.447,0.87118,168.921
09:28:07:12:00,36.6,0.801091,172.438,0.61411,172.693
09:28:07:13:00,36.6517,0.702418,175.853,0.428449,176.329
09:28:07:14:00,36.7,0.905289,179.343,0.87118,179.9
09:28:07:15:00,36.7,0.776016,181.731,0.685519,182.412
09:28:07:16:00,36.635,0.692241,182.328,1.19966,183.221
09:28:07:17:00,36.6083,0.761349,181.665,0.942588,182.546
09:28:07:18:00,36.7,1.17866,181.019,1.12825,182.133
09:28:07:19:00,36.795,0.897273,180.643,1.19966,181.951
09:28:07:20:00,36.7883,0.969355,179.883,1.18538,181.291
09:28:07:21:00,36.7,0.879862,179.048,1.67095,180.521
09:28:07:22:00,36.7,0.823176,178.402,1.18538,179.514
09:28:07:23:00,36.7,0.739393,178.357,1.5567,179.411
09:28:07:24:00,36.7767,1.16516,179.282,1.92802,180.58
09:28:07:25:00,36.8767,1.27373,175.349,0,175.349
09:28:07:26:00,36.8917,1.06621,160.657,3.08483,163.018
09:28:07:27:00,36.8,1.1929,186.688,6.56955,189.202
09:28:07:28:00,36.8,0.926486,189.247,7.8549,192.243
09:28:07:29:00,36.8,0.851952,191.8,7.55498,194.856
09:28:07:30:00,36.8933,1.12064,195.878,6.72665,198.867
09:28:07:31:00,36.9,1.27745,200.456,7.01228,204.518
09:28:07:32:00,36.8783,1.05243,204.484,8.32619,209.343
09:28:07:33:00,36.8383,0.991463,208.66,11.0112,214.672
09:28:07:34:00,36.9417,0.809735,213.438,17.2951,222.194
09:28:07:35:00,37.0183,1.10096,219.232,39.8029,238.832
09:28:07:36:00,37.0317,0.98052,225.95,124.336,281.437
09:28:07:37:00,36.9833,1.26454,231.316,94.8443,271.384
09:28:07:38:00,36.9333,1.28147,235.997,63.0392,264.976
09:28:07:39:00,37.04,1.19778,240.876,77.8349,277.119
09:28:07:40:00,37.1017,1.2371,243.689,67.7378,275.013
09:28:07:41:00,37.11,0.789274,244.743,57.6121,271.648
09:28:07:42:00,37.1,0.922892,243.853,36.1325,260.637
09:28:07:43:00,37.165,0.973117,241.879,23.2219,253.128
09:28:07:44:00,37.2133,1.32926,238.031,13.1534,244.555
09:28:07:45:00,37.215,1.30708,234.149,6.55527,238.148
09:28:07:46:00,37.2,1.46166,230.949,3.8132,234.046
09:28:07:47:00,37.2517,1.44427,228.232,3.22765,230.899
09:28:07:48:00,37.3117,1.70412,226.351,2.39931,228.793
09:28:07:49:00,37.3217,1.5924,225.522,1.95658,227.786
09:28:07:50:00,37.3,1.51154,224.112,1.8709,226.035
09:28:07:51:00,37.3433,1.43087,223.398,1.87089,225.587
09:28:07:52:00,37.4033,1.8574,223.209,1.89946,225.893
09:28:07:53:00,37.4,1.70769,223.788,3.25621,227.651
09:28:07:54:00,37.3417,1.29142,225.769,7.28364,232.045
09:28:07:55:00,37.3,1.45015,229.098,18.3091,241.091
09:28:07:56:00,37.3967,1.45,232.739,36.1182,254.218
09:28:07:57:00,37.4917,1.23503,234.033,35.2328,254.401
09:28:07:58:00,37.4983,1.18803,234.475,39.8886,257.158
09:28:07:59:00,37.4017,1.09159,235.792,28.3062,251.953
09:28:08:00:00,37.4,1.03309,237.198,25.0928,251.841
09:28:08:01:00,37.485,1.1817,237.099,33.7475,258.327
09:28:08:02:00,37.5917,1.02986,234.209,25.2928,248.44
09:28:08:03:00,37.6,1.06254,229.677,11.3396,237.019
09:28:08:04:00,37.525,0.751072,224.908,5.72694,228.997
09:28:08:05:00,37.5033,0.553711,219.372,3.32762,222.192
09:28:08:06:00,37.6,0.841844,214.576,2.47072,217.128
09:28:08:07:00,37.6867,1.59071,212.647,2.3279,215.207
09:28:08:08:00,37.6867,1.3062,212.892,2.52785,215.923
09:28:08:09:00,37.6083,0.956993,213.23,1.84233,216.356
09:28:08:10:00,37.7,0.795121,214.082,1.95658,216.599
09:28:08:11:00,37.78,0.918103,215.342,1.8709,217.734
09:28:08:12:00,37.775,1.11863,217.346,1.3996,219.448
09:28:08:13:00,37.7,0.93779,219.588,1.31391,221.494
09:28:08:14:00,37.6883,1.27543,222.381,1.07112,224.176
09:28:08:15:00,37.7533,1.14694,226.004,1.27107,227.555
09:28:08:16:00,37.805,1.19721,229.986,1.07112,231.422
09:28:08:17:00,37.8,1.16259,233.953,1.09969,235.943
09:28:08:18:00,37.7733,0.871785,237.6,1.42816,239.797
09:28:08:19:00,37.7283,1.02782,240.876,1.35676,242.838
09:28:08:20:00,37.8167,0.943039,243.595,1.74236,245.409
09:28:08:21:00,37.9,0.707675,245.133,1.67095,246.895
09:28:08:22:00,37.9,0.598511,246.831,1.5567,248.57
09:28:08:23:00,37.8417,0.655549,250.456,1.72808,252.211
09:28:08:24:00,37.8117,0.617332,254.959,1.19966,256.82
09:28:08:25:00,37.9117,0.634252,260.569,2.2565,262.858
09:28:08:26:00,38,0.711131,266.935,3.1848,270.25
09:28:08:27:00,38,0.728596,273.097,4.02742,277.023
09:28:08:28:00,37.9383,0.887219,279.052,6.04113,284.374
09:28:08:29:00,37.9183,0.665343,283.381,27.892,303.87
09:28:08:30:00,38.0417,0.856512,286.928,52.7707,321.518
09:28:08:31:00,38.1167,0.731385,288.474,38.6318,312.609
09:28:08:32:00,38.1417,0.775587,288.029,16.124,299.179
09:28:08:33:00,38.1,1.17927,288.694,10.2392,296.582
09:28:08:34:00,38.1,1.15663,290.828,7.76921,296.849
09:28:08:35:00,38.1689,1.08816,293.287,6.51805,298.792
09:28:08:36:00,38.2733,0.67847,295.496,5.04142,300.92
09:28:08:37:00,38.2967,0.624236,297.67,3.01342,302.094
09:28:08:38:00,38.2,0.707928,299.988,2.2565,303.641
09:28:08:39:00,38.2,1.02186,301.967,1.85661,305.283
09:28:08:40:00,38.3083,1.22962,304.117,2.58497,307.077
09:28:08:41:00,38.4,1.28935,306.574,2.29934,309.565
09:28:08:42:00,38.4,1.06602,309.239,2.65638,313.098
09:28:08:43:00,38.3683,1.20812,312.694,3.41331,316.732
09:28:08:44:00,38.3267,1.22738,316.005,3.55613,320.493
09:28:08:45:00,38.4083,1.32013,319.324,7.12654,326.465
09:28:08:46:00,38.5,1.13345,321.472,16.7095,336.278
09:28:08:47:00,38.5,1.42515,325.089,55.2842,369.656
09:28:08:48:00,38.435,1.34218,330.894,173.879,450.339
09:28:08:49:00,38.41,1.16498,331.832,118.909,409.71
09:28:08:50:00,38.51,1.52577,332.995,77.6349,387.743
09:28:08:51:00,38.6,1.82761,335.385,76.5067,391.467
09:28:08:52:00,38.6,1.54934,337.831,85.7898,400.152
09:28:08:53:00,38.525,1.5469,338.564,82.4479,397.77
09:28:08:54:00,38.5067,1.40825,338.991,58.569,380.988
09:28:08:55:00,38.6,1.62839,340.868,46.0726,375.147
09:28:08:56:00,38.6933,2.03332,344.378,29.4059,366.529
09:28:08:57:00,38.7,1.80739,349.294,20.7227,367.161
09:28:08:58:00,38.7533,1.4827,354.934,16.1097,369.785
09:28:08:59:00,38.7967,1.15819,360.337,11.2682,371.727
09:28:09:00:00,38.8,1.1385,364.937,7.36932,373.663
09:28:09:01:00,38.8217,1.27524,370.803,5.09855,377.176
09:28:09:02:00,38.9,0.937092,375.877,4.31305,380.851
09:28:09:03:00,38.9,1.23985,380.215,3.8846,384.941
09:28:09:04:00,38.9,0.907305,386.24,3.84176,391.221
09:28:09:05:00,38.9533,1.43299,392.864,4.37018,398.42
09:28:09:06:00,38.9267,1.68034,400.067,5.64125,406.861
09:28:09:07:00,38.98,1.7459,407.593,7.61211,416.756
09:28:09:08:00,39,1.08932,416.147,11.7252,429.133
09:28:09:09:00,39,1.15465,425.368,19.5516,444.248
09:28:09:10:00,39,1.18932,434.598,26.1639,458.421
09:28:09:11:00,39.015,0.851163,441.014,33.0191,470.133
09:28:09:12:00,39.0283,0.681688,445.177,44.7729,483.217
09:28:09:13:00,39.0967,1.09323,449.221,66.7238,503.693
09:28:09:14:00,39.1,1.51813,453.883,97.8864,531.098
09:28:09:15:00,39.1,1.64838,458.392,126.721,556.99
09:28:09:16:00,39.1339,1.53596,462.604,139.732,570.295
09:28:09:17:00,39.2,1.02121,467.021,145.715,581.71
09:28:09:18:00,39.2,1.48386,470.365,154.442,590.018
09:28:09:19:00,39.2,1.49304,471.592,143.173,584.742
09:28:09:20:00,39.2417,1.57116,467.055,140.36,578.083
09:28:09:21:00,39.2933,1.44808,454.955,98.6575,531.951
09:28:09:22:00,39.3,1.12682,437.778,40.9454,472.44
09:28:09:23:00,39.3133,1.68104,421.318,17.1094,438.386
09:28:09:24:00,39.3083,1.48304,409.843,8.1691,420.158
09:28:09:25:00,39.385,1.30349,400.404,5.02714,408.121
09:28:09:26:00,39.4,1.27668,392.271,3.89889,399.069
09:28:09:27:00,39.4,1.1787,385.669,3.08483,391.863
09:28:09:28:00,39.4617,1.14813,381.195,3.32762,387.211
09:28:09:29:00,39.5,0.486258,377.014,2.97058,382.639
09:28:09:30:00,39.5,0.937352,372.718,2.81348,378.131
09:28:09:31:00,39.5051,0.83381,370.34,2.23665,375.588
09:28:09:32:00,39.5885,0.997867,366.816,1.93856,371.986
09:28:09:33:00,39.6,1.09398,362.909,1.81377,367.963
09:28:09:34:00,39.6,1.25513,358.343,1.62811,363.388
09:28:09:35:00,39.6683,1.75841,354.229,1.32819,360.045
09:28:09:36:00,39.6617,1.57075,350.407,1.62811,356.238
09:28:09:37:00,39.6983,1.41886,346.738,1.62811,352.349
09:28:09:38:00,39.7,1.36199,343.805,1.49957,349.223
09:28:09:39:00,39.7,1.3731,342.15,1.41388,346.965
09:28:09:40:00,39.725,1.44821,340.131,1.11397,344.95
09:28:09:41:00,39.8,1.40081,338.306,0.999715,343.423
09:28:09:42:00,39.8,1.31495,335.913,1.02828,340.996
09:28:09:43:00,39.8,1.43888,333.655,1.19966,338.641
09:28:09:44:00,39.8033,1.62029,332.67,1.34247,338.02
09:28:09:45:00,39.805,1.61317,332.188,1.02828,337.767
09:28:09:46:00,39.8483,1.34113,333.09,1.18538,338.557
09:28:09:47:00,39.9,1.25808,335.983,1.27107,340.803
09:28:09:48:00,39.9,0.717921,339.96,1.27107,344.345
09:28:09:49:00,39.9,0.915972,343.421,1.3996,347.841
09:28:09:50:00,39.9,0.985294,346.953,1.52814,351.567
09:28:09:51:00,39.9,0.928326,348.911,1.32819,353.56
09:28:09:52:00,39.9367,0.981224,351.018,1.62811,355.808
09:28:09:53:00,40,1.15233,352.938,1.37104,357.727
09:28:09:54:00,40,0.941859,354.118,1.77092,359.202
09:28:09:55:00,40,1.30629,355.95,1.51385,361.196
09:28:09:56:00,40.0217,1.18,359.894,1.5567,365.182
