# file...... load.csv
# date...... Sun May  8 02:06:38 2022
# user...... void
# host...... (null)
# target.... load 6
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,voltage_A, constant_power_A, constant_current_A, voltage_B, constant_power_B, constant_current_B, voltage_C, constant_power_C, constant_current_C
2010-01-01 00:00:00 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:01 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:02 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:03 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:04 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:05 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:06 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:07 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:08 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:09 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:10 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:11 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
2010-01-01 00:00:12 PST,+2398.49+0.0246697d,+4000+3000j,+0+0j,+2400.19-120.046d,+5000+2000j,+0+0j,+2397.48+120.006d,+4200+3500j,+0+0j
