# file...... output/Bus1.csv
# date...... Wed May 11 08:05:47 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,Bus2:voltage_A.real, Bus2:voltage_A.imag, Bus2:measured_current_A.real, Bus2:measured_current_A.imag
2019-04-21 00:00:00 GMT,+213.228,-126.329,+95.9783,-433.949
2019-04-21 00:01:00 GMT,+213.228,-126.329,+95.9783,-433.949
2019-04-21 00:02:00 GMT,+213.228,-126.329,+95.9783,-433.949
2019-04-21 00:03:00 GMT,+213.228,-126.329,+95.9783,-433.949
2019-04-21 00:04:00 GMT,+213.228,-126.329,+95.9783,-433.949
2019-04-21 00:05:00 GMT,+212.922,-126.408,+107.349,-458.704
2019-04-21 00:06:00 GMT,+212.922,-126.408,+107.349,-458.704
2019-04-21 00:07:00 GMT,+212.922,-126.408,+107.349,-458.704
2019-04-21 00:08:00 GMT,+212.922,-126.408,+107.349,-458.704
2019-04-21 00:09:00 GMT,+212.922,-126.408,+107.349,-458.704
2019-04-21 00:10:00 GMT,+212.679,-126.472,+116.475,-478.452
2019-04-21 00:11:00 GMT,+212.679,-126.472,+116.475,-478.452
2019-04-21 00:12:00 GMT,+212.679,-126.472,+116.475,-478.452
2019-04-21 00:13:00 GMT,+212.679,-126.472,+116.475,-478.452
2019-04-21 00:14:00 GMT,+212.679,-126.472,+116.475,-478.452
2019-04-21 00:15:00 GMT,+212.518,-126.499,+121.233,-491.789
2019-04-21 00:16:00 GMT,+212.518,-126.499,+121.233,-491.789
2019-04-21 00:17:00 GMT,+212.518,-126.499,+121.233,-491.789
2019-04-21 00:18:00 GMT,+212.518,-126.499,+121.233,-491.789
2019-04-21 00:19:00 GMT,+212.518,-126.499,+121.233,-491.789
2019-04-21 00:20:00 GMT,+212.416,-126.515,+124.16,-500.298
2019-04-21 00:21:00 GMT,+212.416,-126.515,+124.16,-500.298
2019-04-21 00:22:00 GMT,+212.416,-126.515,+124.16,-500.298
2019-04-21 00:23:00 GMT,+212.416,-126.515,+124.16,-500.298
2019-04-21 00:24:00 GMT,+212.416,-126.515,+124.16,-500.298
2019-04-21 00:25:00 GMT,+212.374,-126.518,+125.2,-503.924
2019-04-21 00:26:00 GMT,+212.374,-126.518,+125.2,-503.924
2019-04-21 00:27:00 GMT,+212.374,-126.518,+125.2,-503.924
2019-04-21 00:28:00 GMT,+212.374,-126.518,+125.2,-503.924
2019-04-21 00:29:00 GMT,+212.374,-126.518,+125.2,-503.924
2019-04-21 00:30:00 GMT,+212.471,-126.487,+121.26,-496.052
2019-04-21 00:31:00 GMT,+212.471,-126.487,+121.26,-496.052
2019-04-21 00:32:00 GMT,+212.471,-126.487,+121.26,-496.052
2019-04-21 00:33:00 GMT,+212.471,-126.487,+121.26,-496.052
2019-04-21 00:34:00 GMT,+212.471,-126.487,+121.26,-496.052
2019-04-21 00:35:00 GMT,+212.597,-126.452,+116.457,-486.184
2019-04-21 00:36:00 GMT,+212.597,-126.452,+116.457,-486.184
2019-04-21 00:37:00 GMT,+212.597,-126.452,+116.44,-486.173
2019-04-21 00:38:00 GMT,+212.598,-126.451,+116.348,-486.115
2019-04-21 00:39:00 GMT,+212.599,-126.449,+116.181,-486.009
2019-04-21 00:40:00 GMT,+212.707,-126.414,+111.615,-477.512
2019-04-21 00:41:00 GMT,+212.71,-126.411,+111.381,-477.363
2019-04-21 00:42:00 GMT,+212.714,-126.407,+110.924,-477.075
2019-04-21 00:43:00 GMT,+212.713,-126.407,+110.965,-477.101
2019-04-21 00:44:00 GMT,+212.705,-126.416,+111.846,-477.658
2019-04-21 00:45:00 GMT,+212.798,-126.395,+108.692,-470.348
2019-04-21 00:46:00 GMT,+212.798,-126.395,+108.692,-470.348
2019-04-21 00:47:00 GMT,+212.798,-126.395,+108.692,-470.348
2019-04-21 00:48:00 GMT,+212.798,-126.395,+108.692,-470.348
2019-04-21 00:49:00 GMT,+212.798,-126.395,+108.692,-470.348
2019-04-21 00:50:00 GMT,+212.907,-126.363,+104.236,-461.509
2019-04-21 00:51:00 GMT,+212.907,-126.363,+104.236,-461.509
2019-04-21 00:52:00 GMT,+212.907,-126.363,+104.236,-461.509
2019-04-21 00:53:00 GMT,+212.908,-126.362,+104.156,-461.458
2019-04-21 00:54:00 GMT,+212.912,-126.358,+103.757,-461.207
2019-04-21 00:55:00 GMT,+212.97,-126.344,+101.594,-456.726
2019-04-21 00:56:00 GMT,+212.967,-126.347,+101.903,-456.92
2019-04-21 00:57:00 GMT,+212.965,-126.35,+102.163,-457.083
2019-04-21 00:58:00 GMT,+212.965,-126.35,+102.163,-457.083
2019-04-21 00:59:00 GMT,+212.967,-126.348,+101.982,-456.969
2019-04-21 01:00:00 GMT,+213.002,-126.34,+100.702,-454.311
2019-04-21 01:01:00 GMT,+213.001,-126.341,+100.779,-454.36
2019-04-21 01:02:00 GMT,+213,-126.342,+100.879,-454.422
2019-04-21 01:03:00 GMT,+213,-126.342,+100.88,-454.423
2019-04-21 01:04:00 GMT,+213,-126.342,+100.88,-454.423
2019-04-21 01:05:00 GMT,+213.01,-126.342,+100.603,-453.672
2019-04-21 01:06:00 GMT,+213.01,-126.342,+100.603,-453.672
2019-04-21 01:07:00 GMT,+213.01,-126.342,+100.603,-453.672
2019-04-21 01:08:00 GMT,+213.01,-126.342,+100.603,-453.672
2019-04-21 01:09:00 GMT,+213.01,-126.342,+100.603,-453.672
2019-04-21 01:10:00 GMT,+212.972,-126.351,+102.09,-456.691
2019-04-21 01:11:00 GMT,+212.972,-126.351,+102.09,-456.691
2019-04-21 01:12:00 GMT,+212.972,-126.351,+102.09,-456.691
2019-04-21 01:13:00 GMT,+212.972,-126.351,+102.09,-456.691
2019-04-21 01:14:00 GMT,+212.972,-126.351,+102.09,-456.691
2019-04-21 01:15:00 GMT,+212.997,-126.344,+101.053,-454.581
2019-04-21 01:16:00 GMT,+212.997,-126.344,+101.053,-454.581
2019-04-21 01:17:00 GMT,+212.997,-126.344,+101.053,-454.581
2019-04-21 01:18:00 GMT,+212.997,-126.344,+101.053,-454.581
2019-04-21 01:19:00 GMT,+212.997,-126.344,+101.053,-454.581
2019-04-21 01:20:00 GMT,+212.999,-126.34,+100.903,-454.397
2019-04-21 01:21:00 GMT,+212.999,-126.34,+100.903,-454.397
2019-04-21 01:22:00 GMT,+212.999,-126.34,+100.903,-454.397
2019-04-21 01:23:00 GMT,+212.999,-126.34,+100.903,-454.397
2019-04-21 01:24:00 GMT,+212.999,-126.34,+100.903,-454.397
2019-04-21 01:25:00 GMT,+213.014,-126.334,+100.136,-453.125
2019-04-21 01:26:00 GMT,+213.014,-126.334,+100.136,-453.125
2019-04-21 01:27:00 GMT,+213.014,-126.334,+100.136,-453.125
2019-04-21 01:28:00 GMT,+213.014,-126.334,+100.136,-453.125
2019-04-21 01:29:00 GMT,+213.014,-126.334,+100.136,-453.125
2019-04-21 01:30:00 GMT,+213.023,-126.328,+99.5627,-452.34
2019-04-21 01:31:00 GMT,+213.023,-126.328,+99.5627,-452.34
2019-04-21 01:32:00 GMT,+213.023,-126.328,+99.5627,-452.34
2019-04-21 01:33:00 GMT,+213.023,-126.328,+99.5627,-452.34
2019-04-21 01:34:00 GMT,+213.023,-126.328,+99.5627,-452.34
2019-04-21 01:35:00 GMT,+213.014,-126.326,+99.7444,-452.954
2019-04-21 01:36:00 GMT,+213.014,-126.326,+99.7444,-452.954
2019-04-21 01:37:00 GMT,+213.014,-126.326,+99.7444,-452.954
2019-04-21 01:38:00 GMT,+213.014,-126.326,+99.7444,-452.954
2019-04-21 01:39:00 GMT,+213.014,-126.326,+99.7444,-452.954
2019-04-21 01:40:00 GMT,+213.024,-126.323,+99.3739,-452.256
2019-04-21 01:41:00 GMT,+213.024,-126.323,+99.3739,-452.256
2019-04-21 01:42:00 GMT,+213.024,-126.323,+99.3739,-452.256
2019-04-21 01:43:00 GMT,+213.024,-126.323,+99.3739,-452.256
2019-04-21 01:44:00 GMT,+213.024,-126.323,+99.3739,-452.256
2019-04-21 01:45:00 GMT,+213.021,-126.323,+99.4951,-452.506
2019-04-21 01:46:00 GMT,+213.021,-126.323,+99.4951,-452.506
2019-04-21 01:47:00 GMT,+213.021,-126.323,+99.4951,-452.506
2019-04-21 01:48:00 GMT,+213.021,-126.323,+99.4951,-452.506
2019-04-21 01:49:00 GMT,+213.021,-126.323,+99.4951,-452.506
2019-04-21 01:50:00 GMT,+213.026,-126.323,+99.4412,-452.227
2019-04-21 01:51:00 GMT,+213.026,-126.323,+99.4412,-452.227
2019-04-21 01:52:00 GMT,+213.026,-126.323,+99.4412,-452.227
2019-04-21 01:53:00 GMT,+213.026,-126.323,+99.4412,-452.227
2019-04-21 01:54:00 GMT,+213.026,-126.323,+99.4412,-452.227
2019-04-21 01:55:00 GMT,+213.027,-126.325,+99.6382,-452.321
2019-04-21 01:56:00 GMT,+213.027,-126.325,+99.6382,-452.321
2019-04-21 01:57:00 GMT,+213.027,-126.325,+99.6382,-452.321
2019-04-21 01:58:00 GMT,+213.027,-126.325,+99.6382,-452.321
2019-04-21 01:59:00 GMT,+213.027,-126.325,+99.6382,-452.321
