# file...... output/LOAD11_data.csv
# date...... Fri May  6 17:40:23 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD11:base_power_B, Bus249:measured_power.real, inv_11_sol:VA_Out.real, inv_11_batt:VA_Out.real, Bus249:measured_voltage_B.real, Bus249:measured_current_B.real
2019-04-21 00:00:00 GMT,+7557.32,+2923.05,+377.124,+2735.89,-202.241,-27.9909
2019-04-21 00:01:00 GMT,+7557.32,+2918.71,+391.256,+2735.89,-202.232,-27.9897
2019-04-21 00:02:00 GMT,+7557.32,+2886.65,+423.166,+2735.89,-202.287,-27.9418
2019-04-21 00:03:00 GMT,+7557.32,+2871.96,+437.936,+2735.89,-202.311,-27.92
2019-04-21 00:04:00 GMT,+7557.32,+2832.07,+477.686,+2735.89,-202.379,-27.8606
2019-04-21 00:05:00 GMT,+7699.26,+2933.2,+490.295,+2735.89,-201.586,-28.5503
2019-04-21 00:06:00 GMT,+7699.26,+2920.33,+503.116,+2735.89,-201.608,-28.5309
2019-04-21 00:07:00 GMT,+7699.26,+2906.53,+516.91,+2735.89,-201.631,-28.5101
2019-04-21 00:08:00 GMT,+7699.26,+2891.41,+532.021,+2735.89,-201.657,-28.4874
2019-04-21 00:09:00 GMT,+7699.26,+2877.6,+545.841,+2735.89,-201.68,-28.4667
2019-04-21 00:10:00 GMT,+7800.44,+2944.65,+559.75,+2735.89,-201.073,-28.9606
2019-04-21 00:11:00 GMT,+7800.44,+2932.41,+571.975,+2735.89,-201.094,-28.9421
2019-04-21 00:12:00 GMT,+7800.44,+2919.32,+585.054,+2735.89,-201.116,-28.9223
2019-04-21 00:13:00 GMT,+7800.44,+2905.12,+599.245,+2735.89,-201.141,-28.9008
2019-04-21 00:14:00 GMT,+7800.44,+2891.26,+613.109,+2735.89,-201.165,-28.8799
2019-04-21 00:15:00 GMT,+7860.84,+2927.43,+625.31,+2735.89,-200.726,-29.1825
2019-04-21 00:16:00 GMT,+7860.84,+2914.01,+638.67,+2735.89,-200.749,-29.1621
2019-04-21 00:17:00 GMT,+7860.84,+2900.69,+651.99,+2735.89,-200.772,-29.1419
2019-04-21 00:18:00 GMT,+7860.84,+2885.68,+666.984,+2735.89,-200.798,-29.1191
2019-04-21 00:19:00 GMT,+7860.84,+2870.98,+681.684,+2735.89,-200.823,-29.0968
2019-04-21 00:20:00 GMT,+7880.47,+2873.14,+696.124,+2735.89,-200.562,-29.2016
2019-04-21 00:21:00 GMT,+7880.47,+2861.14,+707.245,+2735.89,-200.583,-29.183
2019-04-21 00:22:00 GMT,+7880.47,+2852.3,+716.117,+2735.89,-200.598,-29.1696
2019-04-21 00:23:00 GMT,+7880.47,+2839.15,+729.228,+2735.89,-200.621,-29.1496
2019-04-21 00:24:00 GMT,+7880.47,+2828.32,+740.069,+2735.89,-200.64,-29.1332
2019-04-21 00:25:00 GMT,+7859.32,+2802.17,+749.701,+2735.89,-200.553,-29.0463
2019-04-21 00:26:00 GMT,+7859.32,+2791.67,+759.811,+2735.89,-200.572,-29.0301
2019-04-21 00:27:00 GMT,+7859.32,+2779.04,+772.417,+2735.89,-200.593,-29.011
2019-04-21 00:28:00 GMT,+7859.32,+2767.77,+783.701,+2735.89,-200.613,-28.9939
2019-04-21 00:29:00 GMT,+7859.32,+2758.51,+792.974,+2735.89,-200.629,-28.9799
2019-04-21 00:30:00 GMT,+7757.08,+2667.55,+801.243,+2735.89,-201.042,-28.4794
2019-04-21 00:31:00 GMT,+7757.08,+2658.95,+810.747,+2735.89,-201.056,-28.4673
2019-04-21 00:32:00 GMT,+7757.08,+2648.3,+821.374,+2735.89,-201.074,-28.4513
2019-04-21 00:33:00 GMT,+7757.08,+2637.85,+831.821,+2735.89,-201.092,-28.4356
2019-04-21 00:34:00 GMT,+7757.08,+2627.44,+842.228,+2735.89,-201.11,-28.4199
2019-04-21 00:35:00 GMT,+7644.86,+2528.62,+849.881,+2735.89,-201.478,-27.8885
2019-04-21 00:36:00 GMT,+7644.86,+2520.6,+859.323,+2735.89,-201.492,-27.8762
2019-04-21 00:37:00 GMT,+7644.86,+2509.55,+870.343,+2735.89,-201.511,-27.8596
2019-04-21 00:38:00 GMT,+7644.86,+2500.7,+879.209,+2735.89,-201.526,-27.8464
2019-04-21 00:39:00 GMT,+7644.86,+2492.78,+887.142,+2735.89,-201.54,-27.8346
2019-04-21 00:40:00 GMT,+7550.78,+2405.04,+898.421,+2735.89,-201.864,-27.3815
2019-04-21 00:41:00 GMT,+7550.78,+2397.61,+907.051,+2735.89,-201.877,-27.3705
2019-04-21 00:42:00 GMT,+7550.78,+2385.71,+918.896,+2735.89,-201.897,-27.3528
2019-04-21 00:43:00 GMT,+7550.78,+2376.09,+928.541,+2735.89,-201.913,-27.3386
2019-04-21 00:44:00 GMT,+7550.78,+2368.09,+936.563,+2735.89,-201.926,-27.3267
2019-04-21 00:45:00 GMT,+7392.51,+2231.17,+945.645,+2735.89,-202.236,-26.6119
2019-04-21 00:46:00 GMT,+7392.51,+2226.38,+951.692,+2735.89,-202.244,-26.6046
2019-04-21 00:47:00 GMT,+7392.51,+2221.23,+956.834,+2735.89,-202.253,-26.597
2019-04-21 00:48:00 GMT,+7392.51,+2213.16,+964.873,+2735.89,-202.266,-26.5851
2019-04-21 00:49:00 GMT,+7392.51,+2206.6,+971.447,+2735.89,-202.277,-26.5755
2019-04-21 00:50:00 GMT,+7248.35,+2083.63,+977.946,+2735.89,-202.538,-25.928
2019-04-21 00:51:00 GMT,+7248.35,+2077.23,+985.485,+2735.89,-202.549,-25.9188
2019-04-21 00:52:00 GMT,+7248.35,+2071.36,+991.368,+2735.89,-202.559,-25.9102
2019-04-21 00:53:00 GMT,+7248.35,+2065.44,+997.28,+2735.89,-202.569,-25.9016
2019-04-21 00:54:00 GMT,+7248.35,+2057.93,+1004.78,+2735.89,-202.581,-25.8906
2019-04-21 00:55:00 GMT,+7213.1,+2020.81,+1012.95,+2735.89,-202.665,-25.7228
2019-04-21 00:56:00 GMT,+7213.1,+2016.99,+1017.56,+2735.89,-202.673,-25.7164
2019-04-21 00:57:00 GMT,+7213.1,+2008.51,+1025.68,+2735.89,-202.655,-25.7089
2019-04-21 00:58:00 GMT,+7213.1,+2000.96,+1033.55,+2735.89,-202.668,-25.6981
2019-04-21 00:59:00 GMT,+7213.1,+2998.38,+1039.62,+1731.85,-202.62,-26.8968
2019-04-21 01:00:00 GMT,+7179.64,+2968.95,+1042.91,+1731.85,-202.648,-26.7503
2019-04-21 01:01:00 GMT,+7179.64,+2961.58,+1050.2,+1731.85,-202.66,-26.7394
2019-04-21 01:02:00 GMT,+7179.64,+2955.38,+1056.41,+1731.85,-202.671,-26.7303
2019-04-21 01:03:00 GMT,+7179.64,+2949.73,+1062.07,+1731.85,-202.68,-26.722
2019-04-21 01:04:00 GMT,+7179.64,+2943.13,+1068.65,+1731.85,-202.691,-26.7123
2019-04-21 01:05:00 GMT,+7222.32,+2972.06,+1073.12,+1731.85,-202.622,-26.896
2019-04-21 01:06:00 GMT,+7222.32,+2964.54,+1081.37,+1731.85,-202.633,-26.8854
2019-04-21 01:07:00 GMT,+7222.32,+2961.93,+1084.04,+1731.85,-202.637,-26.8816
2019-04-21 01:08:00 GMT,+7222.32,+2960.74,+1085.25,+1731.85,-202.639,-26.8799
2019-04-21 01:09:00 GMT,+7222.32,+2960.59,+1085.41,+1731.85,-202.639,-26.8796
2019-04-21 01:10:00 GMT,+7295.77,+2999.78,+1090.02,+1746.81,-202.631,-27.1654
2019-04-21 01:11:00 GMT,+7295.77,+2994.92,+1094.82,+1746.81,-202.639,-27.1582
2019-04-21 01:12:00 GMT,+7295.77,+2990.03,+1099.71,+1746.81,-202.647,-27.1509
2019-04-21 01:13:00 GMT,+7295.77,+2987.46,+1102.31,+1746.81,-202.651,-27.1472
2019-04-21 01:14:00 GMT,+7295.77,+2984.52,+1105.25,+1746.81,-202.656,-27.1428
2019-04-21 01:15:00 GMT,+7405.96,+2999.76,+1114.55,+1809.86,-202.616,-27.5219
2019-04-21 01:16:00 GMT,+7405.96,+2995.15,+1119.71,+1809.86,-202.623,-27.5154
