# file...... output/LOAD16_data.csv
# date...... Fri May  6 17:40:23 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD16:base_power_C, Bus320:measured_power.real, inv_16_sol:VA_Out.real, inv_16_batt:VA_Out.real, Bus320:measured_voltage_C.real, Bus320:measured_current_C.real
2019-04-21 00:00:00 GMT,+8200.75,+3172.83,+377.124,+3000,-6.29152,+19.8501
2019-04-21 00:01:00 GMT,+8200.75,+3169.34,+391.256,+3000,-6.30266,+19.8534
2019-04-21 00:02:00 GMT,+8200.75,+3137.27,+423.166,+3000,-6.34166,+19.8437
2019-04-21 00:03:00 GMT,+8200.75,+3122.58,+437.936,+3000,-6.35963,+19.8394
2019-04-21 00:04:00 GMT,+8200.75,+3082.68,+477.686,+3000,-6.40812,+19.8275
2019-04-21 00:05:00 GMT,+8610.47,+3398.06,+490.295,+3000,-6.58671,+20.8462
2019-04-21 00:06:00 GMT,+8610.47,+3385.18,+503.116,+3000,-6.60235,+20.8421
2019-04-21 00:07:00 GMT,+8610.47,+3371.38,+516.91,+3000,-6.61914,+20.8377
2019-04-21 00:08:00 GMT,+8610.47,+3356.26,+532.021,+3000,-6.63754,+20.833
2019-04-21 00:09:00 GMT,+8610.47,+3342.44,+545.841,+3000,-6.65437,+20.8286
2019-04-21 00:10:00 GMT,+8933.18,+3586.74,+559.75,+3000,-6.80582,+21.6272
2019-04-21 00:11:00 GMT,+8933.18,+3574.49,+571.975,+3000,-6.82071,+21.6232
2019-04-21 00:12:00 GMT,+8933.18,+3561.4,+585.054,+3000,-6.83663,+21.6189
2019-04-21 00:13:00 GMT,+8933.18,+3547.2,+599.245,+3000,-6.85389,+21.6142
2019-04-21 00:14:00 GMT,+8933.18,+3533.34,+613.109,+3000,-6.87076,+21.6097
2019-04-21 00:15:00 GMT,+9168.89,+3709.77,+625.31,+3000,-6.97992,+22.1911
2019-04-21 00:16:00 GMT,+9168.89,+3696.34,+638.67,+3000,-6.99619,+22.1865
2019-04-21 00:17:00 GMT,+9168.89,+3683.02,+651.99,+3000,-7.01238,+22.182
2019-04-21 00:18:00 GMT,+9168.89,+3668.01,+666.984,+3000,-7.03062,+22.177
2019-04-21 00:19:00 GMT,+9168.89,+3653.31,+681.684,+3000,-7.04848,+22.172
2019-04-21 00:20:00 GMT,+9317.59,+3758.81,+696.124,+3000,-7.11996,+22.5339
2019-04-21 00:21:00 GMT,+9317.59,+3746.72,+707.245,+3000,-7.13406,+22.5304
2019-04-21 00:22:00 GMT,+9317.59,+3737.88,+716.117,+3000,-7.14482,+22.5274
2019-04-21 00:23:00 GMT,+9317.59,+3724.73,+729.228,+3000,-7.16076,+22.5229
2019-04-21 00:24:00 GMT,+9317.59,+3713.91,+740.069,+3000,-7.17392,+22.5192
2019-04-21 00:25:00 GMT,+9379.28,+3754.06,+749.701,+3000,-7.20517,+22.663
2019-04-21 00:26:00 GMT,+9379.28,+3743.52,+759.811,+3000,-7.21721,+22.6597
2019-04-21 00:27:00 GMT,+9379.28,+3730.89,+772.417,+3000,-7.23251,+22.6554
2019-04-21 00:28:00 GMT,+9379.28,+3719.62,+783.701,+3000,-7.2462,+22.6515
2019-04-21 00:29:00 GMT,+9379.28,+3710.36,+792.974,+3000,-7.25745,+22.6484
2019-04-21 00:30:00 GMT,+9433.54,+3744.59,+801.243,+3000,-7.31075,+22.76
2019-04-21 00:31:00 GMT,+9433.54,+3736,+810.747,+3000,-7.3215,+22.757
2019-04-21 00:32:00 GMT,+9433.54,+3725.35,+821.374,+3000,-7.33442,+22.7534
2019-04-21 00:33:00 GMT,+9433.54,+3714.91,+831.821,+3000,-7.34709,+22.7498
2019-04-21 00:34:00 GMT,+9433.54,+3704.5,+842.228,+3000,-7.3597,+22.7462
2019-04-21 00:35:00 GMT,+9234.35,+3535.97,+849.881,+3000,-7.25559,+22.232
2019-04-21 00:36:00 GMT,+9234.35,+3528.08,+859.323,+3000,-7.26308,+22.229
2019-04-21 00:37:00 GMT,+9234.35,+3517.02,+870.343,+3000,-7.27642,+22.2254
2019-04-21 00:38:00 GMT,+9234.35,+3508.18,+879.209,+3000,-7.28716,+22.2225
2019-04-21 00:39:00 GMT,+9234.35,+3500.26,+887.142,+3000,-7.29676,+22.2199
2019-04-21 00:40:00 GMT,+8988.19,+3290.74,+898.421,+3000,-7.23524,+21.6053
