# file...... output/LOAD17_data.csv
# date...... Mon May  2 08:46:21 2022
# user...... user
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD17:base_power_C, Bus327:measured_power.real, inv_17_sol:VA_Out.real, inv_17_batt:VA_Out.real, Bus327:measured_voltage_C.real, Bus327:measured_current_C.real
2019-09-30 00:00:00 GMT,+7579.24,+3063.32,+0.0847326,+3000,-6.26881,+18.0795
2019-09-30 00:01:00 GMT,+7579.24,+3063.39,+0,+3000,-6.26886,+18.0796
2019-09-30 00:02:00 GMT,+7579.24,+3063.39,+0,+3000,-6.26886,+18.0796
2019-09-30 00:03:00 GMT,+7579.24,+3063.39,+0,+3000,-6.26886,+18.0796
2019-09-30 00:04:00 GMT,+7579.24,+3063.39,+0,+3000,-6.26886,+18.0796
2019-09-30 00:05:00 GMT,+7666.38,+3133.1,+0,+3000,-6.45035,+18.2893
2019-09-30 00:06:00 GMT,+7666.38,+3133.1,+0,+3000,-6.45035,+18.2893
2019-09-30 00:07:00 GMT,+7666.38,+3132.13,+1.1042,+3000,-6.4502,+18.2884
2019-09-30 00:08:00 GMT,+7666.38,+3132.18,+1.04064,+3000,-6.4502,+18.2885
2019-09-30 00:09:00 GMT,+7666.38,+3133.1,+0,+3000,-6.45035,+18.2893
2019-09-30 00:10:00 GMT,+7732.01,+3185.6,+0,+3000,-6.53419,+18.4617
2019-09-30 00:11:00 GMT,+7732.01,+3184.59,+1.15344,+3000,-6.53403,+18.4608
2019-09-30 00:12:00 GMT,+7732.01,+3182.74,+3.25432,+3000,-6.53373,+18.459
2019-09-30 00:13:00 GMT,+7732.01,+3181.58,+4.56403,+3000,-6.53355,+18.4579
2019-09-30 00:14:00 GMT,+7732.01,+3181.23,+4.95983,+3000,-6.53349,+18.4576
2019-09-30 00:15:00 GMT,+7776.12,+3216.65,+4.81973,+3000,-6.58862,+18.576
2019-09-30 00:16:00 GMT,+7776.12,+3218.63,+2.57742,+3000,-6.58894,+18.5778
2019-09-30 00:17:00 GMT,+7776.12,+3220.9,+0,+3000,-6.5893,+18.58
2019-09-30 00:18:00 GMT,+7776.12,+3220.9,+0,+3000,-6.5893,+18.58
2019-09-30 00:19:00 GMT,+7776.12,+3220.9,+0,+3000,-6.5893,+18.58
2019-09-30 00:20:00 GMT,+7798.74,+3238.99,+0,+3000,-6.62226,+18.6422
2019-09-30 00:21:00 GMT,+7798.74,+3238.99,+0,+3000,-6.62226,+18.6422
2019-09-30 00:22:00 GMT,+7798.74,+3238.99,+0,+3000,-6.62226,+18.6422
2019-09-30 00:23:00 GMT,+7798.74,+3238.99,+0,+3000,-6.62226,+18.6422
2019-09-30 00:24:00 GMT,+7798.74,+3238.96,+0.0334765,+3000,-6.62225,+18.6422
2019-09-30 00:25:00 GMT,+7799.84,+3238.82,+1.18646,+3000,-6.63293,+18.6474
2019-09-30 00:26:00 GMT,+7799.84,+3238.96,+1.02751,+3000,-6.63295,+18.6475
2019-09-30 00:27:00 GMT,+7799.84,+3239.59,+0.321153,+3000,-6.63305,+18.6481
2019-09-30 00:28:00 GMT,+7799.84,+3239.87,+0,+3000,-6.63309,+18.6484
2019-09-30 00:29:00 GMT,+7799.84,+3239.87,+0,+3000,-6.63309,+18.6484
2019-09-30 00:30:00 GMT,+7724.1,+3178.84,+0.500425,+3000,-6.61955,+18.4518
2019-09-30 00:31:00 GMT,+7724.1,+3177.65,+1.84981,+3000,-6.61936,+18.4507
2019-09-30 00:32:00 GMT,+7724.1,+3178.68,+0.681015,+3000,-6.61952,+18.4517
2019-09-30 00:33:00 GMT,+7724.1,+3179.28,+0,+3000,-6.61962,+18.4522
2019-09-30 00:34:00 GMT,+7724.1,+3179.28,+0,+3000,-6.61962,+18.4522
2019-09-30 00:35:00 GMT,+7734.7,+3187.76,+0,+3000,-6.56318,+18.4746
2019-09-30 00:36:00 GMT,+7734.7,+3187.76,+0,+3000,-6.56318,+18.4746
