# file...... output/LOAD22_data.csv
# date...... Sat May  7 09:16:15 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD22:base_power_A, Bus388:measured_power.real, Bus388:measured_power.imag, inv_22_sol:VA_Out.real, inv_22_batt:VA_Out.real, Bus388:measured_voltage_A.real, Bus388:measured_voltage_A.imag, Bus388:measured_current_A.real, Bus388:measured_current_A.imag, batt_22:state_of_charge
2019-04-21 00:00:00 GMT,+8409.5,+3727.6,+5045.7,+0,+3000,+206.268,-107.422,+11.822,-30.6185,+0.5
2019-04-21 00:01:00 GMT,+8409.5,+3727.6,+5045.7,+0,+3000,+206.268,-107.422,+11.822,-30.6185,+0.498914
2019-04-21 00:02:00 GMT,+8409.5,+3727.6,+5045.7,+0,+3000,+206.268,-107.422,+11.822,-30.6185,+0.497827
2019-04-21 00:03:00 GMT,+8409.5,+3727.6,+5045.7,+0,+3000,+206.268,-107.422,+11.822,-30.6185,+0.496741
2019-04-21 00:04:00 GMT,+8409.5,+3727.6,+5045.7,+0,+3000,+206.268,-107.422,+11.822,-30.6185,+0.495655
2019-04-21 00:05:00 GMT,+8712.03,+3969.62,+5227.22,+0,+3000,+205.23,-106.309,+12.5316,-31.9614,+0.494569
2019-04-21 00:06:00 GMT,+8712.03,+3969.62,+5227.22,+0,+3000,+205.23,-106.309,+12.5316,-31.9614,+0.493482
2019-04-21 00:07:00 GMT,+8712.03,+3969.62,+5227.22,+0,+3000,+205.23,-106.309,+12.5316,-31.9614,+0.492396
2019-04-21 00:08:00 GMT,+8712.03,+3969.62,+5227.22,+0,+3000,+205.23,-106.309,+12.5316,-31.9614,+0.49131
2019-04-21 00:09:00 GMT,+8712.03,+3969.62,+5227.22,+0,+3000,+205.23,-106.309,+12.5316,-31.9614,+0.490224
2019-04-21 00:10:00 GMT,+8946.01,+4156.81,+5367.61,+0,+3000,+204.416,-105.41,+13.0962,-33.0115,+0.489137
2019-04-21 00:11:00 GMT,+8946.01,+4156.81,+5367.61,+0,+3000,+204.416,-105.41,+13.0962,-33.0115,+0.488051
2019-04-21 00:12:00 GMT,+8946.01,+4156.81,+5367.61,+0,+3000,+204.416,-105.41,+13.0962,-33.0115,+0.486965
2019-04-21 00:13:00 GMT,+8946.01,+4156.81,+5367.61,+0,+3000,+204.416,-105.41,+13.0962,-33.0115,+0.485879
2019-04-21 00:14:00 GMT,+8946.01,+4156.81,+5367.61,+0,+3000,+204.416,-105.41,+13.0962,-33.0115,+0.484792
2019-04-21 00:15:00 GMT,+9111.44,+4289.15,+5466.86,+0,+3000,+203.927,-104.746,+13.5069,-33.7458,+0.483706
2019-04-21 00:16:00 GMT,+9111.44,+4289.15,+5466.86,+0,+3000,+203.927,-104.746,+13.5069,-33.7458,+0.48262
2019-04-21 00:17:00 GMT,+9111.44,+4289.15,+5466.86,+0,+3000,+203.927,-104.746,+13.5069,-33.7458,+0.481534
2019-04-21 00:18:00 GMT,+9111.44,+4289.15,+5466.86,+0,+3000,+203.927,-104.746,+13.5069,-33.7458,+0.480447
2019-04-21 00:19:00 GMT,+9111.44,+4289.15,+5466.86,+0,+3000,+203.927,-104.746,+13.5069,-33.7458,+0.479361
2019-04-21 00:20:00 GMT,+9208.32,+4366.66,+5524.99,+0,+3000,+203.612,-104.291,+13.7599,-34.1828,+0.478275
2019-04-21 00:21:00 GMT,+9208.32,+4366.66,+5524.99,+0,+3000,+203.612,-104.291,+13.7599,-34.1828,+0.477189
2019-04-21 00:22:00 GMT,+9208.32,+4366.66,+5524.99,+0,+3000,+203.612,-104.291,+13.7599,-34.1828,+0.476102
2019-04-21 00:23:00 GMT,+9208.32,+4366.66,+5524.99,+0,+3000,+203.612,-104.291,+13.7599,-34.1828,+0.475016
2019-04-21 00:24:00 GMT,+9208.32,+4366.66,+5524.99,+0,+3000,+203.612,-104.291,+13.7599,-34.1828,+0.47393
2019-04-21 00:25:00 GMT,+9236.65,+4389.32,+5541.99,+0,+3000,+203.478,-104.049,+13.8514,-34.3193,+0.472843
2019-04-21 00:26:00 GMT,+9236.65,+4389.32,+5541.99,+0,+3000,+203.478,-104.049,+13.8514,-34.3193,+0.471757
2019-04-21 00:27:00 GMT,+9236.65,+4389.32,+5541.99,+0,+3000,+203.478,-104.049,+13.8514,-34.3193,+0.470671
2019-04-21 00:28:00 GMT,+9236.65,+4389.32,+5541.99,+0,+3000,+203.478,-104.049,+13.8514,-34.3193,+0.469585
2019-04-21 00:29:00 GMT,+9236.65,+4389.32,+5541.99,+0,+3000,+203.478,-104.049,+13.8514,-34.3193,+0.468498
2019-04-21 00:30:00 GMT,+9252.83,+4402.26,+5551.7,+0,+3000,+203.669,-104.326,+13.8406,-34.348,+0.467412
2019-04-21 00:31:00 GMT,+9252.83,+4402.26,+5551.7,+0,+3000,+203.669,-104.326,+13.8406,-34.348,+0.466326
2019-04-21 00:32:00 GMT,+9252.83,+4402.26,+5551.7,+0,+3000,+203.669,-104.326,+13.8406,-34.348,+0.46524
2019-04-21 00:33:00 GMT,+9252.83,+4402.26,+5551.7,+0,+3000,+203.669,-104.326,+13.8406,-34.348,+0.464153
2019-04-21 00:34:00 GMT,+9252.83,+4402.26,+5551.7,+0,+3000,+203.669,-104.326,+13.8406,-34.348,+0.463067
2019-04-21 00:35:00 GMT,+9088.12,+4270.49,+5452.87,+0,+3000,+204.119,-104.637,+13.4824,-33.6256,+0.461981
2019-04-21 00:36:00 GMT,+9088.12,+4270.49,+5452.87,+0,+3000,+204.119,-104.637,+13.4824,-33.6256,+0.460895
2019-04-21 00:37:00 GMT,+9088.12,+4270.24,+5452.87,+0.250206,+3000,+204.12,-104.637,+13.4821,-33.6253,+0.459808
2019-04-21 00:38:00 GMT,+9088.12,+4268.93,+5452.87,+1.56069,+3000,+204.125,-104.638,+13.4803,-33.6236,+0.458722
2019-04-21 00:39:00 GMT,+9088.12,+4266.56,+5452.87,+3.93851,+3000,+204.134,-104.64,+13.4771,-33.6206,+0.457636
2019-04-21 00:40:00 GMT,+8883.05,+4095.24,+5329.84,+11.1851,+3000,+204.499,-104.941,+13.0352,-32.7521,+0.45655
2019-04-21 00:41:00 GMT,+8883.05,+4091.88,+5329.83,+14.5595,+3000,+204.511,-104.943,+13.0307,-32.7479,+0.455463
2019-04-21 00:42:00 GMT,+8883.05,+4085.35,+5329.83,+21.0949,+3000,+204.536,-104.947,+13.022,-32.7397,+0.454377
