# file...... output/LOAD44_data.csv
# date...... Mon May  2 08:46:21 2022
# user...... user
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD44:base_power_B, Bus785:measured_power.real, inv_44_sol:VA_Out.real, inv_44_batt:VA_Out.real, Bus785:measured_voltage_B.real, Bus785:measured_current_B.real
2019-09-30 00:00:00 GMT,+7239.05,+2999.97,+0.0847326,+2791.2,-193.999,-28.0883
2019-09-30 00:01:00 GMT,+7239.05,+3000,+0,+2791.24,-193.999,-28.0884
2019-09-30 00:02:00 GMT,+7239.05,+3000,+0,+2791.24,-193.999,-28.0884
2019-09-30 00:03:00 GMT,+7239.05,+3000,+0,+2791.24,-193.999,-28.0884
2019-09-30 00:04:00 GMT,+7239.05,+3000,+0,+2791.24,-193.999,-28.0884
2019-09-30 00:05:00 GMT,+7454.82,+3000,+0,+2963.85,-193.484,-28.8791
2019-09-30 00:06:00 GMT,+7454.82,+3000,+0,+2963.85,-193.484,-28.8791
2019-09-30 00:07:00 GMT,+7454.82,+2999.02,+1.1042,+2963.85,-193.488,-28.8769
2019-09-30 00:08:00 GMT,+7454.82,+2999.08,+1.04064,+2963.85,-193.488,-28.877
2019-09-30 00:09:00 GMT,+7454.82,+3000,+0,+2963.85,-193.484,-28.8791
2019-09-30 00:10:00 GMT,+7623.2,+3098.56,+0,+3000,-192.975,-29.6409
2019-09-30 00:11:00 GMT,+7623.2,+3097.53,+1.15344,+3000,-192.98,-29.6386
2019-09-30 00:12:00 GMT,+7623.2,+3095.67,+3.25432,+3000,-192.988,-29.6343
2019-09-30 00:13:00 GMT,+7623.2,+3094.5,+4.56403,+3000,-192.993,-29.6316
2019-09-30 00:14:00 GMT,+7623.2,+3094.15,+4.95983,+3000,-192.995,-29.6308
2019-09-30 00:15:00 GMT,+7744.19,+3191.08,+4.81973,+3000,-192.648,-30.21
2019-09-30 00:16:00 GMT,+7744.19,+3193.06,+2.57742,+3000,-192.639,-30.2147
2019-09-30 00:17:00 GMT,+7744.19,+3195.35,+0,+3000,-192.629,-30.22
2019-09-30 00:18:00 GMT,+7744.19,+3195.35,+0,+3000,-192.629,-30.22
2019-09-30 00:19:00 GMT,+7744.19,+3195.35,+0,+3000,-192.629,-30.22
2019-09-30 00:20:00 GMT,+7817.8,+3254.24,+0,+3000,-192.46,-30.5662
2019-09-30 00:21:00 GMT,+7817.8,+3254.24,+0,+3000,-192.46,-30.5662
2019-09-30 00:22:00 GMT,+7817.8,+3254.24,+0,+3000,-192.46,-30.5662
2019-09-30 00:23:00 GMT,+7817.8,+3254.24,+0,+3000,-192.46,-30.5662
2019-09-30 00:24:00 GMT,+7817.8,+3254.21,+0.0334765,+3000,-192.46,-30.5662
2019-09-30 00:25:00 GMT,+7844.02,+3274.16,+1.18646,+3000,-192.475,-30.6757
2019-09-30 00:26:00 GMT,+7844.02,+3274.31,+1.02751,+3000,-192.474,-30.676
2019-09-30 00:27:00 GMT,+7844.02,+3274.93,+0.321153,+3000,-192.471,-30.6775
2019-09-30 00:28:00 GMT,+7844.02,+3275.22,+0,+3000,-192.47,-30.6781
2019-09-30 00:29:00 GMT,+7844.02,+3275.22,+0,+3000,-192.47,-30.6781
2019-09-30 00:30:00 GMT,+7720.71,+3176.12,+0.500425,+3000,-193.244,-30.0212
2019-09-30 00:31:00 GMT,+7720.71,+3174.93,+1.84981,+3000,-193.249,-30.0184
2019-09-30 00:32:00 GMT,+7720.71,+3175.96,+0.681015,+3000,-193.245,-30.0208
2019-09-30 00:33:00 GMT,+7720.71,+3176.57,+0,+3000,-193.242,-30.0222
2019-09-30 00:34:00 GMT,+7720.71,+3176.57,+0,+3000,-193.242,-30.0222
2019-09-30 00:35:00 GMT,+7642.41,+3113.93,+0,+3000,-193.5,-29.6398
2019-09-30 00:36:00 GMT,+7642.41,+3113.93,+0,+3000,-193.5,-29.6398
2019-09-30 00:37:00 GMT,+7642.41,+3113.93,+0,+3000,-193.5,-29.6398
2019-09-30 00:38:00 GMT,+7642.41,+3113.93,+0,+3000,-193.5,-29.6398
2019-09-30 00:39:00 GMT,+7642.41,+3113.93,+0,+3000,-193.5,-29.6398
2019-09-30 00:40:00 GMT,+7520.91,+3016.72,+0,+3000,-193.876,-29.0569
2019-09-30 00:41:00 GMT,+7520.91,+3015.36,+1.53455,+3000,-193.882,-29.0538
2019-09-30 00:42:00 GMT,+7520.91,+3014.11,+2.94754,+3000,-193.888,-29.0509
2019-09-30 00:43:00 GMT,+7520.91,+3013.31,+3.85037,+3000,-193.891,-29.0491
2019-09-30 00:44:00 GMT,+7520.91,+3013.37,+3.77396,+3000,-193.891,-29.0492
2019-09-30 00:45:00 GMT,+7526.82,+3019.01,+2.75591,+3000,-194.17,-29.0355
2019-09-30 00:46:00 GMT,+7526.82,+3019.34,+2.37995,+3000,-194.168,-29.0363
2019-09-30 00:47:00 GMT,+7526.82,+3019.12,+2.63112,+3000,-194.169,-29.0358
2019-09-30 00:48:00 GMT,+7526.82,+3017.43,+4.5323,+3000,-194.177,-29.032
2019-09-30 00:49:00 GMT,+7526.82,+3019.89,+1.76944,+3000,-194.166,-29.0375
2019-09-30 00:50:00 GMT,+7497.82,+2998.25,+0,+3000,-194.355,-28.888
2019-09-30 00:51:00 GMT,+7497.82,+2998.25,+0,+3000,-194.355,-28.888
2019-09-30 00:52:00 GMT,+7497.82,+2998.25,+0,+3000,-194.355,-28.888
2019-09-30 00:53:00 GMT,+7497.82,+2998.25,+0,+3000,-194.355,-28.888
2019-09-30 00:54:00 GMT,+7497.82,+2998.04,+0.246105,+3000,-194.356,-28.8875
2019-09-30 00:55:00 GMT,+7489.61,+2991.69,+0,+3000,-194.487,-28.8339
2019-09-30 00:56:00 GMT,+7489.61,+2991.69,+0,+3000,-194.487,-28.8339
2019-09-30 00:57:00 GMT,+7489.61,+2991.69,+0,+3000,-194.487,-28.8339
2019-09-30 00:58:00 GMT,+7489.61,+2991.69,+0,+3000,-194.487,-28.8339
2019-09-30 00:59:00 GMT,+7489.61,+2991.69,+0,+3000,-194.487,-28.8339
2019-09-30 01:00:00 GMT,+7476.01,+2980.81,+0,+3000,-194.523,-28.7702
2019-09-30 01:01:00 GMT,+7476.01,+2979.68,+1.27068,+3000,-194.528,-28.7677
2019-09-30 01:02:00 GMT,+7476.01,+2980.81,+0,+3000,-194.523,-28.7702
2019-09-30 01:03:00 GMT,+7476.01,+2980.81,+0,+3000,-194.523,-28.7702
2019-09-30 01:04:00 GMT,+7476.01,+2980.81,+0,+3000,-194.523,-28.7702
2019-09-30 01:05:00 GMT,+7360.73,+2888.59,+0,+3000,-194.819,-28.2326
2019-09-30 01:06:00 GMT,+7360.73,+2888.59,+0,+3000,-194.819,-28.2326
2019-09-30 01:07:00 GMT,+7360.73,+2887.71,+0.984498,+3000,-194.822,-28.2307
2019-09-30 01:08:00 GMT,+7360.73,+2887.63,+1.07691,+3000,-194.823,-28.2305
2019-09-30 01:09:00 GMT,+7360.73,+2888.59,+0,+3000,-194.819,-28.2326
2019-09-30 01:10:00 GMT,+7312.88,+2850.31,+0,+3000,-194.902,-28.0124
2019-09-30 01:11:00 GMT,+7312.88,+2850.31,+0,+3000,-194.902,-28.0124
2019-09-30 01:12:00 GMT,+7312.88,+2850.31,+0,+3000,-194.902,-28.0124
2019-09-30 01:13:00 GMT,+7312.88,+2850.31,+0,+3000,-194.902,-28.0124
2019-09-30 01:14:00 GMT,+7312.88,+2850.31,+0,+3000,-194.902,-28.0124
2019-09-30 01:15:00 GMT,+7263.59,+2810.87,+0,+3000,-195.056,-27.7789
2019-09-30 01:16:00 GMT,+7263.59,+2810.87,+0,+3000,-195.056,-27.7789
2019-09-30 01:17:00 GMT,+7263.59,+2809.58,+1.45688,+3000,-195.062,-27.776
2019-09-30 01:18:00 GMT,+7263.59,+2809.84,+1.15459,+3000,-195.061,-27.7766
2019-09-30 01:19:00 GMT,+7263.59,+2810.31,+0.632148,+3000,-195.059,-27.7777
2019-09-30 01:20:00 GMT,+7198.57,+2758.7,+0.182578,+3000,-195.169,-27.4809
2019-09-30 01:21:00 GMT,+7198.57,+2758.86,+0,+3000,-195.169,-27.4812
2019-09-30 01:22:00 GMT,+7198.57,+2756.92,+2.18331,+3000,-195.177,-27.4769
2019-09-30 01:23:00 GMT,+7198.57,+2756.29,+2.89948,+3000,-195.18,-27.4755
2019-09-30 01:24:00 GMT,+7198.57,+2756.38,+2.78906,+3000,-195.18,-27.4757
2019-09-30 01:25:00 GMT,+7199.76,+2759.81,+0,+3000,-195.2,-27.4811
2019-09-30 01:26:00 GMT,+7199.76,+2759.81,+0,+3000,-195.2,-27.4811
2019-09-30 01:27:00 GMT,+7199.76,+2759.81,+0,+3000,-195.2,-27.4811
2019-09-30 01:28:00 GMT,+7199.76,+2759.81,+0,+3000,-195.2,-27.4811
2019-09-30 01:29:00 GMT,+7199.76,+2759.81,+0,+3000,-195.2,-27.4811
