# file...... output/LOAD4_data.csv
# date...... Fri May  6 17:40:23 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD4:base_power_A, Bus73:measured_power.real, inv_4_sol:VA_Out.real, inv_4_batt:VA_Out.real, Bus73:measured_voltage_A.real, Bus73:measured_current_A.real
2019-04-21 00:00:00 GMT,+7356.83,+2927.54,+377.124,+2572.88,+210.524,+9.08607
2019-04-21 00:01:00 GMT,+7356.83,+2921.33,+391.256,+2572.88,+210.526,+9.07767
2019-04-21 00:02:00 GMT,+7356.83,+2889.3,+423.166,+2572.88,+210.604,+9.03978
2019-04-21 00:03:00 GMT,+7356.83,+2874.59,+437.936,+2572.88,+210.639,+9.02237
2019-04-21 00:04:00 GMT,+7356.83,+2834.73,+477.686,+2572.88,+210.735,+8.97525
2019-04-21 00:05:00 GMT,+7579.18,+2998.57,+490.295,+2574.46,+210.05,+9.39739
2019-04-21 00:06:00 GMT,+7579.18,+2985.71,+503.116,+2574.46,+210.082,+9.38213
2019-04-21 00:07:00 GMT,+7579.18,+2971.91,+516.91,+2574.46,+210.115,+9.36574
2019-04-21 00:08:00 GMT,+7579.18,+2956.79,+532.021,+2574.46,+210.152,+9.34779
2019-04-21 00:09:00 GMT,+7579.18,+2942.97,+545.841,+2574.46,+210.185,+9.33139
2019-04-21 00:10:00 GMT,+7741.64,+2998.7,+559.75,+2634.82,+209.659,+9.569
2019-04-21 00:11:00 GMT,+7741.64,+2986.46,+571.975,+2634.82,+209.689,+9.55443
2019-04-21 00:12:00 GMT,+7741.64,+2973.37,+585.054,+2634.82,+209.721,+9.53884
2019-04-21 00:13:00 GMT,+7741.64,+2959.17,+599.245,+2634.82,+209.755,+9.52194
2019-04-21 00:14:00 GMT,+7741.64,+2945.31,+613.109,+2634.82,+209.789,+9.50543
2019-04-21 00:15:00 GMT,+7844.23,+2999.05,+625.31,+2651,+209.394,+9.68541
2019-04-21 00:16:00 GMT,+7844.23,+2985.64,+638.67,+2651,+209.427,+9.66941
2019-04-21 00:17:00 GMT,+7844.23,+2972.32,+651.99,+2651,+209.46,+9.65352
2019-04-21 00:18:00 GMT,+7844.23,+2957.31,+666.984,+2651,+209.497,+9.63561
2019-04-21 00:19:00 GMT,+7844.23,+2942.61,+681.684,+2651,+209.533,+9.61807
2019-04-21 00:20:00 GMT,+7886.92,+2963.08,+696.124,+2651,+209.279,+9.70104
2019-04-21 00:21:00 GMT,+7886.92,+2951.22,+707.245,+2651,+209.311,+9.68643
2019-04-21 00:22:00 GMT,+7886.92,+2942.37,+716.117,+2651,+209.333,+9.67585
2019-04-21 00:23:00 GMT,+7886.92,+2929.23,+729.228,+2651,+209.366,+9.66016
2019-04-21 00:24:00 GMT,+7886.92,+2918.4,+740.069,+2651,+209.392,+9.64722
2019-04-21 00:25:00 GMT,+7869.74,+2895.35,+749.701,+2651,+209.281,+9.61899
2019-04-21 00:26:00 GMT,+7869.74,+2884.91,+759.811,+2651,+209.309,+9.60619
2019-04-21 00:27:00 GMT,+7869.74,+2872.29,+772.417,+2651,+209.34,+9.59111
2019-04-21 00:28:00 GMT,+7869.74,+2861.01,+783.701,+2651,+209.368,+9.57763
2019-04-21 00:29:00 GMT,+7869.74,+2851.75,+792.974,+2651,+209.39,+9.56656
2019-04-21 00:30:00 GMT,+7659.64,+2674.66,+801.243,+2651,+209.579,+9.16793
2019-04-21 00:31:00 GMT,+7659.64,+2665.91,+810.747,+2651,+209.6,+9.15769
2019-04-21 00:32:00 GMT,+7659.64,+2655.26,+821.374,+2651,+209.626,+9.145
2019-04-21 00:33:00 GMT,+7659.64,+2644.82,+831.821,+2651,+209.652,+9.13254
2019-04-21 00:34:00 GMT,+7659.64,+2634.41,+842.228,+2651,+209.678,+9.12012
2019-04-21 00:35:00 GMT,+7506.55,+2503.1,+849.881,+2651,+209.994,+8.82857
2019-04-21 00:36:00 GMT,+7506.55,+2494.86,+859.323,+2651,+210.013,+8.81868
2019-04-21 00:37:00 GMT,+7506.55,+2483.81,+870.343,+2651,+210.04,+8.80553
2019-04-21 00:38:00 GMT,+7506.55,+2474.96,+879.209,+2651,+210.061,+8.795
2019-04-21 00:39:00 GMT,+7506.55,+2467.03,+887.142,+2651,+210.081,+8.78557
2019-04-21 00:40:00 GMT,+7374.95,+2349.48,+898.421,+2651,+210.342,+8.52798
2019-04-21 00:41:00 GMT,+7374.95,+2341.86,+907.051,+2651,+210.36,+8.519
2019-04-21 00:42:00 GMT,+7374.95,+2329.97,+918.896,+2651,+210.389,+8.50489
2019-04-21 00:43:00 GMT,+7374.95,+2320.35,+928.541,+2651,+210.412,+8.49345
2019-04-21 00:44:00 GMT,+7374.95,+2312.34,+936.563,+2651,+210.432,+8.48394
2019-04-21 00:45:00 GMT,+7274.56,+2221.93,+945.645,+2651,+210.678,+8.28788
2019-04-21 00:46:00 GMT,+7274.56,+2216.92,+951.692,+2651,+210.688,+8.28187
2019-04-21 00:47:00 GMT,+7274.56,+2211.78,+956.834,+2651,+210.701,+8.27577
2019-04-21 00:48:00 GMT,+7274.56,+2203.71,+964.873,+2651,+210.721,+8.26621
2019-04-21 00:49:00 GMT,+7274.56,+2197.15,+971.447,+2651,+210.736,+8.25842
2019-04-21 00:50:00 GMT,+7188.6,+2120.92,+977.946,+2651,+211.015,+8.08256
2019-04-21 00:51:00 GMT,+7188.6,+2114.35,+985.485,+2651,+211.028,+8.07526
2019-04-21 00:52:00 GMT,+7188.6,+2108.47,+991.368,+2651,+211.042,+8.06829
2019-04-21 00:53:00 GMT,+7188.6,+2102.55,+997.28,+2651,+211.057,+8.0613
2019-04-21 00:54:00 GMT,+7188.6,+2095.04,+1004.78,+2651,+211.075,+8.05241
2019-04-21 00:55:00 GMT,+7257.51,+2141.37,+1012.95,+2651,+211.258,+8.15892
2019-04-21 00:56:00 GMT,+7257.51,+2137.42,+1017.56,+2651,+211.266,+8.15422
2019-04-21 00:57:00 GMT,+7257.51,+2129.03,+1025.68,+2651,+211.243,+8.14363
2019-04-21 00:58:00 GMT,+7257.51,+2121.4,+1033.55,+2651,+211.261,+8.13456
2019-04-21 00:59:00 GMT,+7257.51,+2115.1,+1039.62,+2651,+211.234,+8.12646
2019-04-21 01:00:00 GMT,+7302.03,+2147.71,+1042.91,+2651,+211.349,+8.19948
2019-04-21 01:01:00 GMT,+7302.03,+2140.36,+1050.2,+2651,+211.367,+8.1908
2019-04-21 01:02:00 GMT,+7302.03,+2134.16,+1056.41,+2651,+211.382,+8.18347
2019-04-21 01:03:00 GMT,+7302.03,+2128.5,+1062.07,+2651,+211.395,+8.17679
2019-04-21 01:04:00 GMT,+7302.03,+2121.91,+1068.65,+2651,+211.411,+8.169
2019-04-21 01:05:00 GMT,+7357.17,+2160.78,+1073.12,+2651,+211.343,+8.25703
2019-04-21 01:06:00 GMT,+7357.17,+2153.3,+1081.37,+2651,+211.361,+8.24805
2019-04-21 01:07:00 GMT,+7357.17,+2150.67,+1084.04,+2651,+211.367,+8.24494
2019-04-21 01:08:00 GMT,+7357.17,+2149.48,+1085.25,+2651,+211.37,+8.24353
2019-04-21 01:09:00 GMT,+7357.17,+2149.33,+1085.41,+2651,+211.37,+8.24335
2019-04-21 01:10:00 GMT,+7376.53,+2160.2,+1090.02,+2651,+211.261,+8.27611
2019-04-21 01:11:00 GMT,+7376.53,+2155.36,+1094.82,+2651,+211.273,+8.2704
2019-04-21 01:12:00 GMT,+7376.53,+2150.47,+1099.71,+2651,+211.285,+8.26462
2019-04-21 01:13:00 GMT,+7376.53,+2147.89,+1102.31,+2651,+211.291,+8.26158
2019-04-21 01:14:00 GMT,+7376.53,+2144.95,+1105.25,+2651,+211.298,+8.2581
2019-04-21 01:15:00 GMT,+7366.41,+2127.1,+1114.55,+2651,+211.316,+8.22243
2019-04-21 01:16:00 GMT,+7366.41,+2122.38,+1119.71,+2651,+211.327,+8.21677
2019-04-21 01:17:00 GMT,+7366.41,+2123.13,+1119.01,+2651,+211.325,+8.21764
2019-04-21 01:18:00 GMT,+7366.41,+2115.03,+1127.02,+2651,+211.345,+8.20809
2019-04-21 01:19:00 GMT,+7366.41,+2113.65,+1128.47,+2651,+211.348,+8.20645
2019-04-21 01:20:00 GMT,+7295.81,+2057.27,+1128.38,+2651,+211.32,+8.08276
2019-04-21 01:21:00 GMT,+7295.81,+2043.2,+1142.14,+2651,+211.311,+8.06551
2019-04-21 01:22:00 GMT,+7295.81,+2039.9,+1145.44,+2651,+211.276,+8.06089
2019-04-21 01:23:00 GMT,+7295.81,+2032.86,+1152.73,+2651,+211.292,+8.05253
2019-04-21 01:24:00 GMT,+7295.81,+2038.6,+1147.11,+2651,+211.278,+8.0593
2019-04-21 01:25:00 GMT,+7315.27,+2051.75,+1149.46,+2651,+211.322,+8.0857
