# file...... output/LOAD54_data.csv
# date...... Fri May  6 19:23:13 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD54:base_power_A, Bus900:measured_power.real, Bus900:measured_power.imag, inv_54_sol:VA_Out.real, inv_54_batt:VA_Out.real, Bus900:measured_voltage_A.real, Bus900:measured_voltage_A.imag, Bus900:measured_current_A.real, Bus900:measured_current_A.imag
2019-04-21 00:00:00 GMT,+3256.71,+2605.37,+1954.02,+0,-0,+206.563,-107.572,+6.04672,-12.6086
2019-04-21 00:01:00 GMT,+3256.71,+2605.37,+1954.02,+0,-0,+206.563,-107.572,+6.04672,-12.6086
2019-04-21 00:02:00 GMT,+3256.71,+2605.37,+1954.02,+0,-0,+206.563,-107.572,+6.04672,-12.6086
2019-04-21 00:03:00 GMT,+3256.71,+2605.37,+1954.02,+0,-0,+206.563,-107.572,+6.04672,-12.6086
2019-04-21 00:04:00 GMT,+3256.71,+2605.37,+1954.02,+0,-0,+206.563,-107.572,+6.04672,-12.6086
2019-04-21 00:05:00 GMT,+3567.01,+2853.61,+2140.21,+0,-0,+205.454,-106.294,+6.70524,-13.886
2019-04-21 00:06:00 GMT,+3567.01,+2853.61,+2140.21,+0,-0,+205.454,-106.294,+6.70524,-13.886
2019-04-21 00:07:00 GMT,+3567.01,+2853.61,+2140.21,+0,-0,+205.454,-106.294,+6.70524,-13.886
2019-04-21 00:08:00 GMT,+3567.01,+2853.61,+2140.21,+0,-0,+205.454,-106.294,+6.70524,-13.886
2019-04-21 00:09:00 GMT,+3567.01,+2853.61,+2140.21,+0,-0,+205.454,-106.294,+6.70524,-13.886
2019-04-21 00:10:00 GMT,+3823.38,+3000,+2294.03,+0,+58.7059,+204.614,-105.262,+7.18408,-14.9073
2019-04-21 00:11:00 GMT,+3823.38,+3000,+2294.03,+0,+58.7059,+204.614,-105.262,+7.18408,-14.9073
2019-04-21 00:12:00 GMT,+3823.38,+3000,+2294.03,+0,+58.7059,+204.614,-105.262,+7.18408,-14.9073
2019-04-21 00:13:00 GMT,+3823.38,+3000,+2294.03,+0,+58.7059,+204.614,-105.262,+7.18408,-14.9073
2019-04-21 00:14:00 GMT,+3823.38,+3000,+2294.03,+0,+58.7059,+204.614,-105.262,+7.18408,-14.9073
2019-04-21 00:15:00 GMT,+4025.83,+3000,+2415.5,+0,+220.662,+204.161,-104.503,+7.41577,-15.6272
2019-04-21 00:16:00 GMT,+4025.83,+3000,+2415.5,+0,+220.662,+204.161,-104.503,+7.41577,-15.6272
2019-04-21 00:17:00 GMT,+4025.83,+3000,+2415.5,+0,+220.662,+204.161,-104.503,+7.41577,-15.6272
2019-04-21 00:18:00 GMT,+4025.83,+3000,+2415.5,+0,+220.662,+204.161,-104.503,+7.41577,-15.6272
2019-04-21 00:19:00 GMT,+4025.83,+3000,+2415.5,+0,+220.662,+204.161,-104.503,+7.41577,-15.6272
2019-04-21 00:20:00 GMT,+4174.34,+3000,+2504.61,+0,+339.475,+203.869,-103.971,+7.5868,-16.1546
2019-04-21 00:21:00 GMT,+4174.34,+3000,+2504.61,+0,+339.475,+203.869,-103.971,+7.5868,-16.1546
2019-04-21 00:22:00 GMT,+4174.34,+3000,+2504.61,+0,+339.475,+203.869,-103.971,+7.5868,-16.1546
2019-04-21 00:23:00 GMT,+4174.34,+3000,+2504.61,+0,+339.475,+203.869,-103.971,+7.5868,-16.1546
2019-04-21 00:24:00 GMT,+4174.34,+3000,+2504.61,+0,+339.475,+203.869,-103.971,+7.5868,-16.1546
2019-04-21 00:25:00 GMT,+4268.93,+3000,+2561.36,+0,+415.146,+203.741,-103.668,+7.69421,-16.4866
2019-04-21 00:26:00 GMT,+4268.93,+3000,+2561.36,+0,+415.146,+203.741,-103.668,+7.69421,-16.4866
2019-04-21 00:27:00 GMT,+4268.93,+3000,+2561.36,+0,+415.146,+203.741,-103.668,+7.69421,-16.4866
2019-04-21 00:28:00 GMT,+4268.93,+3000,+2561.36,+0,+415.146,+203.741,-103.668,+7.69421,-16.4866
2019-04-21 00:29:00 GMT,+4268.93,+3000,+2561.36,+0,+415.146,+203.741,-103.668,+7.69421,-16.4866
2019-04-21 00:30:00 GMT,+4153.62,+2907.75,+2492.17,+0,+415.146,+203.988,-104.042,+7.4436,-16.0138
2019-04-21 00:31:00 GMT,+4153.62,+2907.75,+2492.17,+0,+415.146,+203.988,-104.042,+7.4436,-16.0138
2019-04-21 00:32:00 GMT,+4153.62,+2907.75,+2492.17,+0,+415.146,+203.988,-104.042,+7.4436,-16.0138
2019-04-21 00:33:00 GMT,+4153.62,+2907.75,+2492.17,+0,+415.146,+203.988,-104.042,+7.4436,-16.0138
2019-04-21 00:34:00 GMT,+4153.62,+2907.75,+2492.17,+0,+415.146,+203.988,-104.042,+7.4436,-16.0138
