# file...... output/LOAD5_data.csv
# date...... Thu May  5 00:27:54 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD5:base_power_A, Bus74:measured_power.real, inv_5_sol:VA_Out.real, inv_5_batt:VA_Out.real, Bus74:measured_voltage_A.real, Bus74:measured_current_A.real
2019-09-30 00:00:00 GMT,+7628.73,+3102.9,+0.0847326,+3000,+209.611,+9.51331
2019-09-30 00:01:00 GMT,+7628.73,+3102.98,+0,+3000,+209.611,+9.51341
2019-09-30 00:02:00 GMT,+7628.73,+3102.98,+0,+3000,+209.611,+9.51341
2019-09-30 00:03:00 GMT,+7628.73,+3102.98,+0,+3000,+209.611,+9.51341
2019-09-30 00:04:00 GMT,+7628.73,+3102.98,+0,+3000,+209.611,+9.51341
2019-09-30 00:05:00 GMT,+7763.34,+3210.68,+0,+3000,+208.871,+9.80681
2019-09-30 00:06:00 GMT,+7763.34,+3210.68,+0,+3000,+208.871,+9.80681
2019-09-30 00:07:00 GMT,+7763.34,+3209.57,+1.1042,+3000,+208.873,+9.80549
2019-09-30 00:08:00 GMT,+7763.34,+3209.64,+1.04064,+3000,+208.873,+9.80556
2019-09-30 00:09:00 GMT,+7763.34,+3210.68,+0,+3000,+208.871,+9.80681
2019-09-30 00:10:00 GMT,+7861.21,+3288.97,+0,+3000,+208.277,+10.0263
2019-09-30 00:11:00 GMT,+7861.21,+3287.82,+1.15344,+3000,+208.279,+10.0249
2019-09-30 00:12:00 GMT,+7861.21,+3285.71,+3.25432,+3000,+208.285,+10.0224
2019-09-30 00:13:00 GMT,+7861.21,+3284.4,+4.56403,+3000,+208.288,+10.0208
2019-09-30 00:14:00 GMT,+7861.21,+3284.01,+4.95983,+3000,+208.289,+10.0204
2019-09-30 00:15:00 GMT,+7922.33,+3333.04,+4.81973,+3000,+207.938,+10.1653
2019-09-30 00:16:00 GMT,+7922.33,+3335.29,+2.57742,+3000,+207.934,+10.168
2019-09-30 00:17:00 GMT,+7922.33,+3337.86,+0,+3000,+207.929,+10.1711
