# file...... output/LOAD7_data.csv
# date...... Thu May  5 00:27:54 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD7:base_power_B, Bus178:measured_power.real, inv_7_sol:VA_Out.real, inv_7_batt:VA_Out.real, Bus178:measured_voltage_B.real, Bus178:measured_current_B.real
2019-09-30 00:00:00 GMT,+7620.58,+3096.38,+0.0847326,+3000,-202.705,-28.3899
2019-09-30 00:01:00 GMT,+7620.58,+3096.47,+0,+3000,-202.705,-28.39
2019-09-30 00:02:00 GMT,+7620.58,+3096.47,+0,+3000,-202.705,-28.39
2019-09-30 00:03:00 GMT,+7620.58,+3096.47,+0,+3000,-202.705,-28.39
2019-09-30 00:04:00 GMT,+7620.58,+3096.47,+0,+3000,-202.705,-28.39
2019-09-30 00:05:00 GMT,+7727.41,+3181.93,+0,+3000,-201.868,-28.9551
2019-09-30 00:06:00 GMT,+7727.41,+3181.93,+0,+3000,-201.868,-28.9551
2019-09-30 00:07:00 GMT,+7727.41,+3180.82,+1.1042,+3000,-201.87,-28.9534
2019-09-30 00:08:00 GMT,+7727.41,+3180.89,+1.04064,+3000,-201.87,-28.9535
2019-09-30 00:09:00 GMT,+7727.41,+3181.93,+0,+3000,-201.868,-28.9551
2019-09-30 00:10:00 GMT,+7797.03,+3237.62,+0,+3000,-201.209,-29.3424
2019-09-30 00:11:00 GMT,+7797.03,+3236.47,+1.15344,+3000,-201.21,-29.3406
2019-09-30 00:12:00 GMT,+7797.03,+3234.37,+3.25432,+3000,-201.214,-29.3374
2019-09-30 00:13:00 GMT,+7797.03,+3233.06,+4.56403,+3000,-201.216,-29.3354
2019-09-30 00:14:00 GMT,+7797.03,+3232.66,+4.95983,+3000,-201.217,-29.3348
2019-09-30 00:15:00 GMT,+7829.44,+3258.73,+4.81973,+3000,-200.802,-29.5294
2019-09-30 00:16:00 GMT,+7829.44,+3260.97,+2.57742,+3000,-200.799,-29.5326
2019-09-30 00:17:00 GMT,+7829.44,+3263.55,+0,+3000,-200.796,-29.5363
2019-09-30 00:18:00 GMT,+7829.44,+3263.55,+0,+3000,-200.796,-29.5363
2019-09-30 00:19:00 GMT,+7829.44,+3263.55,+0,+3000,-200.796,-29.5363
2019-09-30 00:20:00 GMT,+7824.64,+3259.71,+0,+3000,-200.55,-29.5498
2019-09-30 00:21:00 GMT,+7824.64,+3259.71,+0,+3000,-200.55,-29.5498
2019-09-30 00:22:00 GMT,+7824.64,+3259.71,+0,+3000,-200.55,-29.5498
2019-09-30 00:23:00 GMT,+7824.64,+3259.71,+0,+3000,-200.55,-29.5498
2019-09-30 00:24:00 GMT,+7824.64,+3259.68,+0.0334765,+3000,-200.55,-29.5497
2019-09-30 00:25:00 GMT,+7782.64,+3224.92,+1.18646,+3000,-200.475,-29.3801
2019-09-30 00:26:00 GMT,+7782.64,+3225.08,+1.02751,+3000,-200.475,-29.3804
2019-09-30 00:27:00 GMT,+7782.64,+3225.79,+0.321153,+3000,-200.474,-29.3814
2019-09-30 00:28:00 GMT,+7782.64,+3226.11,+0,+3000,-200.473,-29.3818
2019-09-30 00:29:00 GMT,+7782.64,+3226.11,+0,+3000,-200.473,-29.3818
2019-09-30 00:30:00 GMT,+7604.98,+3083.48,+0.500425,+3000,-200.844,-28.573
2019-09-30 00:31:00 GMT,+7604.98,+3082.13,+1.84981,+3000,-200.846,-28.5709
2019-09-30 00:32:00 GMT,+7604.98,+3083.3,+0.681015,+3000,-200.844,-28.5727
2019-09-30 00:33:00 GMT,+7604.98,+3083.98,+0,+3000,-200.843,-28.5738
2019-09-30 00:34:00 GMT,+7604.98,+3083.98,+0,+3000,-200.843,-28.5738
2019-09-30 00:35:00 GMT,+7433.17,+2946.54,+0,+3000,-201.245,-27.7931
2019-09-30 00:36:00 GMT,+7433.17,+2946.54,+0,+3000,-201.245,-27.7931
2019-09-30 00:37:00 GMT,+7433.17,+2946.54,+0,+3000,-201.245,-27.7931
2019-09-30 00:38:00 GMT,+7433.17,+2946.54,+0,+3000,-201.245,-27.7931
2019-09-30 00:39:00 GMT,+7433.17,+2946.54,+0,+3000,-201.245,-27.7931
2019-09-30 00:40:00 GMT,+7430.31,+2944.25,+0,+3000,-201.5,-27.747
2019-09-30 00:41:00 GMT,+7430.31,+2942.72,+1.53455,+3000,-201.503,-27.7447
2019-09-30 00:42:00 GMT,+7430.31,+2941.3,+2.94754,+3000,-201.505,-27.7426
2019-09-30 00:43:00 GMT,+7430.31,+2940.4,+3.85037,+3000,-201.507,-27.7412
2019-09-30 00:44:00 GMT,+7430.31,+2940.48,+3.77396,+3000,-201.506,-27.7413
2019-09-30 00:45:00 GMT,+7388.04,+2907.67,+2.75591,+3000,-201.861,-27.521
2019-09-30 00:46:00 GMT,+7388.04,+2908.05,+2.37995,+3000,-201.861,-27.5215
2019-09-30 00:47:00 GMT,+7388.04,+2907.8,+2.63112,+3000,-201.861,-27.5212
2019-09-30 00:48:00 GMT,+7388.04,+2905.9,+4.5323,+3000,-201.865,-27.5183
2019-09-30 00:49:00 GMT,+7388.04,+2908.66,+1.76944,+3000,-201.86,-27.5225
2019-09-30 00:50:00 GMT,+7322.44,+2857.95,+0,+3000,-202.062,-27.2237
2019-09-30 00:51:00 GMT,+7322.44,+2857.95,+0,+3000,-202.062,-27.2237
2019-09-30 00:52:00 GMT,+7322.44,+2857.95,+0,+3000,-202.062,-27.2237
2019-09-30 00:53:00 GMT,+7322.44,+2857.95,+0,+3000,-202.062,-27.2237
2019-09-30 00:54:00 GMT,+7322.44,+2857.71,+0.246105,+3000,-202.062,-27.2233
2019-09-30 00:55:00 GMT,+7305.19,+2844.15,+0,+3000,-202.258,-27.1276
2019-09-30 00:56:00 GMT,+7305.19,+2844.15,+0,+3000,-202.258,-27.1276
2019-09-30 00:57:00 GMT,+7305.19,+2844.15,+0,+3000,-202.258,-27.1276
2019-09-30 00:58:00 GMT,+7305.19,+2844.15,+0,+3000,-202.258,-27.1276
2019-09-30 00:59:00 GMT,+7305.19,+2844.15,+0,+3000,-202.258,-27.1276
2019-09-30 01:00:00 GMT,+7385.04,+2908.03,+0,+3000,-202.269,-27.4617
2019-09-30 01:01:00 GMT,+7385.04,+2906.76,+1.27068,+3000,-202.271,-27.4598
2019-09-30 01:02:00 GMT,+7385.04,+2908.03,+0,+3000,-202.269,-27.4617
2019-09-30 01:03:00 GMT,+7385.04,+2908.03,+0,+3000,-202.269,-27.4617
2019-09-30 01:04:00 GMT,+7385.04,+2908.03,+0,+3000,-202.269,-27.4617
2019-09-30 01:05:00 GMT,+7470.26,+2976.21,+0,+3000,-202.306,-27.8141
2019-09-30 01:06:00 GMT,+7470.26,+2976.21,+0,+3000,-202.306,-27.8141
2019-09-30 01:07:00 GMT,+7470.26,+2975.23,+0.984498,+3000,-202.308,-27.8126
2019-09-30 01:08:00 GMT,+7470.26,+2975.13,+1.07691,+3000,-202.308,-27.8125
