# file...... output/current2.csv
# date...... Thu May  5 00:27:54 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,Bus619:measured_current_C.real, Bus629:measured_current_A.real, Bus639:measured_current_B.real, Bus676:measured_current_B.real, Bus682:measured_current_B.real, Bus688:measured_current_B.real, Bus701:measured_current_C.real, Bus702:measured_current_B.real, Bus755:measured_current_B.real, Bus778:measured_current_C.real, Bus780:measured_current_C.real, Bus785:measured_current_B.real, Bus813:measured_current_B.real, Bus817:measured_current_A.real, Bus835:measured_current_C.real, Bus860:measured_current_A.real, Bus861:measured_current_A.real, Bus886:measured_current_B.real, Bus896:measured_current_A.real, Bus898:measured_current_A.real, Bus899:measured_current_B.real, Bus900:measured_current_A.real, Bus906:measured_current_A
2019-09-30 00:00:00 GMT,+19.1637,+12.1659,-32.3782,-32.5655,-32.557,-30.2183,+20.4777,-32.2087,-13.9426,+7.66227,+7.86013,-13.8258,-14.238,+5.70186,+7.77553,+6.08138,+5.93324,-13.6485,+5.87629,+5.84409,-14.1468,+6.14056,+5.96153-12.3504j
2019-09-30 00:01:00 GMT,+19.1638,+12.166,-32.3783,-32.5657,-32.5572,-30.2184,+20.4778,-32.2088,-13.9427,+7.66228,+7.86014,-13.826,-14.2381,+5.70197,+7.77554,+6.08149,+5.93335,-13.6486,+5.87641,+5.8442,-14.1469,+6.14067,+5.96164-12.3505j
2019-09-30 00:02:00 GMT,+19.1638,+12.166,-32.3783,-32.5657,-32.5572,-30.2184,+20.4778,-32.2088,-13.9427,+7.66228,+7.86014,-13.826,-14.2381,+5.70197,+7.77554,+6.08149,+5.93335,-13.6486,+5.87641,+5.8442,-14.1469,+6.14067,+5.96164-12.3505j
2019-09-30 00:03:00 GMT,+19.1638,+12.166,-32.3783,-32.5657,-32.5572,-30.2184,+20.4778,-32.2088,-13.9427,+7.66228,+7.86014,-13.826,-14.2381,+5.70197,+7.77554,+6.08149,+5.93335,-13.6486,+5.87641,+5.8442,-14.1469,+6.14067,+5.96164-12.3505j
2019-09-30 00:04:00 GMT,+19.1638,+12.166,-32.3783,-32.5657,-32.5572,-30.2184,+20.4778,-32.2088,-13.9427,+7.66228,+7.86014,-13.826,-14.2381,+5.70197,+7.77554,+6.08149,+5.93335,-13.6486,+5.87641,+5.8442,-14.1469,+6.14067,+5.96164-12.3505j
2019-09-30 00:05:00 GMT,+20.4157,+13.2497,-33.8957,-34.4665,-34.3351,-32.6382,+21.3568,-33.8806,-15.4327,+8.50033,+8.72134,-15.4205,-15.5869,+6.49036,+8.54065,+6.72003,+6.61088,-15.2799,+6.59952,+6.58323,-15.5708,+6.76754,+6.65588-13.6798j
2019-09-30 00:06:00 GMT,+20.4157,+13.2497,-33.8957,-34.4665,-34.3351,-32.6382,+21.3568,-33.8806,-15.4327,+8.50033,+8.72134,-15.4205,-15.5869,+6.49036,+8.54065,+6.72003,+6.61088,-15.2799,+6.59952,+6.58323,-15.5708,+6.76754,+6.65588-13.6798j
2019-09-30 00:07:00 GMT,+20.4153,+13.2482,-33.8936,-34.4644,-34.333,-32.6362,+21.3563,-33.8786,-15.4311,+8.50015,+8.72114,-15.4188,-15.5853,+6.4889,+8.54046,+6.71857,+6.60942,-15.2782,+6.59805,+6.58175,-15.5691,+6.76607,+6.6544-13.6787j
2019-09-30 00:08:00 GMT,+20.4153,+13.2483,-33.8937,-34.4646,-34.3331,-32.6364,+21.3564,-33.8787,-15.4312,+8.50016,+8.72115,-15.4189,-15.5854,+6.48899,+8.54047,+6.71865,+6.6095,-15.2783,+6.59814,+6.58184,-15.5692,+6.76616,+6.65448-13.6788j
2019-09-30 00:09:00 GMT,+20.4157,+13.2497,-33.8957,-34.4665,-34.3351,-32.6382,+21.3568,-33.8806,-15.4327,+8.50033,+8.72134,-15.4205,-15.5869,+6.49036,+8.54065,+6.72003,+6.61088,-15.2799,+6.59952,+6.58323,-15.5708,+6.76754,+6.65588-13.6798j
