# file...... output/inverter.csv
# date...... Wed May 11 08:05:47 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,inv_11_batt:phaseA_V_Out, inv_11_batt:phaseA_I_Out, inv_11_sol:VA_In
2019-04-21 00:00:00 GMT,+232.711-29.1186d,+0+0i,+0+0j
2019-04-21 00:01:00 GMT,+238.648-28.5116d,+0+0i,+0+0j
2019-04-21 00:02:00 GMT,+238.648-28.5116d,+0+0i,+0+0j
2019-04-21 00:03:00 GMT,+238.648-28.5116d,+0+0i,+0+0j
2019-04-21 00:04:00 GMT,+238.648-28.5116d,+0+0i,+0+0j
2019-04-21 00:05:00 GMT,+237.594-28.4517d,+0+0i,+0+0j
2019-04-21 00:06:00 GMT,+237.643-28.446d,+0+0i,+0+0j
2019-04-21 00:07:00 GMT,+237.643-28.446d,+0+0i,+0+0j
2019-04-21 00:08:00 GMT,+237.643-28.446d,+0+0i,+0+0j
2019-04-21 00:09:00 GMT,+237.643-28.446d,+0+0i,+0+0j
2019-04-21 00:10:00 GMT,+236.788-28.3963d,+0+0i,+0+0j
2019-04-21 00:11:00 GMT,+236.837-28.3916d,+0+0i,+0+0j
2019-04-21 00:12:00 GMT,+236.837-28.3916d,+0+0i,+0+0j
2019-04-21 00:13:00 GMT,+236.837-28.3916d,+0+0i,+0+0j
2019-04-21 00:14:00 GMT,+236.837-28.3916d,+0+0i,+0+0j
2019-04-21 00:15:00 GMT,+236.189-28.3524d,+0+0i,+0+0j
2019-04-21 00:16:00 GMT,+236.311-28.3407d,+0+0i,+0+0j
2019-04-21 00:17:00 GMT,+236.311-28.3407d,+0+0i,+0+0j
2019-04-21 00:18:00 GMT,+236.311-28.3407d,+0+0i,+0+0j
2019-04-21 00:19:00 GMT,+236.311-28.3407d,+0+0i,+0+0j
2019-04-21 00:20:00 GMT,+235.877-28.3123d,+0+0i,+0+0j
2019-04-21 00:21:00 GMT,+235.965-28.3038d,+0+0i,+0+0j
2019-04-21 00:22:00 GMT,+235.965-28.3038d,+0+0i,+0+0j
2019-04-21 00:23:00 GMT,+235.965-28.3038d,+0+0i,+0+0j
2019-04-21 00:24:00 GMT,+235.965-28.3038d,+0+0i,+0+0j
2019-04-21 00:25:00 GMT,+235.75-28.2863d,+0+0i,+0+0j
2019-04-21 00:26:00 GMT,+235.805-28.2811d,+0+0i,+0+0j
2019-04-21 00:27:00 GMT,+235.805-28.2811d,+0+0i,+0+0j
2019-04-21 00:28:00 GMT,+235.805-28.2811d,+0+0i,+0+0j
2019-04-21 00:29:00 GMT,+235.805-28.2811d,+0+0i,+0+0j
2019-04-21 00:30:00 GMT,+235.805-28.2811d,+0+0i,+0+0j
2019-04-21 00:31:00 GMT,+236.053-28.3068d,+0+0i,+0+0j
2019-04-21 00:32:00 GMT,+236.053-28.3068d,+0+0i,+0+0j
2019-04-21 00:33:00 GMT,+236.053-28.3068d,+0+0i,+0+0j
2019-04-21 00:34:00 GMT,+236.053-28.3068d,+0+0i,+0+0j
2019-04-21 00:35:00 GMT,+236.053-28.3068d,+0+0i,+0+0j
2019-04-21 00:36:00 GMT,+236.431-28.3095d,+0+0i,+0+0j
2019-04-21 00:37:00 GMT,+236.431-28.3095d,+0+0i,+0.260631+0j
2019-04-21 00:38:00 GMT,+236.432-28.3095d,+0+0i,+1.62572+0j
2019-04-21 00:39:00 GMT,+236.435-28.3091d,+0+0i,+4.10262+0j
2019-04-21 00:40:00 GMT,+236.442-28.3085d,+0+0i,+11.6512+0j
2019-04-21 00:41:00 GMT,+236.773-28.3157d,+0+0i,+15.1661+0j
2019-04-21 00:42:00 GMT,+236.782-28.3148d,+0+0i,+21.9739+0j
2019-04-21 00:43:00 GMT,+236.8-28.313d,+0+0i,+21.3683+0j
2019-04-21 00:44:00 GMT,+236.798-28.3132d,+0+0i,+8.22256+0j
2019-04-21 00:45:00 GMT,+236.763-28.3166d,+0+0i,+0+0j
2019-04-21 00:46:00 GMT,+237.019-28.3203d,+0+0i,+0+0j
2019-04-21 00:47:00 GMT,+237.019-28.3203d,+0+0i,+0+0j
2019-04-21 00:48:00 GMT,+237.019-28.3203d,+0+0i,+0+0j
2019-04-21 00:49:00 GMT,+237.019-28.3203d,+0+0i,+0+0j
2019-04-21 00:50:00 GMT,+237.019-28.3203d,+0+0i,+0+0j
2019-04-21 00:51:00 GMT,+237.386-28.3379d,+0+0i,+0+0j
2019-04-21 00:52:00 GMT,+237.386-28.3379d,+0+0i,+0+0j
2019-04-21 00:53:00 GMT,+237.386-28.3379d,+0+0i,+1.20903+0j
2019-04-21 00:54:00 GMT,+237.389-28.3376d,+0+0i,+7.18992+0j
2019-04-21 00:55:00 GMT,+237.405-28.3361d,+0+0i,+8.5289+0j
2019-04-21 00:56:00 GMT,+237.612-28.3299d,+0+0i,+3.8991+0j
2019-04-21 00:57:00 GMT,+237.6-28.3311d,+0+0i,+0+0j
2019-04-21 00:58:00 GMT,+237.59-28.3321d,+0+0i,+0+0j
2019-04-21 00:59:00 GMT,+237.59-28.3321d,+0+0i,+2.7144+0j
2019-04-21 01:00:00 GMT,+237.597-28.3314d,+0+0i,+2.67718+0j
2019-04-21 01:01:00 GMT,+237.727-28.3247d,+0+0i,+1.52073+0j
2019-04-21 01:02:00 GMT,+237.724-28.325d,+0+0i,+0.0121653+0j
2019-04-21 01:03:00 GMT,+237.72-28.3254d,+0+0i,+0+0j
2019-04-21 01:04:00 GMT,+237.72-28.3254d,+0+0i,+0+0j
2019-04-21 01:05:00 GMT,+237.72-28.3254d,+0+0i,+0+0j
2019-04-21 01:06:00 GMT,+237.772-28.3213d,+0+0i,+0+0j
2019-04-21 01:07:00 GMT,+237.772-28.3213d,+0+0i,+0+0j
2019-04-21 01:08:00 GMT,+237.772-28.3213d,+0+0i,+0+0j
2019-04-21 01:09:00 GMT,+237.772-28.3213d,+0+0i,+0+0j
2019-04-21 01:10:00 GMT,+237.772-28.3213d,+0+0i,+0+0j
2019-04-21 01:11:00 GMT,+237.602-28.3199d,+0+0i,+0+0j
2019-04-21 01:12:00 GMT,+237.602-28.3199d,+0+0i,+0+0j
2019-04-21 01:13:00 GMT,+237.602-28.3199d,+0+0i,+0+0j
2019-04-21 01:14:00 GMT,+237.602-28.3199d,+0+0i,+0+0j
2019-04-21 01:15:00 GMT,+237.602-28.3199d,+0+0i,+0+0j
2019-04-21 01:16:00 GMT,+237.704-28.3253d,+0+0i,+0+0j
2019-04-21 01:17:00 GMT,+237.704-28.3253d,+0+0i,+0+0j
2019-04-21 01:18:00 GMT,+237.704-28.3253d,+0+0i,+0+0j
2019-04-21 01:19:00 GMT,+237.704-28.3253d,+0+0i,+0+0j
2019-04-21 01:20:00 GMT,+237.704-28.3253d,+0+0i,+0+0j
2019-04-21 01:21:00 GMT,+237.667-28.3298d,+0+0i,+0+0j
2019-04-21 01:22:00 GMT,+237.667-28.3298d,+0+0i,+0+0j
2019-04-21 01:23:00 GMT,+237.667-28.3298d,+0+0i,+0+0j
2019-04-21 01:24:00 GMT,+237.667-28.3298d,+0+0i,+0+0j
2019-04-21 01:25:00 GMT,+237.667-28.3298d,+0+0i,+0+0j
2019-04-21 01:26:00 GMT,+237.741-28.3396d,+0+0i,+0+0j
2019-04-21 01:27:00 GMT,+237.741-28.3396d,+0+0i,+0+0j
2019-04-21 01:28:00 GMT,+237.741-28.3396d,+0+0i,+0+0j
2019-04-21 01:29:00 GMT,+237.741-28.3396d,+0+0i,+0+0j
2019-04-21 01:30:00 GMT,+237.788-28.3519d,+0+0i,+0+0j
2019-04-21 01:31:00 GMT,+237.788-28.3519d,+0+0i,+0+0j
2019-04-21 01:32:00 GMT,+237.788-28.3519d,+0+0i,+0+0j
2019-04-21 01:33:00 GMT,+237.788-28.3519d,+0+0i,+0+0j
2019-04-21 01:34:00 GMT,+237.788-28.3519d,+0+0i,+0+0j
2019-04-21 01:35:00 GMT,+237.687-28.3602d,+0+0i,+0+0j
2019-04-21 01:36:00 GMT,+237.687-28.3602d,+0+0i,+0+0j
2019-04-21 01:37:00 GMT,+237.687-28.3602d,+0+0i,+0+0j
2019-04-21 01:38:00 GMT,+237.687-28.3602d,+0+0i,+0+0j
2019-04-21 01:39:00 GMT,+237.687-28.3602d,+0+0i,+0+0j
2019-04-21 01:40:00 GMT,+237.714-28.3609d,+0+0i,+0+0j
2019-04-21 01:41:00 GMT,+237.714-28.3609d,+0+0i,+0+0j
2019-04-21 01:42:00 GMT,+237.714-28.3609d,+0+0i,+0+0j
2019-04-21 01:43:00 GMT,+237.714-28.3609d,+0+0i,+0+0j
2019-04-21 01:44:00 GMT,+237.714-28.3609d,+0+0i,+0+0j
2019-04-21 01:45:00 GMT,+237.713-28.3602d,+0+0i,+0+0j
2019-04-21 01:46:00 GMT,+237.713-28.3602d,+0+0i,+0+0j
2019-04-21 01:47:00 GMT,+237.713-28.3602d,+0+0i,+0+0j
2019-04-21 01:48:00 GMT,+237.713-28.3602d,+0+0i,+0+0j
2019-04-21 01:49:00 GMT,+237.713-28.3602d,+0+0i,+0+0j
2019-04-21 01:50:00 GMT,+237.698-28.3528d,+0+0i,+0+0j
2019-04-21 01:51:00 GMT,+237.698-28.3528d,+0+0i,+0+0j
2019-04-21 01:52:00 GMT,+237.698-28.3528d,+0+0i,+0+0j
2019-04-21 01:53:00 GMT,+237.698-28.3528d,+0+0i,+0+0j
2019-04-21 01:54:00 GMT,+237.698-28.3528d,+0+0i,+0+0j
2019-04-21 01:55:00 GMT,+237.703-28.3411d,+0+0i,+0+0j
2019-04-21 01:56:00 GMT,+237.703-28.3411d,+0+0i,+0+0j
2019-04-21 01:57:00 GMT,+237.703-28.3411d,+0+0i,+0+0j
2019-04-21 01:58:00 GMT,+237.703-28.3411d,+0+0i,+0+0j
2019-04-21 01:59:00 GMT,+237.703-28.3411d,+0+0i,+0+0j
2019-04-21 02:00:00 GMT,+237.737-28.3382d,+0+0i,+0+0j
2019-04-21 02:01:00 GMT,+237.737-28.3382d,+0+0i,+0+0j
2019-04-21 02:02:00 GMT,+237.737-28.3382d,+0+0i,+0+0j
2019-04-21 02:03:00 GMT,+237.737-28.3382d,+0+0i,+0+0j
2019-04-21 02:04:00 GMT,+237.737-28.3382d,+0+0i,+0+0j
2019-04-21 02:05:00 GMT,+237.824-28.3411d,+0+0i,+0+0j
2019-04-21 02:06:00 GMT,+237.824-28.3411d,+0+0i,+0+0j
2019-04-21 02:07:00 GMT,+237.824-28.3411d,+0+0i,+0+0j
2019-04-21 02:08:00 GMT,+237.824-28.3411d,+0+0i,+0+0j
2019-04-21 02:09:00 GMT,+237.824-28.3411d,+0+0i,+0+0j
2019-04-21 02:10:00 GMT,+237.923-28.348d,+0+0i,+0+0j
2019-04-21 02:11:00 GMT,+237.923-28.348d,+0+0i,+0+0j
2019-04-21 02:12:00 GMT,+237.923-28.348d,+0+0i,+0+0j
2019-04-21 02:13:00 GMT,+237.923-28.348d,+0+0i,+0+0j
2019-04-21 02:14:00 GMT,+237.923-28.348d,+0+0i,+0+0j
2019-04-21 02:15:00 GMT,+238.124-28.3568d,+0+0i,+0+0j
2019-04-21 02:16:00 GMT,+238.124-28.3568d,+0+0i,+0+0j
2019-04-21 02:17:00 GMT,+238.124-28.3568d,+0+0i,+0+0j
2019-04-21 02:18:00 GMT,+238.124-28.3568d,+0+0i,+0+0j
2019-04-21 02:19:00 GMT,+238.124-28.3568d,+0+0i,+0+0j
2019-04-21 02:20:00 GMT,+238.192-28.3644d,+0+0i,+0+0j
2019-04-21 02:21:00 GMT,+238.192-28.3644d,+0+0i,+0+0j
2019-04-21 02:22:00 GMT,+238.192-28.3644d,+0+0i,+0+0j
2019-04-21 02:23:00 GMT,+238.192-28.3644d,+0+0i,+0+0j
2019-04-21 02:24:00 GMT,+238.192-28.3644d,+0+0i,+0+0j
2019-04-21 02:25:00 GMT,+238.194-28.3774d,+0+0i,+0+0j
2019-04-21 02:26:00 GMT,+238.194-28.3774d,+0+0i,+0+0j
2019-04-21 02:27:00 GMT,+238.194-28.3774d,+0+0i,+0+0j
2019-04-21 02:28:00 GMT,+238.194-28.3774d,+0+0i,+0+0j
2019-04-21 02:29:00 GMT,+238.194-28.3774d,+0+0i,+0+0j
2019-04-21 02:30:00 GMT,+238.262-28.3679d,+0+0i,+0+0j
2019-04-21 02:31:00 GMT,+238.262-28.3679d,+0+0i,+0+0j
2019-04-21 02:32:00 GMT,+238.262-28.3679d,+0+0i,+0+0j
2019-04-21 02:33:00 GMT,+238.262-28.3679d,+0+0i,+0+0j
2019-04-21 02:34:00 GMT,+238.262-28.3679d,+0+0i,+0+0j
2019-04-21 02:35:00 GMT,+238.274-28.3695d,+0+0i,+0+0j
2019-04-21 02:36:00 GMT,+238.274-28.3695d,+0+0i,+0+0j
2019-04-21 02:37:00 GMT,+238.274-28.3695d,+0+0i,+0+0j
2019-04-21 02:38:00 GMT,+238.274-28.3695d,+0+0i,+0+0j
2019-04-21 02:39:00 GMT,+238.274-28.3695d,+0+0i,+0+0j
2019-04-21 02:40:00 GMT,+238.285-28.3664d,+0+0i,+0+0j
2019-04-21 02:41:00 GMT,+238.285-28.3664d,+0+0i,+0+0j
2019-04-21 02:42:00 GMT,+238.285-28.3664d,+0+0i,+0+0j
2019-04-21 02:43:00 GMT,+238.285-28.3664d,+0+0i,+0+0j
2019-04-21 02:44:00 GMT,+238.285-28.3664d,+0+0i,+0+0j
2019-04-21 02:45:00 GMT,+238.32-28.3637d,+0+0i,+0+0j
2019-04-21 02:46:00 GMT,+238.32-28.3637d,+0+0i,+0+0j
2019-04-21 02:47:00 GMT,+238.32-28.3637d,+0+0i,+0+0j
2019-04-21 02:48:00 GMT,+238.32-28.3637d,+0+0i,+0+0j
2019-04-21 02:49:00 GMT,+238.32-28.3637d,+0+0i,+0+0j
2019-04-21 02:50:00 GMT,+238.377-28.3635d,+0+0i,+0+0j
2019-04-21 02:51:00 GMT,+238.377-28.3635d,+0+0i,+0+0j
2019-04-21 02:52:00 GMT,+238.377-28.3635d,+0+0i,+0+0j
2019-04-21 02:53:00 GMT,+238.377-28.3635d,+0+0i,+0+0j
2019-04-21 02:54:00 GMT,+238.377-28.3635d,+0+0i,+0+0j
2019-04-21 02:55:00 GMT,+238.416-28.362d,+0+0i,+0+0j
2019-04-21 02:56:00 GMT,+238.416-28.362d,+0+0i,+0+0j
2019-04-21 02:57:00 GMT,+238.416-28.362d,+0+0i,+0+0j
2019-04-21 02:58:00 GMT,+238.416-28.362d,+0+0i,+0+0j
2019-04-21 02:59:00 GMT,+238.416-28.362d,+0+0i,+0+0j
2019-04-21 03:00:00 GMT,+238.452-28.3559d,+0+0i,+0+0j
2019-04-21 03:01:00 GMT,+238.452-28.3559d,+0+0i,+0+0j
2019-04-21 03:02:00 GMT,+238.452-28.3559d,+0+0i,+0+0j
2019-04-21 03:03:00 GMT,+238.452-28.3559d,+0+0i,+0+0j
2019-04-21 03:04:00 GMT,+238.452-28.3559d,+0+0i,+0+0j
2019-04-21 03:05:00 GMT,+238.487-28.3525d,+0+0i,+0+0j
2019-04-21 03:06:00 GMT,+238.487-28.3525d,+0+0i,+0+0j
2019-04-21 03:07:00 GMT,+238.487-28.3525d,+0+0i,+0+0j
2019-04-21 03:08:00 GMT,+238.487-28.3525d,+0+0i,+0+0j
2019-04-21 03:09:00 GMT,+238.487-28.3525d,+0+0i,+0+0j
2019-04-21 03:10:00 GMT,+238.403-28.3526d,+0+0i,+0+0j
2019-04-21 03:11:00 GMT,+238.403-28.3526d,+0+0i,+0+0j
2019-04-21 03:12:00 GMT,+238.403-28.3526d,+0+0i,+0+0j
2019-04-21 03:13:00 GMT,+238.403-28.3526d,+0+0i,+0+0j
2019-04-21 03:14:00 GMT,+238.403-28.3526d,+0+0i,+0+0j
2019-04-21 03:15:00 GMT,+238.466-28.3598d,+0+0i,+0+0j
2019-04-21 03:16:00 GMT,+238.466-28.3598d,+0+0i,+0+0j
2019-04-21 03:17:00 GMT,+238.466-28.3598d,+0+0i,+0+0j
2019-04-21 03:18:00 GMT,+238.466-28.3598d,+0+0i,+0+0j
2019-04-21 03:19:00 GMT,+238.466-28.3598d,+0+0i,+0+0j
2019-04-21 03:20:00 GMT,+238.516-28.3605d,+0+0i,+0+0j
2019-04-21 03:21:00 GMT,+238.516-28.3605d,+0+0i,+0+0j
2019-04-21 03:22:00 GMT,+238.516-28.3605d,+0+0i,+0+0j
2019-04-21 03:23:00 GMT,+238.516-28.3605d,+0+0i,+0+0j
2019-04-21 03:24:00 GMT,+238.516-28.3605d,+0+0i,+0+0j
2019-04-21 03:25:00 GMT,+238.366-28.35d,+0+0i,+0+0j
2019-04-21 03:26:00 GMT,+238.366-28.35d,+0+0i,+0+0j
2019-04-21 03:27:00 GMT,+238.366-28.35d,+0+0i,+0+0j
2019-04-21 03:28:00 GMT,+238.366-28.35d,+0+0i,+0+0j
2019-04-21 03:29:00 GMT,+238.366-28.35d,+0+0i,+0+0j
2019-04-21 03:30:00 GMT,+238.319-28.3573d,+0+0i,+0+0j
2019-04-21 03:31:00 GMT,+238.319-28.3573d,+0+0i,+0+0j
2019-04-21 03:32:00 GMT,+238.319-28.3573d,+0+0i,+0+0j
2019-04-21 03:33:00 GMT,+238.319-28.3573d,+0+0i,+0+0j
2019-04-21 03:34:00 GMT,+238.319-28.3573d,+0+0i,+0.0440994+0j
2019-04-21 03:35:00 GMT,+238.192-28.3569d,+0+0i,+0.0291819+0j
2019-04-21 03:36:00 GMT,+238.192-28.3569d,+0+0i,+0+0j
2019-04-21 03:37:00 GMT,+238.192-28.3569d,+0+0i,+0+0j
2019-04-21 03:38:00 GMT,+238.192-28.3569d,+0+0i,+0+0j
2019-04-21 03:39:00 GMT,+238.192-28.3569d,+0+0i,+0+0j
2019-04-21 03:40:00 GMT,+238.15-28.3598d,+0+0i,+0+0j
2019-04-21 03:41:00 GMT,+238.15-28.3598d,+0+0i,+0+0j
2019-04-21 03:42:00 GMT,+238.15-28.3598d,+0+0i,+0+0j
2019-04-21 03:43:00 GMT,+238.15-28.3598d,+0+0i,+0+0j
2019-04-21 03:44:00 GMT,+238.15-28.3598d,+0+0i,+0+0j
2019-04-21 03:45:00 GMT,+238.093-28.3583d,+0+0i,+0+0j
2019-04-21 03:46:00 GMT,+238.093-28.3583d,+0+0i,+0+0j
2019-04-21 03:47:00 GMT,+238.093-28.3583d,+0+0i,+0+0j
2019-04-21 03:48:00 GMT,+238.093-28.3583d,+0+0i,+0+0j
2019-04-21 03:49:00 GMT,+238.093-28.3583d,+0+0i,+0+0j
2019-04-21 03:50:00 GMT,+237.999-28.357d,+0+0i,+0+0j
2019-04-21 03:51:00 GMT,+237.999-28.357d,+0+0i,+0.0698134+0j
2019-04-21 03:52:00 GMT,+237.999-28.357d,+0+0i,+0.28153+0j
2019-04-21 03:53:00 GMT,+237.999-28.357d,+0+0i,+0.3252+0j
2019-04-21 03:54:00 GMT,+237.999-28.357d,+0+0i,+0.190921+0j
2019-04-21 03:55:00 GMT,+238.039-28.3599d,+0+0i,+0+0j
2019-04-21 03:56:00 GMT,+238.038-28.36d,+0+0i,+0+0j
2019-04-21 03:57:00 GMT,+238.038-28.36d,+0+0i,+0+0j
2019-04-21 03:58:00 GMT,+238.038-28.36d,+0+0i,+0+0j
2019-04-21 03:59:00 GMT,+238.038-28.36d,+0+0i,+0+0j
2019-04-21 04:00:00 GMT,+237.973-28.3629d,+0+0i,+0+0j
2019-04-21 04:01:00 GMT,+237.973-28.3629d,+0+0i,+0+0j
2019-04-21 04:02:00 GMT,+237.973-28.3629d,+0+0i,+0+0j
2019-04-21 04:03:00 GMT,+237.973-28.3629d,+0+0i,+0+0j
2019-04-21 04:04:00 GMT,+237.973-28.3629d,+0+0i,+0+0j
2019-04-21 04:05:00 GMT,+237.196-28.3719d,+0+0i,+0+0j
2019-04-21 04:06:00 GMT,+237.196-28.3719d,+0+0i,+0+0j
2019-04-21 04:07:00 GMT,+237.196-28.3719d,+0+0i,+0+0j
2019-04-21 04:08:00 GMT,+237.196-28.3719d,+0+0i,+0+0j
2019-04-21 04:09:00 GMT,+237.196-28.3719d,+0+0i,+0.0190648+0j
2019-04-21 04:10:00 GMT,+237.447-28.3741d,+0+0i,+0+0j
2019-04-21 04:11:00 GMT,+237.447-28.3741d,+0+0i,+0+0j
2019-04-21 04:12:00 GMT,+237.447-28.3741d,+0+0i,+0+0j
2019-04-21 04:13:00 GMT,+237.447-28.3741d,+0+0i,+0+0j
2019-04-21 04:14:00 GMT,+237.447-28.3741d,+0+0i,+0+0j
2019-04-21 04:15:00 GMT,+238.354-28.3577d,+0+0i,+0.00370494+0j
2019-04-21 04:16:00 GMT,+238.354-28.3577d,+0+0i,+0+0j
2019-04-21 04:17:00 GMT,+238.354-28.3577d,+0+0i,+0+0j
2019-04-21 04:18:00 GMT,+238.354-28.3577d,+0+0i,+0+0j
2019-04-21 04:19:00 GMT,+238.354-28.3577d,+0+0i,+0+0j
2019-04-21 04:20:00 GMT,+239.898-28.3595d,+0+0i,+0+0j
2019-04-21 04:21:00 GMT,+239.898-28.3595d,+0+0i,+0+0j
2019-04-21 04:22:00 GMT,+239.898-28.3595d,+0+0i,+0+0j
2019-04-21 04:23:00 GMT,+239.898-28.3595d,+0+0i,+0+0j
2019-04-21 04:24:00 GMT,+239.898-28.3595d,+0+0i,+0+0j
2019-04-21 04:25:00 GMT,+239.96-28.5132d,+0+0i,+0+0j
2019-04-21 04:26:00 GMT,+239.96-28.5132d,+0+0i,+0+0j
2019-04-21 04:27:00 GMT,+239.96-28.5132d,+0+0i,+0+0j
2019-04-21 04:28:00 GMT,+239.96-28.5132d,+0+0i,+0+0j
2019-04-21 04:29:00 GMT,+239.96-28.5132d,+0+0i,+0+0j
2019-04-21 04:30:00 GMT,+240.717-28.6127d,+0+0i,+0+0j
2019-04-21 04:31:00 GMT,+240.717-28.6127d,+0+0i,+0+0j
2019-04-21 04:32:00 GMT,+240.717-28.6127d,+0+0i,+0+0j
2019-04-21 04:33:00 GMT,+240.717-28.6127d,+0+0i,+0+0j
2019-04-21 04:34:00 GMT,+240.717-28.6127d,+0+0i,+0+0j
2019-04-21 04:35:00 GMT,+242.033-28.6408d,+0+0i,+0+0j
2019-04-21 04:36:00 GMT,+242.033-28.6408d,+0+0i,+0+0j
2019-04-21 04:37:00 GMT,+242.033-28.6408d,+0+0i,+0+0j
2019-04-21 04:38:00 GMT,+242.033-28.6408d,+0+0i,+0+0j
2019-04-21 04:39:00 GMT,+242.033-28.6408d,+0+0i,+0+0j
2019-04-21 04:40:00 GMT,+242.956-28.6727d,+0+0i,+0+0j
2019-04-21 04:41:00 GMT,+242.956-28.6727d,+0+0i,+0+0j
2019-04-21 04:42:00 GMT,+242.956-28.6727d,+0+0i,+0+0j
2019-04-21 04:43:00 GMT,+242.956-28.6727d,+0+0i,+0+0j
2019-04-21 04:44:00 GMT,+242.956-28.6727d,+0+0i,+0+0j
2019-04-21 04:45:00 GMT,+243.553-28.6958d,+0+0i,+0+0j
2019-04-21 04:46:00 GMT,+243.553-28.6958d,+0+0i,+0+0j
2019-04-21 04:47:00 GMT,+243.553-28.6958d,+0+0i,+0+0j
2019-04-21 04:48:00 GMT,+243.553-28.6958d,+0+0i,+0+0j
2019-04-21 04:49:00 GMT,+243.553-28.6958d,+0+0i,+0+0j
2019-04-21 04:50:00 GMT,+243.533-28.6977d,+0+0i,+0+0j
2019-04-21 04:51:00 GMT,+243.533-28.6977d,+0+0i,+0+0j
2019-04-21 04:52:00 GMT,+243.533-28.6977d,+0+0i,+0+0j
2019-04-21 04:53:00 GMT,+243.533-28.6977d,+0+0i,+0+0j
2019-04-21 04:54:00 GMT,+243.533-28.6977d,+0+0i,+0+0j
2019-04-21 04:55:00 GMT,+243.301-28.6657d,+0+0i,+0+0j
2019-04-21 04:56:00 GMT,+243.301-28.6657d,+0+0i,+0+0j
2019-04-21 04:57:00 GMT,+243.301-28.6657d,+0+0i,+0+0j
2019-04-21 04:58:00 GMT,+243.301-28.6657d,+0+0i,+0+0j
2019-04-21 04:59:00 GMT,+243.301-28.6657d,+0+0i,+0+0j
2019-04-21 05:00:00 GMT,+243.377-28.6711d,+0+0i,+0+0j
2019-04-21 05:01:00 GMT,+243.377-28.6711d,+0+0i,+0+0j
2019-04-21 05:02:00 GMT,+243.377-28.6711d,+0+0i,+0+0j
2019-04-21 05:03:00 GMT,+243.377-28.6711d,+0+0i,+0+0j
2019-04-21 05:04:00 GMT,+243.377-28.6711d,+0+0i,+0+0j
2019-04-21 05:05:00 GMT,+243.268-28.6625d,+0+0i,+0+0j
2019-04-21 05:06:00 GMT,+243.268-28.6625d,+0+0i,+0+0j
2019-04-21 05:07:00 GMT,+243.268-28.6625d,+0+0i,+0+0j
2019-04-21 05:08:00 GMT,+243.268-28.6625d,+0+0i,+0+0j
2019-04-21 05:09:00 GMT,+243.268-28.6625d,+0+0i,+0+0j
