# output/output_current_566.csv run at 2019-09-30 09:26:00 GMT on 1884 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,6.039961,-0.623033,5.003393,3.571102,5.619160,1.634228
TR1,6.039961,-0.623033,5.003393,3.571102,5.619160,1.634228
LINE1,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE2,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE3,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE4,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE5,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE6,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE7,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE8,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE9,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE10,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE11,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE12,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE13,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE14,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE15,0.000000,-1.067654,0.000000,-0.565351,0.000000,1.568972
LINE16,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE17,0.000000,-0.810330,0.000000,-0.346682,0.000000,1.569653
LINE18,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE19,0.000000,4.687457,0.000000,-0.190081,0.000000,1.571782
LINE20,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE21,0.000000,4.687457,0.000000,-0.149287,0.000000,1.574177
LINE22,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE23,0.000000,-0.488580,0.000000,-0.024932,0.000000,1.570078
LINE24,173.838416,-1.093931,145.028239,3.093534,120.472242,1.015838
LINE25,0.000000,-0.612935,0.000000,3.580308,0.000000,1.562990
LINE26,8.198716,-0.994585,2.373876,3.659684,2.364574,1.566537
LINE27,165.682122,-1.098839,143.030423,3.084631,118.463712,1.005392
LINE28,0.000000,-0.719670,0.000000,3.580308,0.000000,1.564612
LINE29,4.108189,-0.995443,1.183756,3.659681,1.179118,1.566534
LINE30,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE31,165.682122,-1.098839,143.030423,3.084631,118.463712,1.005392
LINE32,0.000000,-0.316389,0.000000,3.543288,0.000000,1.569298
LINE33,4.108189,-0.995443,1.183756,3.659681,1.179118,1.566534
LINE34,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE35,2.384258,-0.525263,8.234427,3.192574,2.366393,1.567446
LINE36,163.684541,-1.106743,134.846839,3.078052,116.468187,0.994564
LINE37,0.000000,-0.346682,0.000000,3.497167,0.000000,1.570924
LINE38,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE39,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE40,1.196624,-0.525256,4.104625,3.193777,1.187658,1.567453
LINE41,163.684541,-1.106743,134.846839,3.078052,116.468187,0.994564
LINE42,0.000000,1.300730,0.000000,3.879806,0.000000,-0.000813
LINE43,0.000000,-0.488580,0.000000,3.116661,0.000000,1.567736
LINE44,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE45,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE46,1.196624,-0.525256,4.104625,3.193777,1.187658,1.567453
LINE47,163.684541,-1.106743,134.846839,3.078052,116.468187,0.994564
LINE48,0.000000,1.245602,0.000000,3.559874,0.000000,-1.397647
LINE49,0.000000,-0.269911,0.000000,-0.488580,0.000000,1.563162
LINE50,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE51,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE52,163.684541,-1.106743,134.846839,3.078052,116.468187,0.994564
LINE53,0.000000,1.070247,0.000000,1.124870,0.000000,1.082862
LINE54,0.000000,1.483795,0.000000,2.736563,0.000000,-1.319816
LINE55,0.000000,-0.488580,0.000000,3.902059,0.000000,1.563441
LINE56,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE57,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE58,163.684541,-1.106743,134.846839,3.078052,116.468187,0.994564
LINE59,0.000000,1.661751,0.000000,1.177923,0.000000,0.711296
LINE60,0.000000,1.056933,0.000000,3.179866,0.000000,-0.549036
LINE61,0.000000,-0.488580,0.000000,4.687457,0.000000,1.563224
LINE62,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE63,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE64,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE65,8.407710,-0.993662,2.363446,3.661232,2.344596,1.569185
LINE66,0.000000,1.977924,0.000000,0.470166,0.000000,-1.453587
LINE67,0.000000,1.010075,0.000000,3.515307,0.000000,-0.230404
LINE68,0.000000,-0.920987,0.000000,-0.668433,0.000000,1.561488
LINE69,4.090530,-0.993723,1.190119,3.659688,1.185456,1.566541
LINE70,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE71,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE72,4.219025,-0.995058,1.176337,3.661223,1.166955,1.569177
LINE73,4.188693,-0.992257,1.187109,3.661240,1.177642,1.569193
LINE74,0.000000,1.984595,0.000000,1.545529,0.000000,1.685365
LINE75,0.000000,0.649194,0.000000,3.345523,0.000000,-0.605721
LINE76,0.000000,-1.163320,0.000000,-0.570587,0.000000,1.561805
LINE77,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE78,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE79,0.000000,2.834328,0.000000,-0.955218,0.000000,4.662738
LINE80,0.000000,0.779248,0.000000,3.440713,0.000000,-0.487057
LINE81,0.000000,-1.034565,0.000000,-0.573481,0.000000,1.558601
LINE82,1.187634,-0.525269,4.129808,3.191378,1.178735,1.567440
LINE83,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE84,0.000000,2.217035,0.000000,1.280857,0.000000,0.674712
LINE85,0.000000,0.810831,0.000000,3.465256,0.000000,-0.568335
LINE86,0.000000,-1.148208,0.000000,-0.668433,0.000000,1.558033
LINE87,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE88,0.000000,2.939962,0.000000,2.939962,0.000000,-0.144492
LINE89,0.000000,0.825411,0.000000,3.560460,0.000000,-0.628883
LINE90,0.000000,-0.869086,0.000000,-1.007726,0.000000,1.548599
LINE91,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE92,0.000000,0.422660,0.000000,3.374779,0.000000,-0.666600
LINE93,0.000000,-0.024932,0.000000,-0.024932,0.000000,1.555630
LINE94,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE95,0.000000,0.678387,0.000000,2.938951,0.000000,-0.111496
LINE96,0.000000,3.580308,0.000000,-0.024932,0.000000,4.679645
LINE97,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE98,0.000000,0.716903,0.000000,-0.062813,0.000000,0.661772
LINE99,0.000000,3.580308,0.000000,1.545864,0.000000,4.697222
LINE100,155.333427,-1.112851,132.880407,3.068257,114.507228,0.983435
LINE101,0.000000,-0.058304,0.000000,3.670910,0.000000,1.045963
LINE102,0.000000,0.000000,0.000000,0.000000,0.000000,3.116661
LINE103,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE104,146.218186,-1.139542,117.549983,3.037654,102.430057,0.948017
LINE105,0.000000,-0.101822,0.000000,3.586893,0.000000,0.838412
LINE106,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE107,146.218186,-1.139542,117.549983,3.037654,102.430057,0.948017
LINE108,0.000000,-0.102480,0.000000,3.794583,0.000000,0.787994
LINE109,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE110,146.218186,-1.139542,117.549983,3.037654,102.430057,0.948017
LINE111,0.000000,-0.074770,0.000000,3.696579,0.000000,0.912934
LINE112,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE113,146.218186,-1.139542,117.549983,3.037654,102.430057,0.948017
LINE114,0.000000,-0.076917,0.000000,3.688153,0.000000,0.911838
LINE115,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE116,7.147802,-0.782455,10.186137,3.281456,16.026795,1.092480
LINE117,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE118,0.000000,-0.063641,0.000000,3.713722,0.000000,0.913837
LINE119,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE120,0.000000,2.832867,0.000000,0.957862,0.000000,1.581656
LINE121,7.147802,-0.782455,10.186137,3.281456,16.026795,1.092480
LINE122,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE123,0.000000,-0.095675,0.000000,3.805862,0.000000,1.002176
LINE124,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE125,0.000000,2.832867,0.000000,0.925615,0.000000,1.573201
LINE126,7.147802,-0.782455,10.186137,3.281456,16.026795,1.092480
LINE127,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE128,0.000000,-0.209772,0.000000,3.836473,0.000000,1.081920
LINE129,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE130,0.000000,2.838361,0.000000,0.871123,0.000000,1.553677
LINE131,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE132,3.182873,-0.519339,9.067879,3.231548,14.968083,1.055419
LINE133,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE134,0.000000,-0.092758,0.000000,3.816552,0.000000,1.083171
LINE135,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE136,0.000000,2.825204,0.000000,0.808049,0.000000,1.570599
LINE137,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE138,3.182873,-0.519339,9.067879,3.231548,14.968083,1.055419
LINE139,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE140,0.000000,-0.083102,0.000000,3.874662,0.000000,1.095112
LINE141,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE142,0.000000,2.850409,0.000000,0.837238,0.000000,1.563831
LINE143,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE144,3.182873,-0.519339,9.067879,3.231548,14.968083,1.055419
LINE145,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE146,0.000000,-0.221595,0.000000,3.458311,0.000000,1.173482
LINE147,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE148,0.000000,2.967771,0.000000,0.760466,0.000000,1.564417
LINE149,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE150,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE151,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE152,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE153,0.000000,1.626512,0.000000,3.571047,0.000000,1.023974
LINE154,9.963301,-0.710413,15.800306,3.297913,12.671636,1.273740
LINE155,0.000000,3.006004,0.000000,0.871123,0.000000,1.572421
LINE156,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE157,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE158,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE159,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE160,0.000000,4.398247,0.000000,-1.060805,0.000000,3.422595
LINE161,1.210502,-0.519692,4.154372,3.195215,1.194829,1.570223
LINE162,8.777748,-0.736558,11.675593,3.334399,11.534221,1.243471
LINE163,0.000000,2.905567,0.000000,0.503143,0.000000,1.575153
LINE164,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE165,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE166,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE167,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE168,0.000000,3.707300,0.000000,2.616799,0.000000,2.476595
LINE169,1.210502,-0.519692,4.154372,3.195215,1.194829,1.570223
LINE170,8.777748,-0.736558,11.675593,3.334399,11.534221,1.243471
LINE171,0.000000,2.825204,0.000000,0.669806,0.000000,1.566955
LINE172,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE173,0.000000,1.967678,0.000000,3.683603,0.000000,1.369052
LINE174,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE175,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE176,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE177,1.210502,-0.519692,4.154372,3.195215,1.194829,1.570223
LINE178,6.432259,-0.817691,9.421304,3.251850,3.573162,1.570106
LINE179,2.423380,-0.519753,2.414741,3.661931,8.230225,1.103715
LINE180,0.000000,2.421922,0.000000,0.296819,0.000000,1.572225
LINE181,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
