# file...... output/output_power.csv
# date...... Wed May 11 08:05:47 2022
# user...... void
# host...... (null)
# target.... transformer 915
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,      power_out_C.real,power_out_C.imag
2019-04-21 00:00:00 GMT,+196808,+224443,+75396,+80411.4,+69283.3,+78228.2,+52128.3,+65803.1
2019-04-21 00:01:00 GMT,+196808,+224443,+75396,+80411.4,+69283.3,+78228.2,+52128.3,+65803.1
2019-04-21 00:02:00 GMT,+196808,+224443,+75396,+80411.4,+69283.3,+78228.2,+52128.3,+65803.1
2019-04-21 00:03:00 GMT,+196808,+224443,+75396,+80411.4,+69283.3,+78228.2,+52128.3,+65803.1
2019-04-21 00:04:00 GMT,+196808,+224443,+75396,+80411.4,+69283.3,+78228.2,+52128.3,+65803.1
2019-04-21 00:05:00 GMT,+210393,+234036,+80965.5,+84105.7,+73690.6,+81473.6,+55736.3,+68456.7
2019-04-21 00:06:00 GMT,+210393,+234036,+80965.5,+84105.7,+73690.6,+81473.6,+55736.3,+68456.7
2019-04-21 00:07:00 GMT,+210393,+234036,+80965.5,+84105.7,+73690.6,+81473.6,+55736.3,+68456.7
2019-04-21 00:08:00 GMT,+210393,+234036,+80965.5,+84105.7,+73690.6,+81473.6,+55736.3,+68456.7
2019-04-21 00:09:00 GMT,+210393,+234036,+80965.5,+84105.7,+73690.6,+81473.6,+55736.3,+68456.7
2019-04-21 00:10:00 GMT,+221067,+241569,+85419,+87033.8,+77137,+84030.7,+58510.6,+70504.4
2019-04-21 00:11:00 GMT,+221067,+241569,+85419,+87033.8,+77137,+84030.7,+58510.6,+70504.4
2019-04-21 00:12:00 GMT,+221067,+241569,+85419,+87033.8,+77137,+84030.7,+58510.6,+70504.4
2019-04-21 00:13:00 GMT,+221067,+241569,+85419,+87033.8,+77137,+84030.7,+58510.6,+70504.4
2019-04-21 00:14:00 GMT,+221067,+241569,+85419,+87033.8,+77137,+84030.7,+58510.6,+70504.4
2019-04-21 00:15:00 GMT,+226986,+246998,+88119.6,+89186.7,+79001.4,+85874.5,+59865.1,+71936.8
2019-04-21 00:16:00 GMT,+226986,+246998,+88119.6,+89186.7,+79001.4,+85874.5,+59865.1,+71936.8
2019-04-21 00:17:00 GMT,+226986,+246998,+88119.6,+89186.7,+79001.4,+85874.5,+59865.1,+71936.8
2019-04-21 00:18:00 GMT,+226986,+246998,+88119.6,+89186.7,+79001.4,+85874.5,+59865.1,+71936.8
2019-04-21 00:19:00 GMT,+226986,+246998,+88119.6,+89186.7,+79001.4,+85874.5,+59865.1,+71936.8
2019-04-21 00:20:00 GMT,+230420,+250364,+89818.6,+90572.4,+80054,+87020,+60547.4,+72772
2019-04-21 00:21:00 GMT,+230420,+250364,+89818.6,+90572.4,+80054,+87020,+60547.4,+72772
2019-04-21 00:22:00 GMT,+230420,+250364,+89818.6,+90572.4,+80054,+87020,+60547.4,+72772
2019-04-21 00:23:00 GMT,+230420,+250364,+89818.6,+90572.4,+80054,+87020,+60547.4,+72772
2019-04-21 00:24:00 GMT,+230420,+250364,+89818.6,+90572.4,+80054,+87020,+60547.4,+72772
2019-04-21 00:25:00 GMT,+231337,+251663,+90497.6,+91189.4,+80285.9,+87462.5,+60553.8,+73010.8
2019-04-21 00:26:00 GMT,+231337,+251663,+90497.6,+91189.4,+80285.9,+87462.5,+60553.8,+73010.8
2019-04-21 00:27:00 GMT,+231337,+251663,+90497.6,+91189.4,+80285.9,+87462.5,+60553.8,+73010.8
2019-04-21 00:28:00 GMT,+231337,+251663,+90497.6,+91189.4,+80285.9,+87462.5,+60553.8,+73010.8
2019-04-21 00:29:00 GMT,+231337,+251663,+90497.6,+91189.4,+80285.9,+87462.5,+60553.8,+73010.8
2019-04-21 00:30:00 GMT,+226659,+248624,+88655.8,+90068,+78363.4,+86184.3,+59639.6,+72371.3
2019-04-21 00:31:00 GMT,+226659,+248624,+88655.8,+90068,+78363.4,+86184.3,+59639.6,+72371.3
2019-04-21 00:32:00 GMT,+226659,+248624,+88655.8,+90068,+78363.4,+86184.3,+59639.6,+72371.3
2019-04-21 00:33:00 GMT,+226659,+248624,+88655.8,+90068,+78363.4,+86184.3,+59639.6,+72371.3
2019-04-21 00:34:00 GMT,+226659,+248624,+88655.8,+90068,+78363.4,+86184.3,+59639.6,+72371.3
2019-04-21 00:35:00 GMT,+219653,+244118,+86379.3,+88643.5,+76110.3,+84733.8,+57163.7,+70740.9
2019-04-21 00:36:00 GMT,+219653,+244118,+86379.3,+88643.5,+76110.3,+84733.8,+57163.7,+70740.9
2019-04-21 00:37:00 GMT,+219638,+244118,+86374.1,+88643.5,+76105.1,+84733.6,+57158.7,+70740.8
2019-04-21 00:38:00 GMT,+219558,+244116,+86346.8,+88643.3,+76078,+84732.8,+57132.9,+70740.4
2019-04-21 00:39:00 GMT,+219412,+244114,+86297.4,+88642.8,+76028.9,+84731.4,+57086,+70739.6
2019-04-21 00:40:00 GMT,+213595,+240637,+84242.3,+87468.8,+74104.5,+83565.8,+55248.3,+69602.7
2019-04-21 00:41:00 GMT,+213390,+240633,+84172.7,+87468.1,+74035.4,+83563.7,+55182.2,+69601.6
2019-04-21 00:42:00 GMT,+212992,+240627,+84037.3,+87467.1,+73900.9,+83560,+55053.6,+69599.5
2019-04-21 00:43:00 GMT,+213027,+240627,+84049.4,+87467.2,+73912.9,+83560.3,+55065.1,+69599.7
2019-04-21 00:44:00 GMT,+213797,+240641,+84310.9,+87469.3,+74172.7,+83567.6,+55313.4,+69603.7
2019-04-21 00:45:00 GMT,+208977,+237209,+82712.2,+86358.4,+72648.5,+82472.9,+53616.7,+68378.3
2019-04-21 00:46:00 GMT,+208977,+237209,+82712.2,+86358.4,+72648.5,+82472.9,+53616.7,+68378.3
2019-04-21 00:47:00 GMT,+208977,+237209,+82712.2,+86358.4,+72648.5,+82472.9,+53616.7,+68378.3
2019-04-21 00:48:00 GMT,+208977,+237209,+82712.2,+86358.4,+72648.5,+82472.9,+53616.7,+68378.3
2019-04-21 00:49:00 GMT,+208977,+237209,+82712.2,+86358.4,+72648.5,+82472.9,+53616.7,+68378.3
2019-04-21 00:50:00 GMT,+204076,+234040,+80638,+85094.2,+71158.1,+81447.5,+52279.8,+67498.7
2019-04-21 00:51:00 GMT,+204076,+234040,+80638,+85094.2,+71158.1,+81447.5,+52279.8,+67498.7
2019-04-21 00:52:00 GMT,+204076,+234040,+80638,+85094.2,+71158.1,+81447.5,+52279.8,+67498.7
2019-04-21 00:53:00 GMT,+204005,+234039,+80614,+85094.1,+71134.3,+81446.9,+52257.1,+67498.4
2019-04-21 00:54:00 GMT,+203657,+234034,+80495.8,+85093.2,+71016.6,+81443.7,+52144.6,+67496.6
2019-04-21 00:55:00 GMT,+200510,+232035,+79466.5,+84439.8,+70262.3,+80971.5,+50781.6,+66623.5
2019-04-21 00:56:00 GMT,+200780,+232039,+79558.1,+84440.4,+70353.4,+80973.9,+50868.7,+66624.7
2019-04-21 00:57:00 GMT,+201007,+232043,+79635,+84440.9,+70430,+80975.9,+50941.9,+66625.9
2019-04-21 00:58:00 GMT,+201007,+232043,+79635,+84440.9,+70430,+80975.9,+50941.9,+66625.9
2019-04-21 00:59:00 GMT,+200849,+232040,+79581.4,+84440.5,+70376.7,+80974.5,+50891,+66625.1
2019-04-21 01:00:00 GMT,+198915,+230797,+78971.6,+84052.4,+69973.6,+80723.9,+49970.1,+66020.2
