# output/output_voltage_566.csv run at 2019-09-30 09:26:00 GMT on 1884 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,250.913604,-0.529716,251.053631,3.660191,251.277039,1.566303
Bus2,250.825955,-0.529519,250.978613,3.660245,251.239329,1.566393
Bus3,250.816767,-0.529498,250.970748,3.660251,251.235376,1.566402
Bus4,250.808159,-0.529479,250.963380,3.660256,251.231673,1.566411
Bus5,250.800654,-0.529462,250.956956,3.660261,251.228444,1.566419
Bus6,250.788831,-0.529435,250.946837,3.660268,251.223357,1.566431
Bus7,249.984172,-0.527620,250.257749,3.660768,250.877058,1.567256
Bus8,249.948152,-0.527539,250.226887,3.660791,250.861552,1.567293
Bus9,249.918173,-0.527471,250.201200,3.660809,250.848646,1.567323
Bus10,249.891865,-0.527411,250.178658,3.660826,250.837320,1.567350
Bus11,249.872235,-0.527367,250.161838,3.660838,250.828869,1.567371
Bus12,249.853808,-0.527325,250.146047,3.660849,250.820936,1.567390
Bus13,249.842477,-0.527299,250.136338,3.660856,250.816058,1.567401
Bus14,249.814268,-0.527235,250.112165,3.660874,250.803913,1.567430
Bus15,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus16,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus17,249.308823,-0.526086,249.678898,3.661190,250.586266,1.567950
Bus18,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus19,249.289769,-0.526043,249.662560,3.661202,250.578060,1.567970
Bus20,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus21,249.268374,-0.525994,249.644215,3.661216,250.568846,1.567992
Bus22,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus23,249.233541,-0.525915,249.614345,3.661237,250.553843,1.568028
Bus24,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus25,249.170174,-0.525770,249.560004,3.661277,250.526551,1.568093
Bus26,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus27,249.118097,-0.525683,249.543810,3.661270,250.511051,1.568089
Bus28,248.429194,-0.524051,248.891968,3.661870,250.175254,1.568884
Bus29,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus30,249.110911,-0.525671,249.541586,3.661269,250.508922,1.568089
Bus31,249.111122,-0.525672,249.541632,3.661269,250.508965,1.568089
Bus32,248.232058,-0.523591,248.714141,3.662028,250.081760,1.569095
Bus33,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus34,249.094457,-0.525644,249.536492,3.661267,250.504048,1.568087
Bus35,249.110885,-0.525671,249.541558,3.661269,250.508894,1.568089
Bus36,248.216899,-0.523595,248.663430,3.662114,250.066104,1.569088
Bus37,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus38,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus39,249.110546,-0.525671,249.541452,3.661269,250.508793,1.568089
Bus40,248.216371,-0.523595,248.661654,3.662117,250.065559,1.569088
Bus41,248.214498,-0.523596,248.655453,3.662127,250.063625,1.569087
Bus42,247.210345,-0.521265,247.875522,3.662710,249.620662,1.570306
Bus43,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
