# file...... output/voltage1.csv
# date...... Sat May  7 09:16:15 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD1:voltage_A.real, LOAD2:voltage_B.real, LOAD3:voltage_A.real, LOAD4:voltage_A.real, LOAD5:voltage_A.real, LOAD6:voltage_B.real, LOAD7:voltage_B.real, LOAD8:voltage_C.real, LOAD9:voltage_A.real, LOAD10:voltage_B.real, LOAD11:voltage_B.real, LOAD12:voltage_C.real, LOAD13:voltage_B.real, LOAD14:voltage_A.real, LOAD15:voltage_B.real, LOAD16:voltage_C.real, LOAD17:voltage_C.real, LOAD18:voltage_C.real, LOAD19:voltage_C.real, LOAD20:voltage_A.real, LOAD21:voltage_A.real, LOAD22:voltage_A.real, LOAD23:voltage_B.real, LOAD24:voltage_C.real, LOAD25:voltage_A.real, LOAD26:voltage_B.real, LOAD27:voltage_C.real, LOAD28:voltage_C.real, LOAD29:voltage_A.real, LOAD30:voltage_A.real
2019-04-21 00:00:00 GMT,+211.745,-208.491,+211.728,+209.754,+209.752,-208.481,-202.463,-5.03102,+209.262,-201.687,-201.684,-5.06044,-200.985,+208.67,-201.051,-5.91491,-5.83876,-7.47428,-7.0631,+206.325,+207.19,+206.268,-197.549,-7.51816,+204.584,-196.884,-7.74298,-7.83539,+204.744,+204.601
2019-04-21 00:01:00 GMT,+211.745,-208.491,+211.728,+209.754,+209.752,-208.481,-202.463,-5.03102,+209.262,-201.687,-201.684,-5.06044,-200.985,+208.67,-201.051,-5.91491,-5.83876,-7.47428,-7.0631,+206.325,+207.19,+206.268,-197.549,-7.51816,+204.584,-196.884,-7.74298,-7.83539,+204.744,+204.601
2019-04-21 00:02:00 GMT,+211.745,-208.491,+211.728,+209.754,+209.752,-208.481,-202.463,-5.03102,+209.262,-201.687,-201.684,-5.06044,-200.985,+208.67,-201.051,-5.91491,-5.83876,-7.47428,-7.0631,+206.325,+207.19,+206.268,-197.549,-7.51816,+204.584,-196.884,-7.74298,-7.83539,+204.744,+204.601
2019-04-21 00:03:00 GMT,+211.745,-208.491,+211.728,+209.754,+209.752,-208.481,-202.463,-5.03102,+209.262,-201.687,-201.684,-5.06044,-200.985,+208.67,-201.051,-5.91491,-5.83876,-7.47428,-7.0631,+206.325,+207.19,+206.268,-197.549,-7.51816,+204.584,-196.884,-7.74298,-7.83539,+204.744,+204.601
2019-04-21 00:04:00 GMT,+211.745,-208.491,+211.728,+209.754,+209.752,-208.481,-202.463,-5.03102,+209.262,-201.687,-201.684,-5.06044,-200.985,+208.67,-201.051,-5.91491,-5.83876,-7.47428,-7.0631,+206.325,+207.19,+206.268,-197.549,-7.51816,+204.584,-196.884,-7.74298,-7.83539,+204.744,+204.601
2019-04-21 00:05:00 GMT,+211.288,-208.054,+211.272,+209.069,+209.067,-208.044,-201.676,-5.16042,+208.497,-200.887,-200.885,-5.19109,-200.131,+207.846,-200.202,-6.09867,-6.01642,-7.72148,-7.2923,+205.289,+206.228,+205.23,-196.432,-7.76694,+203.385,-195.689,-7.99383,-8.08968,+203.56,+203.405
2019-04-21 00:06:00 GMT,+211.288,-208.054,+211.272,+209.069,+209.067,-208.044,-201.676,-5.16042,+208.497,-200.887,-200.885,-5.19109,-200.131,+207.846,-200.202,-6.09867,-6.01642,-7.72148,-7.2923,+205.289,+206.228,+205.23,-196.432,-7.76694,+203.385,-195.689,-7.99383,-8.08968,+203.56,+203.405
2019-04-21 00:07:00 GMT,+211.288,-208.054,+211.272,+209.069,+209.067,-208.044,-201.676,-5.16042,+208.497,-200.887,-200.885,-5.19109,-200.131,+207.846,-200.202,-6.09867,-6.01642,-7.72148,-7.2923,+205.289,+206.228,+205.23,-196.432,-7.76694,+203.385,-195.689,-7.99383,-8.08968,+203.56,+203.405
2019-04-21 00:08:00 GMT,+211.288,-208.054,+211.272,+209.069,+209.067,-208.044,-201.676,-5.16042,+208.497,-200.887,-200.885,-5.19109,-200.131,+207.846,-200.202,-6.09867,-6.01642,-7.72148,-7.2923,+205.289,+206.228,+205.23,-196.432,-7.76694,+203.385,-195.689,-7.99383,-8.08968,+203.56,+203.405
2019-04-21 00:09:00 GMT,+211.288,-208.054,+211.272,+209.069,+209.067,-208.044,-201.676,-5.16042,+208.497,-200.887,-200.885,-5.19109,-200.131,+207.846,-200.202,-6.09867,-6.01642,-7.72148,-7.2923,+205.289,+206.228,+205.23,-196.432,-7.76694,+203.385,-195.689,-7.99383,-8.08968,+203.56,+203.405
2019-04-21 00:10:00 GMT,+210.921,-207.712,+210.905,+208.522,+208.521,-207.702,-201.06,-5.26262,+207.883,-200.264,-200.263,-5.29419,-199.469,+207.191,-199.543,-6.24556,-6.15845,-7.92234,-7.47794,+204.476,+205.474,+204.416,-195.573,-7.96898,+202.438,-194.773,-8.1983,-8.2968,+202.624,+202.46
2019-04-21 00:11:00 GMT,+210.921,-207.712,+210.905,+208.522,+208.521,-207.702,-201.06,-5.26262,+207.883,-200.264,-200.263,-5.29419,-199.469,+207.191,-199.543,-6.24556,-6.15845,-7.92234,-7.47794,+204.476,+205.474,+204.416,-195.573,-7.96898,+202.438,-194.773,-8.1983,-8.2968,+202.624,+202.46
2019-04-21 00:12:00 GMT,+210.921,-207.712,+210.905,+208.522,+208.521,-207.702,-201.06,-5.26262,+207.883,-200.264,-200.263,-5.29419,-199.469,+207.191,-199.543,-6.24556,-6.15845,-7.92234,-7.47794,+204.476,+205.474,+204.416,-195.573,-7.96898,+202.438,-194.773,-8.1983,-8.2968,+202.624,+202.46
2019-04-21 00:13:00 GMT,+210.921,-207.712,+210.905,+208.522,+208.521,-207.702,-201.06,-5.26262,+207.883,-200.264,-200.263,-5.29419,-199.469,+207.191,-199.543,-6.24556,-6.15845,-7.92234,-7.47794,+204.476,+205.474,+204.416,-195.573,-7.96898,+202.438,-194.773,-8.1983,-8.2968,+202.624,+202.46
2019-04-21 00:14:00 GMT,+210.921,-207.712,+210.905,+208.522,+208.521,-207.702,-201.06,-5.26262,+207.883,-200.264,-200.263,-5.29419,-199.469,+207.191,-199.543,-6.24556,-6.15845,-7.92234,-7.47794,+204.476,+205.474,+204.416,-195.573,-7.96898,+202.438,-194.773,-8.1983,-8.2968,+202.624,+202.46
2019-04-21 00:15:00 GMT,+210.688,-207.487,+210.673,+208.189,+208.188,-207.476,-200.668,-5.3721,+207.512,-199.869,-199.869,-5.40415,-199.052,+206.796,-199.128,-6.38934,-6.29864,-8.11201,-7.6551,+203.988,+205.023,+203.927,-195.033,-8.15984,+201.844,-194.206,-8.39231,-8.49262,+202.038,+201.867
