# file...... output/voltage2.csv
# date...... Fri May  6 17:40:23 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD31:voltage_A.real, LOAD32:voltage_C.real, LOAD33:voltage_C.real, LOAD34:voltage_A.real, LOAD35:voltage_B.real, LOAD36:voltage_B.real, LOAD37:voltage_B.real, LOAD38:voltage_B.real, LOAD39:voltage_C.real, LOAD40:voltage_B.real, LOAD41:voltage_B.real, LOAD42:voltage_C.real, LOAD43:voltage_C.real, LOAD44:voltage_B.real, LOAD45:voltage_B.real, LOAD46:voltage_A.real, LOAD47:voltage_C.real, LOAD48:voltage_A.real, LOAD49:voltage_A.real, LOAD50:voltage_B.real, LOAD51:voltage_A.real, LOAD52:voltage_A.real, LOAD53:voltage_B.real, LOAD54:voltage_A.real, LOAD55:voltage_A.real
2019-04-21 00:00:00 GMT,+206.201,-7.88583,-7.73833,+206.381,-193.724,-193.57,-193.538,-197.033,-8.01088,-196.284,-195.509,-7.93106,-7.81845,-197.827,-195.523,+207.919,-7.80397,+207.939,+207.906,-194.558,+208.09,+208.018,-194.523,+208.041,+208.017
2019-04-21 00:01:00 GMT,+206.203,-7.89982,-7.75342,+206.383,-193.708,-193.555,-193.522,-197.02,-8.02532,-196.27,-195.495,-7.94551,-7.83375,-197.814,-195.508,+207.923,-7.81927,+207.943,+207.91,-194.543,+208.094,+208.022,-194.508,+208.045,+208.022
2019-04-21 00:02:00 GMT,+206.337,-7.94591,-7.80008,+206.512,-193.801,-193.648,-193.615,-197.105,-8.0725,-196.359,-195.588,-7.99276,-7.88281,-197.896,-195.601,+208.056,-7.86833,+208.076,+208.042,-194.64,+208.231,+208.165,-194.605,+208.182,+208.164
2019-04-21 00:03:00 GMT,+206.398,-7.96716,-7.82161,+206.571,-193.843,-193.69,-193.657,-197.144,-8.09425,-196.399,-195.63,-8.01454,-7.90543,-197.934,-195.643,+208.116,-7.89095,+208.136,+208.103,-194.684,+208.293,+208.23,-194.649,+208.244,+208.229
2019-04-21 00:04:00 GMT,+206.564,-8.02445,-7.87962,+206.732,-193.957,-193.805,-193.773,-197.249,-8.15291,-196.508,-195.745,-8.07327,-7.96642,-198.036,-195.759,+208.281,-7.95195,+208.301,+208.268,-194.805,+208.462,+208.407,-194.77,+208.414,+208.406
2019-04-21 00:05:00 GMT,+205.408,-8.26021,-8.12618,+205.593,-192.641,-192.503,-192.473,-196.013,-8.39971,-195.206,-194.341,-8.32083,-8.2138,-196.842,-194.358,+207.205,-8.19835,+207.226,+207.188,-193.316,+207.386,+207.326,-193.278,+207.333,+207.325
2019-04-21 00:06:00 GMT,+205.462,-8.27868,-8.14488,+205.645,-192.679,-192.541,-192.511,-196.048,-8.41862,-195.242,-194.379,-8.33976,-8.23346,-196.875,-194.395,+207.258,-8.21801,+207.279,+207.242,-193.355,+207.441,+207.384,-193.317,+207.388,+207.382
2019-04-21 00:07:00 GMT,+205.52,-8.29853,-8.16498,+205.701,-192.719,-192.581,-192.551,-196.085,-8.43894,-195.28,-194.42,-8.36011,-8.2546,-196.911,-194.436,+207.316,-8.23915,+207.337,+207.299,-193.397,+207.5,+207.445,-193.359,+207.447,+207.444
2019-04-21 00:08:00 GMT,+205.584,-8.32027,-8.187,+205.762,-192.762,-192.625,-192.595,-196.125,-8.4612,-195.322,-194.464,-8.3824,-8.27775,-196.95,-194.48,+207.379,-8.26231,+207.4,+207.362,-193.444,+207.565,+207.513,-193.406,+207.512,+207.512
2019-04-21 00:09:00 GMT,+205.642,-8.34016,-8.20714,+205.818,-192.802,-192.665,-192.635,-196.162,-8.48156,-195.36,-194.504,-8.40278,-8.29892,-196.986,-194.52,+207.436,-8.28348,+207.457,+207.42,-193.486,+207.624,+207.574,-193.448,+207.571,+207.573
2019-04-21 00:10:00 GMT,+204.735,-8.53703,-8.41602,+204.926,-191.793,-191.666,-191.638,-195.201,-8.68709,-194.344,-193.403,-8.6093,-8.50561,-196.057,-193.422,+206.593,-8.48942,+206.615,+206.574,-192.314,+206.782,+206.729,-192.274,+206.725,+206.728
2019-04-21 00:11:00 GMT,+204.787,-8.55462,-8.43384,+204.976,-191.829,-191.702,-191.674,-195.234,-8.7051,-194.378,-193.439,-8.62734,-8.52435,-196.089,-193.458,+206.645,-8.50816,+206.666,+206.625,-192.352,+206.835,+206.785,-192.311,+206.778,+206.783
2019-04-21 00:12:00 GMT,+204.842,-8.57343,-8.45288,+205.029,-191.867,-191.741,-191.712,-195.269,-8.72436,-194.415,-193.478,-8.64662,-8.54437,-196.123,-193.497,+206.699,-8.52819,+206.721,+206.68,-192.392,+206.891,+206.843,-192.352,+206.834,+206.842
2019-04-21 00:13:00 GMT,+204.902,-8.59383,-8.47355,+205.087,-191.908,-191.782,-191.754,-195.308,-8.74525,-194.455,-193.52,-8.66753,-8.5661,-196.161,-193.539,+206.759,-8.54992,+206.78,+206.74,-192.436,+206.952,+206.907,-192.396,+206.895,+206.906
2019-04-21 00:14:00 GMT,+204.961,-8.61376,-8.49373,+205.144,-191.949,-191.823,-191.795,-195.345,-8.76565,-194.493,-193.561,-8.68797,-8.58733,-196.197,-193.579,+206.817,-8.57115,+206.838,+206.798,-192.479,+207.012,+206.969,-192.438,+206.955,+206.968
2019-04-21 00:15:00 GMT,+204.275,-8.75631,-8.64878,+204.468,-191.227,-191.108,-191.081,-194.641,-8.91443,-193.746,-192.746,-8.83795,-8.73779,-195.515,-192.766,+206.177,-8.72108,+206.199,+206.155,-191.607,+206.373,+206.329,-191.564,+206.313,+206.327
2019-04-21 00:16:00 GMT,+204.332,-8.77553,-8.66823,+204.524,-191.267,-191.148,-191.121,-194.678,-8.9341,-193.784,-192.786,-8.85765,-8.75825,-195.551,-192.806,+206.233,-8.74155,+206.255,+206.212,-191.649,+206.431,+206.39,-191.606,+206.371,+206.388
2019-04-21 00:17:00 GMT,+204.389,-8.79466,-8.68761,+204.578,-191.306,-191.188,-191.16,-194.714,-8.95369,-193.821,-192.825,-8.87727,-8.77863,-195.586,-192.846,+206.289,-8.76193,+206.311,+206.268,-191.69,+206.489,+206.45,-191.648,+206.429,+206.448
2019-04-21 00:18:00 GMT,+204.453,-8.81621,-8.70943,+204.64,-191.35,-191.232,-191.204,-194.754,-8.97575,-193.864,-192.87,-8.89935,-8.80157,-195.625,-192.89,+206.352,-8.78488,+206.374,+206.331,-191.736,+206.554,+206.518,-191.694,+206.494,+206.516
2019-04-21 00:19:00 GMT,+204.515,-8.83733,-8.73081,+204.7,-191.393,-191.275,-191.248,-194.794,-8.99737,-193.905,-192.913,-8.921,-8.82407,-195.664,-192.934,+206.414,-8.80738,+206.436,+206.393,-191.782,+206.617,+206.584,-191.74,+206.558,+206.582
2019-04-21 00:20:00 GMT,+204.066,-8.93096,-8.83719,+204.259,-190.973,-190.858,-190.831,-194.36,-9.09494,-193.44,-192.398,-9.02001,-8.92413,-195.243,-192.42,+205.992,-8.90715,+206.014,+205.969,-191.224,+206.198,+206.164,-191.181,+206.136,+206.162
2019-04-21 00:21:00 GMT,+204.123,-8.9476,-8.85394,+204.313,-191.009,-190.894,-190.867,-194.394,-9.11199,-193.474,-192.435,-9.03707,-8.94187,-195.275,-192.457,+206.048,-8.92489,+206.07,+206.025,-191.263,+206.255,+206.224,-191.22,+206.193,+206.222
2019-04-21 00:22:00 GMT,+204.161,-8.96032,-8.86683,+204.349,-191.035,-190.92,-190.893,-194.417,-9.12501,-193.499,-192.461,-9.05011,-8.95542,-195.298,-192.483,+206.085,-8.93844,+206.107,+206.062,-191.29,+206.293,+206.264,-191.247,+206.231,+206.262
2019-04-21 00:23:00 GMT,+204.217,-8.97915,-8.88589,+204.403,-191.074,-190.959,-190.932,-194.453,-9.14429,-193.536,-192.5,-9.06942,-8.97548,-195.333,-192.522,+206.14,-8.95851,+206.163,+206.117,-191.331,+206.35,+206.324,-191.288,+206.288,+206.321
2019-04-21 00:24:00 GMT,+204.263,-8.99471,-8.90164,+204.448,-191.106,-190.991,-190.964,-194.483,-9.16021,-193.566,-192.532,-9.08536,-8.99205,-195.362,-192.554,+206.186,-8.97508,+206.208,+206.163,-191.365,+206.397,+206.373,-191.322,+206.335,+206.37
2019-04-21 00:25:00 GMT,+204.05,-9.03552,-8.955,+204.239,-190.979,-190.864,-190.837,-194.312,-9.2025,-193.377,-192.31,-9.1293,-9.03741,-195.195,-192.333,+205.979,-9.02038,+206.002,+205.955,-191.114,+206.193,+206.17,-191.071,+206.13,+206.167
2019-04-21 00:26:00 GMT,+204.098,-9.04966,-8.96925,+204.286,-191.011,-190.896,-190.869,-194.341,-9.21697,-193.407,-192.342,-9.14378,-9.05244,-195.223,-192.365,+206.027,-9.03541,+206.05,+206.003,-191.148,+206.243,+206.222,-191.105,+206.18,+206.219
2019-04-21 00:27:00 GMT,+204.152,-9.06774,-8.98755,+204.338,-191.048,-190.933,-190.906,-194.376,-9.23548,-193.442,-192.38,-9.16232,-9.0717,-195.256,-192.403,+206.081,-9.05467,+206.103,+206.057,-191.187,+206.298,+206.279,-191.144,+206.234,+206.276
2019-04-21 00:28:00 GMT,+204.2,-9.08392,-9.00393,+204.384,-191.081,-190.967,-190.939,-194.406,-9.25205,-193.474,-192.413,-9.17891,-9.08894,-195.286,-192.436,+206.128,-9.07191,+206.15,+206.104,-191.222,+206.346,+206.33,-191.179,+206.283,+206.327
