# file...... output/Bus11_data.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,House11:base_power_A, Bus11:measured_power.real, inv_1:VA_Out.real, batt_inv_11:VA_Out.real
2019-09-30 00:00:00 GMT,+0,+4000,+0,-4000
2019-09-30 00:10:00 GMT,+12700,+9500,+0,+660
2019-09-30 00:20:00 GMT,+12300,+9180,+0,+660
2019-09-30 00:30:00 GMT,+12300,+9180,+0,+660
2019-09-30 00:40:00 GMT,+11700,+9360,+0,-0
2019-09-30 00:50:00 GMT,+11700,+9360,+0,-0
2019-09-30 01:00:00 GMT,+10800,+8640,+0,-0
2019-09-30 01:10:00 GMT,+10800,+8640,+0,-0
2019-09-30 01:20:00 GMT,+10100,+8080,+0,-0
2019-09-30 01:30:00 GMT,+10100,+8080,+0,-0
2019-09-30 01:40:00 GMT,+9500,+7600,+0,-0
2019-09-30 01:50:00 GMT,+9500,+7600,+0,-0
2019-09-30 02:00:00 GMT,+8100,+7000,+0,-520
2019-09-30 02:10:00 GMT,+8100,+7000,+0,-520
2019-09-30 02:20:00 GMT,+7700,+7000,+0,-840
2019-09-30 02:30:00 GMT,+7700,+7000,+0,-840
2019-09-30 02:40:00 GMT,+7400,+7000,+0,-1080
2019-09-30 02:50:00 GMT,+7400,+7000,+0,-1080
2019-09-30 03:00:00 GMT,+6700,+7000,+0,-1640
2019-09-30 03:10:00 GMT,+6700,+7000,+0,-1640
2019-09-30 03:20:00 GMT,+5800,+7000,+0,-2360
2019-09-30 03:30:00 GMT,+5800,+7000,+0,-2360
2019-09-30 03:40:00 GMT,+6300,+7400,+0,-2360
2019-09-30 03:50:00 GMT,+6300,+7400,+0,-2360
2019-09-30 04:00:00 GMT,+6500,+7560,+0,-2360
2019-09-30 04:10:00 GMT,+6500,+7560,+0,-2360
2019-09-30 04:20:00 GMT,+7000,+7960,+0,-2360
2019-09-30 04:30:00 GMT,+7000,+7960,+0,-2360
2019-09-30 04:40:00 GMT,+7100,+8040,+0,-2360
2019-09-30 04:50:00 GMT,+7100,+8040,+0,-2360
2019-09-30 05:00:00 GMT,+7200,+8120,+0,-2360
2019-09-30 05:10:00 GMT,+7200,+8120,+0,-2360
2019-09-30 05:20:00 GMT,+7200,+8120,+0,-2360
2019-09-30 05:30:00 GMT,+7200,+8120,+0,-2360
2019-09-30 05:40:00 GMT,+7300,+8200,+0,-2360
2019-09-30 05:50:00 GMT,+7300,+8200,+0,-2360
2019-09-30 06:00:00 GMT,+7800,+8600,+0,-2360
2019-09-30 06:10:00 GMT,+7800,+8600,+0,-2360
2019-09-30 06:20:00 GMT,+8500,+7000,+0,-200
2019-09-30 06:30:00 GMT,+8500,+7000,+0,-200
2019-09-30 06:40:00 GMT,+9100,+7480,+0,-200
2019-09-30 06:50:00 GMT,+9100,+7480,+0,-200
2019-09-30 07:00:00 GMT,+9500,+7800,+0,-200
2019-09-30 07:10:00 GMT,+9500,+7800,+0,-200
2019-09-30 07:20:00 GMT,+9600,+7880,+0,-200
2019-09-30 07:30:00 GMT,+9600,+7880,+0,-200
2019-09-30 07:40:00 GMT,+9900,+8120,+0,-200
2019-09-30 07:50:00 GMT,+9900,+8120,+0,-200
2019-09-30 08:00:00 GMT,+10200,+8360,+0,-200
2019-09-30 08:10:00 GMT,+10200,+8360,+0,-200
2019-09-30 08:20:00 GMT,+10500,+8600,+0,-200
2019-09-30 08:30:00 GMT,+10500,+8600,+0,-200
2019-09-30 08:40:00 GMT,+10600,+8680,+0,-200
2019-09-30 08:50:00 GMT,+10600,+8680,+0,-200
2019-09-30 09:00:00 GMT,+10600,+8680,+0,-200
2019-09-30 09:10:00 GMT,+10600,+8680,+0,-200
2019-09-30 09:20:00 GMT,+10600,+8680,+0,-200
2019-09-30 09:30:00 GMT,+10600,+8680,+0,-200
2019-09-30 09:40:00 GMT,+10800,+8840,+0,-200
2019-09-30 09:50:00 GMT,+10800,+8840,+0,-200
2019-09-30 10:00:00 GMT,+11100,+8880,+0,-0
2019-09-30 10:10:00 GMT,+11100,+8880,+0,-0
2019-09-30 10:20:00 GMT,+11500,+9200,+0,-0
2019-09-30 10:30:00 GMT,+11500,+9200,+0,-0
2019-09-30 10:40:00 GMT,+11900,+9500,+0,+20
2019-09-30 10:50:00 GMT,+11900,+9500,+0,+20
2019-09-30 11:00:00 GMT,+12000,+9500,+0,+100
2019-09-30 11:10:00 GMT,+12000,+9500,+0,+100
2019-09-30 11:20:00 GMT,+12200,+9500,+0,+260
2019-09-30 11:30:00 GMT,+12200,+9500,+0,+260
2019-09-30 11:40:00 GMT,+12300,+9500,+0,+340
2019-09-30 11:50:00 GMT,+12300,+9500,+0,+340
2019-09-30 12:00:00 GMT,+12800,+9500,+0,+740
2019-09-30 12:10:00 GMT,+12800,+9500,+0,+740
2019-09-30 12:20:00 GMT,+13500,+9500,+0,+1300
2019-09-30 12:30:00 GMT,+13500,+9500,+0,+1300
2019-09-30 12:40:00 GMT,+13900,+9500,+0,+1620
2019-09-30 12:50:00 GMT,+13900,+9500,+0,+1620
2019-09-30 13:00:00 GMT,+14200,+9500,+0,+1860
2019-09-30 13:10:00 GMT,+14200,+9500,+0,+1860
2019-09-30 13:20:00 GMT,+14700,+9500,+0,+2260
2019-09-30 13:30:00 GMT,+14700,+9500,+0,+2260
2019-09-30 13:40:00 GMT,+14900,+9500,+0,+2420
2019-09-30 13:50:00 GMT,+14900,+9500,+0,+2420
2019-09-30 14:00:00 GMT,+15100,+9500,+0,+2580
2019-09-30 14:10:00 GMT,+15100,+9500,+0,+2580
2019-09-30 14:20:00 GMT,+15200,+9500,+0,+2660
2019-09-30 14:30:00 GMT,+15200,+9500,+0,+2660
2019-09-30 14:40:00 GMT,+15600,+9500,+0,+2980
2019-09-30 14:50:00 GMT,+15600,+9500,+0,+2980
2019-09-30 15:00:00 GMT,+14300,+9500,+0,+1940
2019-09-30 15:10:00 GMT,+14300,+9500,+0,+1940
2019-09-30 15:20:00 GMT,+14000,+9260,+0,+1940
2019-09-30 15:30:00 GMT,+14000,+9260,+0,+1940
2019-09-30 15:40:00 GMT,+13000,+9500,+0,+900
2019-09-30 15:50:00 GMT,+13000,+9500,+0,+900
2019-09-30 16:00:00 GMT,+12400,+9500,+0,+420
2019-09-30 16:10:00 GMT,+12400,+9500,+0,+420
2019-09-30 16:20:00 GMT,+11800,+9440,+0,-0
2019-09-30 16:30:00 GMT,+11800,+9440,+0,-0
2019-09-30 16:40:00 GMT,+11200,+8960,+0,-0
2019-09-30 16:50:00 GMT,+11200,+8960,+0,-0
2019-09-30 17:00:00 GMT,+10900,+8720,+0,-0
2019-09-30 17:10:00 GMT,+10900,+8720,+0,-0
2019-09-30 17:20:00 GMT,+10700,+8560,+0,-0
2019-09-30 17:30:00 GMT,+10700,+8560,+0,-0
2019-09-30 17:40:00 GMT,+10300,+8240,+0,-0
2019-09-30 17:50:00 GMT,+10300,+8240,+0,-0
2019-09-30 18:00:00 GMT,+10300,+8240,+0,-0
2019-09-30 18:10:00 GMT,+10300,+8240,+0,-0
2019-09-30 18:20:00 GMT,+10400,+8320,+0,-0
2019-09-30 18:30:00 GMT,+10400,+8320,+0,-0
2019-09-30 18:40:00 GMT,+10500,+8400,+0,-0
2019-09-30 18:50:00 GMT,+10500,+8400,+0,-0
