# file...... output/Bus13_data.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,House13:base_power_A, Bus13:measured_power.real, inv_13_sol:VA_Out.real, inv_13_batt:VA_Out.real
2019-09-30 00:00:00 GMT,+0,+3999.12,+0.882885,-4000
2019-09-30 00:10:00 GMT,+12700,+9499.27,+0.734183,+660
2019-09-30 00:20:00 GMT,+12300,+9180,+0,+660
2019-09-30 00:30:00 GMT,+12300,+9179.13,+0.868174,+660
2019-09-30 00:40:00 GMT,+11700,+9356.77,+3.23449,-0
2019-09-30 00:50:00 GMT,+11700,+9358.51,+1.49287,-0
2019-09-30 01:00:00 GMT,+10800,+8640,+0,-0
2019-09-30 01:10:00 GMT,+10800,+8640,+0,-0
2019-09-30 01:20:00 GMT,+10100,+8079.68,+0.316506,-0
2019-09-30 01:30:00 GMT,+10100,+8079.5,+0.497653,-0
2019-09-30 01:40:00 GMT,+9500,+7600,+0,-0
2019-09-30 01:50:00 GMT,+9500,+7600,+0,-0
2019-09-30 02:00:00 GMT,+8100,+7000,+1.24414,-521.244
2019-09-30 02:10:00 GMT,+8100,+7019.53,+1.12288,-540.651
2019-09-30 02:20:00 GMT,+7700,+7000,+1.99066,-841.991
2019-09-30 02:30:00 GMT,+7700,+7002.49,+0,-842.488
2019-09-30 02:40:00 GMT,+7400,+7000,+0.911817,-1080.91
2019-09-30 02:50:00 GMT,+7400,+7005.79,+0,-1085.79
2019-09-30 03:00:00 GMT,+6700,+7000,+0,-1640
2019-09-30 03:10:00 GMT,+6700,+7002.49,+0.497684,-1642.99
2019-09-30 03:20:00 GMT,+5800,+7000,+0,-2360
2019-09-30 03:30:00 GMT,+5800,+7006.22,+0,-2366.22
2019-09-30 03:40:00 GMT,+6300,+7405.32,+2.14015,-2367.46
2019-09-30 03:50:00 GMT,+6300,+7407.46,+0,-2367.46
2019-09-30 04:00:00 GMT,+6500,+7567.46,+0,-2367.46
2019-09-30 04:10:00 GMT,+6500,+7566.22,+1.24416,-2367.46
2019-09-30 04:20:00 GMT,+7000,+7967.46,+1.74234e-06,-2367.46
2019-09-30 04:30:00 GMT,+7000,+7967.46,+0,-2367.46
2019-09-30 04:40:00 GMT,+7100,+8046.97,+0.497663,-2367.46
2019-09-30 04:50:00 GMT,+7100,+8047.46,+0,-2367.46
2019-09-30 05:00:00 GMT,+7200,+8127.46,+0,-2367.46
2019-09-30 05:10:00 GMT,+7200,+8127.46,+0,-2367.46
2019-09-30 05:20:00 GMT,+7200,+8127.46,+0,-2367.46
2019-09-30 05:30:00 GMT,+7200,+8127.46,+0,-2367.46
2019-09-30 05:40:00 GMT,+7300,+8195.62,+11.8484,-2367.46
2019-09-30 05:50:00 GMT,+7300,+8138.99,+68.4753,-2367.46
2019-09-30 06:00:00 GMT,+7800,+8359.21,+248.276,-2367.46
2019-09-30 06:10:00 GMT,+7800,+8125.96,+481.501,-2367.46
2019-09-30 06:20:00 GMT,+8500,+8374.3,+793.167,-2367.46
2019-09-30 06:30:00 GMT,+8500,+7941.31,+1226.15,-2367.46
2019-09-30 06:40:00 GMT,+9100,+8029.26,+1618.21,-2367.46
2019-09-30 06:50:00 GMT,+9100,+7301.79,+2828.72,-2850.45
2019-09-30 07:00:00 GMT,+9500,+7643.82,+3956.72,-4000
2019-09-30 07:10:00 GMT,+9500,+8661.09,+2938.98,-4000
2019-09-30 07:20:00 GMT,+9600,-1897.36,+13577.6,-4000
2019-09-30 07:30:00 GMT,+9600,-2826.14,+14504.8,-4000
2019-09-30 07:40:00 GMT,+9900,-1859.35,+13782,-4000
2019-09-30 07:50:00 GMT,+9900,-378.124,+12299,-4000
2019-09-30 08:00:00 GMT,+10200,-1839.34,+14001,-4000
2019-09-30 08:10:00 GMT,+10200,+1696.09,+10463,-4000
2019-09-30 08:20:00 GMT,+10500,+4305.21,+8095.8,-4000
2019-09-30 08:30:00 GMT,+10500,+7465.77,+1890.83,-956.593
2019-09-30 08:40:00 GMT,+10600,+8173.46,+2166.58,-1859.96
2019-09-30 08:50:00 GMT,+10600,+8359.3,+4120.83,-4000
2019-09-30 09:00:00 GMT,+10600,+7684.61,+2721.43,-1925.9
2019-09-30 09:10:00 GMT,+10600,+7997.54,+2408.38,-1925.9
2019-09-30 09:20:00 GMT,+10600,+6615.42,+5864.6,-4000
2019-09-30 09:30:00 GMT,+10600,-13335.1,+25814.8,-4000
2019-09-30 09:40:00 GMT,+10800,-8913.2,+21554.1,-4000
