# file...... output/bill_data.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,Bus12:monthly_bill, Bus12:price
2019-09-30 00:00:00 GMT,+0,+3.5
2019-09-30 01:00:00 GMT,+28.5556,+3
2019-09-30 02:00:00 GMT,+57.0415,+3
2019-09-30 03:00:00 GMT,+85.528,+3
2019-09-30 04:00:00 GMT,+114.018,+3
2019-09-30 05:00:00 GMT,+142.509,+3
2019-09-30 06:00:00 GMT,+170.864,+3
2019-09-30 07:00:00 GMT,+193.438,+3
2019-09-30 08:00:00 GMT,+149.768,+3
2019-09-30 09:00:00 GMT,+144.837,+3
2019-09-30 10:00:00 GMT,+68.7513,+3
2019-09-30 11:00:00 GMT,-6.88115,+3
2019-09-30 12:00:00 GMT,-110.843,+3
2019-09-30 13:00:00 GMT,-160.104,+4
2019-09-30 14:00:00 GMT,-130.131,+4
2019-09-30 15:00:00 GMT,-114.338,+3.5
2019-09-30 16:00:00 GMT,-158.998,+3.5
2019-09-30 17:00:00 GMT,-126.537,+4
2019-09-30 18:00:00 GMT,-88.7563,+4
2019-09-30 19:00:00 GMT,-50.7791,+4
2019-09-30 20:00:00 GMT,-12.7928,+4
2019-09-30 21:00:00 GMT,+25.1953,+4
2019-09-30 22:00:00 GMT,+63.1836,+4
2019-09-30 23:00:00 GMT,+101.162,+4
