# file...... output/compare.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,Bus13:measured_real_energy, Bus22:measured_real_energy
2019-09-30 00:00:00 GMT,+0,+0
2019-09-30 00:10:00 GMT,+1491.54,+1907.28
2019-09-30 00:20:00 GMT,+3073.85,+3192.69
2019-09-30 00:30:00 GMT,+4603.67,+4413.38
2019-09-30 00:40:00 GMT,+6133.31,+5632.63
2019-09-30 00:50:00 GMT,+7692.39,+6749.09
2019-09-30 01:00:00 GMT,+9252.16,+7866.36
2019-09-30 01:10:00 GMT,+10692,+9608.06
2019-09-30 01:20:00 GMT,+12131.8,+11432.3
2019-09-30 01:30:00 GMT,+13478.2,+13187.9
2019-09-30 01:40:00 GMT,+14824.2,+14945.8
2019-09-30 01:50:00 GMT,+16090.6,+16648.4
2019-09-30 02:00:00 GMT,+17356.9,+18353.5
2019-09-30 02:10:00 GMT,+18525.8,+19950.7
2019-09-30 02:20:00 GMT,+19695.7,+21548.5
2019-09-30 02:30:00 GMT,+20862.6,+23121.1
2019-09-30 02:40:00 GMT,+22029.6,+24693.5
2019-09-30 02:50:00 GMT,+23196.9,+26248.8
2019-09-30 03:00:00 GMT,+24364.3,+27803.9
2019-09-30 03:10:00 GMT,+25531,+29328.4
2019-09-30 03:20:00 GMT,+26698.2,+30852.4
2019-09-30 03:30:00 GMT,+27865.1,+32360.3
2019-09-30 03:40:00 GMT,+29032.6,+33867.9
2019-09-30 03:50:00 GMT,+30266.8,+35386.1
2019-09-30 04:00:00 GMT,+31501.3,+36898.1
2019-09-30 04:10:00 GMT,+32762.1,+38416.5
2019-09-30 04:20:00 GMT,+34023,+39932.5
2019-09-30 04:30:00 GMT,+35350.9,+41471.3
2019-09-30 04:40:00 GMT,+36678.6,+43004.7
2019-09-30 04:50:00 GMT,+38019.8,+44543.4
2019-09-30 05:00:00 GMT,+39360.9,+46080.9
2019-09-30 05:10:00 GMT,+40715.5,+47623.8
2019-09-30 05:20:00 GMT,+42069.9,+49165.6
2019-09-30 05:30:00 GMT,+43424.4,+50707.1
2019-09-30 05:40:00 GMT,+44779,+52248.5
2019-09-30 05:50:00 GMT,+46141.7,+53790.2
2019-09-30 06:00:00 GMT,+47487,+55313.5
2019-09-30 06:10:00 GMT,+48863.9,+56833.8
2019-09-30 06:20:00 GMT,+50193.3,+58302.5
2019-09-30 06:30:00 GMT,+51559.5,+59762.2
2019-09-30 06:40:00 GMT,+52851,+61147.1
2019-09-30 06:50:00 GMT,+54119.1,+62463.3
2019-09-30 07:00:00 GMT,+55291.9,+63505.7
2019-09-30 07:10:00 GMT,+56496.4,+64479.9
2019-09-30 07:20:00 GMT,+57065.6,+64816.8
2019-09-30 07:30:00 GMT,+57054.8,+64569.4
2019-09-30 07:40:00 GMT,+56492.2,+63769.5
2019-09-30 07:50:00 GMT,+55938.8,+62966.7
2019-09-30 08:00:00 GMT,+55442.7,+62219.7
2019-09-30 08:10:00 GMT,+55499.7,+62014.4
2019-09-30 08:20:00 GMT,+56255.2,+62552.5
2019-09-30 08:30:00 GMT,+57383.6,+63761.5
2019-09-30 08:40:00 GMT,+58612.1,+65079.2
2019-09-30 08:50:00 GMT,+59969.6,+66442.8
2019-09-30 09:00:00 GMT,+60462.6,+66690.6
2019-09-30 09:10:00 GMT,+61778.8,+68072.6
2019-09-30 09:20:00 GMT,+63047.1,+69332.4
2019-09-30 09:30:00 GMT,+61637.9,+67643.2
2019-09-30 09:40:00 GMT,+59850.4,+65575.5
2019-09-30 09:50:00 GMT,+58405.6,+63843.9
2019-09-30 10:00:00 GMT,+56557.2,+61707.8
2019-09-30 10:10:00 GMT,+55293.9,+60146.2
2019-09-30 10:20:00 GMT,+54870.7,+59424.5
2019-09-30 10:30:00 GMT,+53861.6,+57386
2019-09-30 10:40:00 GMT,+53908.7,+56322.7
2019-09-30 10:50:00 GMT,+54084.9,+55403.9
2019-09-30 11:00:00 GMT,+53913.6,+54137.6
2019-09-30 11:10:00 GMT,+54410.5,+53543.2
2019-09-30 11:20:00 GMT,+52475.4,+50517.1
2019-09-30 11:30:00 GMT,+50260.9,+47218.6
2019-09-30 11:40:00 GMT,+48703.1,+44576.9
2019-09-30 11:50:00 GMT,+47962.5,+42756
2019-09-30 12:00:00 GMT,+48027.2,+41740.7
2019-09-30 12:10:00 GMT,+47722.3,+40377.3
2019-09-30 12:20:00 GMT,+46355,+37952.8
2019-09-30 12:30:00 GMT,+46628.2,+37189
2019-09-30 12:40:00 GMT,+47857.5,+37593.5
2019-09-30 12:50:00 GMT,+49216.9,+38498.7
2019-09-30 13:00:00 GMT,+50698,+39620.1
2019-09-30 13:10:00 GMT,+52096.3,+40666.3
2019-09-30 13:20:00 GMT,+53509.2,+41727
2019-09-30 13:30:00 GMT,+55083.1,+42972.3
2019-09-30 13:40:00 GMT,+56626.2,+44195.9
2019-09-30 13:50:00 GMT,+58205.7,+45506
2019-09-30 14:00:00 GMT,+59780.8,+47001.3
2019-09-30 14:10:00 GMT,+61348.8,+48515.2
2019-09-30 14:20:00 GMT,+62899.5,+49856.4
2019-09-30 14:30:00 GMT,+64347.9,+50975.8
2019-09-30 14:40:00 GMT,+65675.8,+51974.7
2019-09-30 14:50:00 GMT,+66947.5,+52926
2019-09-30 15:00:00 GMT,+68118.5,+53705
2019-09-30 15:10:00 GMT,+69215.8,+53887.3
2019-09-30 15:20:00 GMT,+68834,+52489.2
2019-09-30 15:30:00 GMT,+68323.5,+50955.7
2019-09-30 15:40:00 GMT,+68973.3,+50581.6
2019-09-30 15:50:00 GMT,+70161.7,+50865.5
2019-09-30 16:00:00 GMT,+71503,+51672.3
2019-09-30 16:10:00 GMT,+72763.2,+52529.3
2019-09-30 16:20:00 GMT,+74108.1,+53471
2019-09-30 16:30:00 GMT,+75428.1,+54367.2
2019-09-30 16:40:00 GMT,+76796.1,+55311.5
2019-09-30 16:50:00 GMT,+78128.2,+56199.5
2019-09-30 17:00:00 GMT,+79502.5,+57127.3
2019-09-30 17:10:00 GMT,+80875,+58785.5
2019-09-30 17:20:00 GMT,+82276.2,+60553.6
2019-09-30 17:30:00 GMT,+83677,+62328.2
2019-09-30 17:40:00 GMT,+85096.4,+64121.5
2019-09-30 17:50:00 GMT,+86468.2,+65881.6
2019-09-30 18:00:00 GMT,+87841.4,+67643.1
2019-09-30 18:10:00 GMT,+89214,+69404.1
2019-09-30 18:20:00 GMT,+90586.9,+71165.4
2019-09-30 18:30:00 GMT,+91973.3,+72936.8
2019-09-30 18:40:00 GMT,+93359.8,+74707.9
2019-09-30 18:50:00 GMT,+94759.3,+76488.7
2019-09-30 19:00:00 GMT,+96159.1,+78269.4
2019-09-30 19:10:00 GMT,+97585.4,+80070.3
2019-09-30 19:20:00 GMT,+99011.8,+81870.6
2019-09-30 19:30:00 GMT,+100451,+83680.9
2019-09-30 19:40:00 GMT,+101891,+85491
2019-09-30 19:50:00 GMT,+103371,+86602.5
2019-09-30 20:00:00 GMT,+104851,+87632
2019-09-30 20:10:00 GMT,+106384,+88728.8
2019-09-30 20:20:00 GMT,+107917,+89827.2
2019-09-30 20:30:00 GMT,+109500,+90993.4
2019-09-30 20:40:00 GMT,+111084,+92159.8
2019-09-30 20:50:00 GMT,+112667,+93426.2
2019-09-30 21:00:00 GMT,+114250,+94692.7
2019-09-30 21:10:00 GMT,+115833,+96024.8
