# file...... output/compare_bill.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,Bus13:monthly_bill, Bus22:monthly_bill
2019-09-30 00:00:00 GMT,+0,+0
2019-09-30 00:10:00 GMT,+4.50793,+6.09682
2019-09-30 00:20:00 GMT,+9.25489,+9.95306
2019-09-30 00:30:00 GMT,+13.8443,+13.6151
2019-09-30 00:40:00 GMT,+18.4333,+17.2729
2019-09-30 00:50:00 GMT,+23.1105,+20.6223
2019-09-30 01:00:00 GMT,+27.7898,+23.9741
2019-09-30 01:10:00 GMT,+32.1094,+29.1992
2019-09-30 01:20:00 GMT,+36.4287,+34.6718
2019-09-30 01:30:00 GMT,+40.4678,+39.9386
2019-09-30 01:40:00 GMT,+44.5058,+45.2123
2019-09-30 01:50:00 GMT,+48.3052,+50.3202
2019-09-30 02:00:00 GMT,+52.1042,+55.4355
2019-09-30 02:10:00 GMT,+55.6108,+60.2272
2019-09-30 02:20:00 GMT,+59.1204,+65.0204
2019-09-30 02:30:00 GMT,+62.6212,+69.7383
2019-09-30 02:40:00 GMT,+66.1222,+74.4555
2019-09-30 02:50:00 GMT,+69.6241,+79.1214
2019-09-30 03:00:00 GMT,+73.1263,+83.7867
2019-09-30 03:10:00 GMT,+76.6263,+88.3602
2019-09-30 03:20:00 GMT,+80.1279,+92.9322
2019-09-30 03:30:00 GMT,+83.6287,+97.456
2019-09-30 03:40:00 GMT,+87.1311,+101.979
2019-09-30 03:50:00 GMT,+90.8338,+106.533
2019-09-30 04:00:00 GMT,+94.5373,+111.069
2019-09-30 04:10:00 GMT,+98.3195,+115.624
2019-09-30 04:20:00 GMT,+102.102,+120.172
2019-09-30 04:30:00 GMT,+106.086,+124.789
2019-09-30 04:40:00 GMT,+110.069,+129.389
2019-09-30 04:50:00 GMT,+114.093,+134.005
2019-09-30 05:00:00 GMT,+118.116,+138.618
2019-09-30 05:10:00 GMT,+122.18,+143.246
2019-09-30 05:20:00 GMT,+126.243,+147.872
2019-09-30 05:30:00 GMT,+130.307,+152.496
2019-09-30 05:40:00 GMT,+134.37,+157.12
2019-09-30 05:50:00 GMT,+138.458,+161.746
2019-09-30 06:00:00 GMT,+142.494,+166.316
2019-09-30 06:10:00 GMT,+146.625,+170.876
2019-09-30 06:20:00 GMT,+150.613,+175.282
2019-09-30 06:30:00 GMT,+154.712,+179.662
2019-09-30 06:40:00 GMT,+158.586,+183.816
2019-09-30 06:50:00 GMT,+162.39,+187.765
2019-09-30 07:00:00 GMT,+165.909,+190.892
2019-09-30 07:10:00 GMT,+169.523,+193.815
2019-09-30 07:20:00 GMT,+171.23,+194.826
2019-09-30 07:30:00 GMT,+171.198,+194.083
2019-09-30 07:40:00 GMT,+169.51,+191.683
2019-09-30 07:50:00 GMT,+167.85,+189.275
2019-09-30 08:00:00 GMT,+166.362,+187.034
2019-09-30 08:10:00 GMT,+166.533,+186.418
2019-09-30 08:20:00 GMT,+168.799,+188.032
2019-09-30 08:30:00 GMT,+172.184,+191.659
2019-09-30 08:40:00 GMT,+175.87,+195.613
2019-09-30 08:50:00 GMT,+179.942,+199.703
2019-09-30 09:00:00 GMT,+181.421,+200.447
2019-09-30 09:10:00 GMT,+185.37,+204.593
2019-09-30 09:20:00 GMT,+189.175,+208.372
2019-09-30 09:30:00 GMT,+184.947,+203.305
2019-09-30 09:40:00 GMT,+179.584,+197.102
2019-09-30 09:50:00 GMT,+175.25,+191.907
2019-09-30 10:00:00 GMT,+169.705,+185.498
2019-09-30 10:10:00 GMT,+165.915,+180.814
2019-09-30 10:20:00 GMT,+164.645,+178.649
2019-09-30 10:30:00 GMT,+161.618,+172.533
2019-09-30 10:40:00 GMT,+161.759,+169.343
2019-09-30 10:50:00 GMT,+162.288,+166.587
2019-09-30 11:00:00 GMT,+161.774,+162.788
2019-09-30 11:10:00 GMT,+163.265,+161.005
2019-09-30 11:20:00 GMT,+157.46,+151.926
2019-09-30 11:30:00 GMT,+150.816,+142.031
2019-09-30 11:40:00 GMT,+146.143,+134.106
2019-09-30 11:50:00 GMT,+143.921,+128.643
2019-09-30 12:00:00 GMT,+144.115,+125.597
2019-09-30 12:10:00 GMT,+142.786,+120.14
2019-09-30 12:20:00 GMT,+137.316,+110.442
2019-09-30 12:30:00 GMT,+138.409,+107.387
2019-09-30 12:40:00 GMT,+143.326,+109.005
2019-09-30 12:50:00 GMT,+148.764,+112.626
2019-09-30 13:00:00 GMT,+154.688,+117.111
2019-09-30 13:10:00 GMT,+160.282,+121.296
2019-09-30 13:20:00 GMT,+165.933,+125.539
2019-09-30 13:30:00 GMT,+172.229,+130.52
2019-09-30 13:40:00 GMT,+178.401,+135.415
2019-09-30 13:50:00 GMT,+184.719,+140.655
2019-09-30 14:00:00 GMT,+191.02,+146.636
2019-09-30 14:10:00 GMT,+196.587,+152.012
2019-09-30 14:20:00 GMT,+202.014,+156.706
2019-09-30 14:30:00 GMT,+207.083,+160.624
2019-09-30 14:40:00 GMT,+211.731,+164.12
2019-09-30 14:50:00 GMT,+216.182,+167.449
2019-09-30 15:00:00 GMT,+220.281,+170.176
2019-09-30 15:10:00 GMT,+224.121,+170.814
2019-09-30 15:20:00 GMT,+222.785,+165.921
2019-09-30 15:30:00 GMT,+220.998,+160.553
2019-09-30 15:40:00 GMT,+223.272,+159.244
2019-09-30 15:50:00 GMT,+227.432,+160.238
2019-09-30 16:00:00 GMT,+232.126,+163.062
2019-09-30 16:10:00 GMT,+237.107,+166.449
2019-09-30 16:20:00 GMT,+242.487,+170.216
2019-09-30 16:30:00 GMT,+247.766,+173.801
2019-09-30 16:40:00 GMT,+253.238,+177.578
2019-09-30 16:50:00 GMT,+258.567,+181.13
2019-09-30 17:00:00 GMT,+264.064,+184.841
2019-09-30 17:10:00 GMT,+269.554,+191.474
2019-09-30 17:20:00 GMT,+275.159,+198.547
2019-09-30 17:30:00 GMT,+280.762,+205.645
2019-09-30 17:40:00 GMT,+286.44,+212.818
2019-09-30 17:50:00 GMT,+291.927,+219.859
2019-09-30 18:00:00 GMT,+297.419,+226.905
2019-09-30 18:10:00 GMT,+302.91,+233.949
2019-09-30 18:20:00 GMT,+308.402,+240.994
2019-09-30 18:30:00 GMT,+313.947,+248.079
2019-09-30 18:40:00 GMT,+319.493,+255.164
2019-09-30 18:50:00 GMT,+325.091,+262.287
2019-09-30 19:00:00 GMT,+330.69,+269.41
2019-09-30 19:10:00 GMT,+336.396,+276.613
2019-09-30 19:20:00 GMT,+342.101,+283.814
2019-09-30 19:30:00 GMT,+347.86,+291.056
2019-09-30 19:40:00 GMT,+353.619,+298.296
2019-09-30 19:50:00 GMT,+359.538,+302.742
2019-09-30 20:00:00 GMT,+365.458,+306.86
2019-09-30 20:10:00 GMT,+371.591,+311.247
2019-09-30 20:20:00 GMT,+377.723,+315.641
2019-09-30 20:30:00 GMT,+384.056,+320.306
2019-09-30 20:40:00 GMT,+390.389,+324.971
2019-09-30 20:50:00 GMT,+396.721,+330.037
2019-09-30 21:00:00 GMT,+403.054,+335.103
2019-09-30 21:10:00 GMT,+409.386,+340.432
2019-09-30 21:20:00 GMT,+415.719,+345.761
2019-09-30 21:30:00 GMT,+422.051,+351.35
2019-09-30 21:40:00 GMT,+428.384,+356.939
2019-09-30 21:50:00 GMT,+434.717,+362.912
2019-09-30 22:00:00 GMT,+441.049,+368.886
2019-09-30 22:10:00 GMT,+447.381,+375.174
2019-09-30 22:20:00 GMT,+453.712,+381.464
2019-09-30 22:30:00 GMT,+460.045,+388.005
2019-09-30 22:40:00 GMT,+466.376,+394.545
2019-09-30 22:50:00 GMT,+472.709,+401.397
2019-09-30 23:00:00 GMT,+479.041,+408.249
2019-09-30 23:10:00 GMT,+485.214,+414.917
2019-09-30 23:20:00 GMT,+491.386,+421.583
2019-09-30 23:30:00 GMT,+497.718,+427.935
2019-09-30 23:40:00 GMT,+504.05,+434.288
2019-09-30 23:50:00 GMT,+510.382,+439.682
