# file...... output/current_data.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,Bus11:measured_current_A.real, Bus12:measured_current_B.real,Bus13:measured_current_A.real
2019-09-30 00:00:00 GMT,+4.57816,-50.4842,+4.57714
2019-09-30 00:10:00 GMT,+18.8838,-50.4852,+18.886
2019-09-30 00:20:00 GMT,+18.2698,-50.4873,+18.2726
2019-09-30 00:30:00 GMT,+18.2698,-50.4848,+18.2716
2019-09-30 00:40:00 GMT,+18.1029,-50.4778,+18.1017
2019-09-30 00:50:00 GMT,+18.1029,-50.4829,+18.1037
2019-09-30 01:00:00 GMT,+16.7192,-50.4872,+16.7214
2019-09-30 01:10:00 GMT,+16.7192,-50.4872,+16.7214
2019-09-30 01:20:00 GMT,+15.642,-50.4863,+15.6435
2019-09-30 01:30:00 GMT,+15.642,-50.4857,+15.6433
2019-09-30 01:40:00 GMT,+14.718,-50.4872,+14.7196
2019-09-30 01:50:00 GMT,+14.718,-50.4872,+14.7196
2019-09-30 02:00:00 GMT,+13.1541,-50.4835,+13.1553
2019-09-30 02:10:00 GMT,+13.1541,-50.4838,+13.1777
2019-09-30 02:20:00 GMT,+12.9028,-50.4813,+12.9038
2019-09-30 02:30:00 GMT,+12.9027,-50.487,+12.9066
2019-09-30 02:40:00 GMT,+12.714,-50.4844,+12.715
2019-09-30 02:50:00 GMT,+12.714,-50.487,+12.7216
2019-09-30 03:00:00 GMT,+12.2731,-50.4869,+12.2739
2019-09-30 03:10:00 GMT,+12.2731,-50.4855,+12.2767
2019-09-30 03:20:00 GMT,+11.705,-50.4868,+11.7055
2019-09-30 03:30:00 GMT,+11.705,-50.4868,+11.7126
2019-09-30 03:40:00 GMT,+12.4783,-50.4806,+12.4851
2019-09-30 03:50:00 GMT,+12.4783,-50.4868,+12.4875
2019-09-30 04:00:00 GMT,+12.7875,-50.4868,+12.7968
2019-09-30 04:10:00 GMT,+12.7875,-50.4832,+12.7953
2019-09-30 04:20:00 GMT,+13.5602,-50.4868,+13.5696
2019-09-30 04:30:00 GMT,+13.5602,-50.4868,+13.5696
2019-09-30 04:40:00 GMT,+13.7147,-50.4853,+13.7235
2019-09-30 04:50:00 GMT,+13.7147,-50.4868,+13.7241
2019-09-30 05:00:00 GMT,+13.8692,-50.4868,+13.8786
2019-09-30 05:10:00 GMT,+13.8692,-50.4868,+13.8786
2019-09-30 05:20:00 GMT,+13.8692,-50.4868,+13.8786
2019-09-30 05:30:00 GMT,+13.8692,-50.4868,+13.8786
2019-09-30 05:40:00 GMT,+14.0237,-50.4525,+14.0195
2019-09-30 05:50:00 GMT,+14.0239,-50.2884,+13.9549
2019-09-30 06:00:00 GMT,+14.7961,-50.2724,+14.5212
2019-09-30 06:10:00 GMT,+14.7967,-50.0828,+14.2543
2019-09-30 06:20:00 GMT,+13.4048,-49.2322,+14.9817
2019-09-30 06:30:00 GMT,+13.4069,-47.9782,+14.4874
2019-09-30 06:40:00 GMT,+14.3332,-47.5908,+14.9645
2019-09-30 06:50:00 GMT,+14.3338,-47.972,+14.1308
2019-09-30 07:00:00 GMT,+14.9546,-44.7104,+14.7769
2019-09-30 07:10:00 GMT,+14.9492,-47.6528,+15.938
2019-09-30 07:20:00 GMT,+15.1607,-16.9688,+3.94214
2019-09-30 07:30:00 GMT,+15.1658,-14.285,+2.88336
2019-09-30 07:40:00 GMT,+15.6258,-16.4102,+4.171
2019-09-30 07:50:00 GMT,+15.6176,-20.6571,+5.86505
2019-09-30 08:00:00 GMT,+16.0909,-15.7673,+4.385
2019-09-30 08:10:00 GMT,+16.0705,-25.9143,+8.42769
2019-09-30 08:20:00 GMT,+16.5196,-32.7584,+11.5932
2019-09-30 08:30:00 GMT,+16.4915,-48.2679,+15.1926
2019-09-30 08:40:00 GMT,+16.642,-49.8894,+16.0631
2019-09-30 08:50:00 GMT,+16.65,-44.2334,+16.2839
2019-09-30 09:00:00 GMT,+16.6452,-48.2838,+15.5053
2019-09-30 09:10:00 GMT,+16.6433,-49.1886,+15.8626
2019-09-30 09:20:00 GMT,+16.6604,-39.1904,+14.294
2019-09-30 09:30:00 GMT,+16.7796,+18.0391,-8.50939
2019-09-30 09:40:00 GMT,+17.064,+5.87815,-3.32348
2019-09-30 09:50:00 GMT,+17.0686,+8.10032,-4.20016
2019-09-30 10:00:00 GMT,+17.3049,+8.48719,-3.90446
2019-09-30 10:10:00 GMT,+17.2791,-3.36519,+0.818788
2019-09-30 10:20:00 GMT,+17.8903,-6.55895,+2.73495
2019-09-30 10:30:00 GMT,+17.8876,-7.7572,+3.21178
2019-09-30 10:40:00 GMT,+18.4126,-37.8169,+15.7529
2019-09-30 10:50:00 GMT,+18.4097,-39.069,+16.247
2019-09-30 11:00:00 GMT,+18.4991,-27.4437,+11.8025
2019-09-30 11:10:00 GMT,+18.5869,+10.1172,-3.09035
2019-09-30 11:20:00 GMT,+18.7452,+23.4038,-8.19464
2019-09-30 11:30:00 GMT,+18.6207,-28.8693,+12.6178
2019-09-30 11:40:00 GMT,+18.7062,-19.0196,+8.92221
2019-09-30 11:50:00 GMT,+18.733,-7.91933,+4.48197
2019-09-30 12:00:00 GMT,+18.9808,-34.0406,+15.6458
2019-09-30 12:10:00 GMT,+19.1129,+19.3853,-5.48056
2019-09-30 12:20:00 GMT,+19.4801,-8.97838,+6.77667
2019-09-30 12:30:00 GMT,+19.4012,-41.5353,+16.5365
2019-09-30 12:40:00 GMT,+19.6463,-41.7917,+17.9789
2019-09-30 12:50:00 GMT,+19.6292,-49.8053,+18.9722
2019-09-30 13:00:00 GMT,+19.8192,-47.5925,+18.9584
2019-09-30 13:10:00 GMT,+19.8248,-45.7988,+17.8547
2019-09-30 13:20:00 GMT,+20.1236,-49.0921,+19.9191
2019-09-30 13:30:00 GMT,+20.1266,-47.592,+19.9279
2019-09-30 13:40:00 GMT,+20.2487,-47.9942,+20.251
2019-09-30 13:50:00 GMT,+20.2474,-48.6563,+20.2517
2019-09-30 14:00:00 GMT,+20.3687,-49.5767,+20.3731
2019-09-30 14:10:00 GMT,+20.3729,-47.7413,+20.1738
2019-09-30 14:20:00 GMT,+20.435,-47.5926,+20.1301
2019-09-30 14:30:00 GMT,+20.4431,-44.8178,+19.0025
2019-09-30 14:40:00 GMT,+20.6941,-43.0393,+18.9148
2019-09-30 14:50:00 GMT,+20.7007,-40.791,+18.0282
2019-09-30 15:00:00 GMT,+19.9085,-35.4935,+17.0443
2019-09-30 15:10:00 GMT,+19.9616,-15.024,+10.439
2019-09-30 15:20:00 GMT,+19.5357,-1.8504,+4.69124
2019-09-30 15:30:00 GMT,+19.4903,-18.7443,+11.4167
2019-09-30 15:40:00 GMT,+19.1203,-27.9031,+13.5247
2019-09-30 15:50:00 GMT,+19.0801,-45.7316,+18.0449
2019-09-30 16:00:00 GMT,+18.7058,-48.3827,+16.108
2019-09-30 16:10:00 GMT,+18.7057,-47.7424,+16.8492
2019-09-30 16:20:00 GMT,+18.2623,-48.8401,+16.3589
2019-09-30 16:30:00 GMT,+18.2603,-49.7134,+16.703
2019-09-30 16:40:00 GMT,+17.3395,-48.4039,+16.1035
2019-09-30 16:50:00 GMT,+17.338,-49.1269,+16.3886
2019-09-30 17:00:00 GMT,+16.875,-49.8745,+16.2215
2019-09-30 17:10:00 GMT,+16.8738,-50.4074,+16.4315
2019-09-30 17:20:00 GMT,+16.5658,-50.4872,+16.3114
2019-09-30 17:30:00 GMT,+16.5655,-50.4872,+16.468
2019-09-30 17:40:00 GMT,+15.9499,-50.4872,+15.9335
2019-09-30 17:50:00 GMT,+15.9499,-50.4732,+15.9463
2019-09-30 18:00:00 GMT,+15.9499,-50.4713,+15.9456
2019-09-30 18:10:00 GMT,+15.9499,-50.4872,+15.9518
2019-09-30 18:20:00 GMT,+16.1038,-50.4872,+16.1058
2019-09-30 18:30:00 GMT,+16.1038,-50.4735,+16.1004
2019-09-30 18:40:00 GMT,+16.2577,-50.4814,+16.2574
2019-09-30 18:50:00 GMT,+16.2577,-50.4814,+16.2574
2019-09-30 19:00:00 GMT,+16.5654,-50.4872,+16.5675
2019-09-30 19:10:00 GMT,+16.5654,-50.4872,+16.5675
2019-09-30 19:20:00 GMT,+16.7192,-50.4865,+16.7211
2019-09-30 19:30:00 GMT,+16.7192,-50.4872,+16.7214
2019-09-30 19:40:00 GMT,+17.1806,-50.4872,+17.1829
2019-09-30 19:50:00 GMT,+17.1806,-50.4857,+17.1823
2019-09-30 20:00:00 GMT,+17.7955,-50.4764,+17.7937
2019-09-30 20:10:00 GMT,+17.7955,-50.4872,+17.7979
2019-09-30 20:20:00 GMT,+18.3873,-50.48,+18.3899
2019-09-30 20:30:00 GMT,+18.3872,-50.4872,+18.3899
2019-09-30 20:40:00 GMT,+18.7598,-50.4873,+18.7627
2019-09-30 20:50:00 GMT,+18.7598,-50.4858,+18.7621
2019-09-30 21:00:00 GMT,+19.0078,-50.4866,+19.0109
2019-09-30 21:10:00 GMT,+19.0078,-50.4823,+19.0089
2019-09-30 21:20:00 GMT,+19.2555,-50.4874,+19.2589
2019-09-30 21:30:00 GMT,+19.2555,-50.4874,+19.2589
2019-09-30 21:40:00 GMT,+19.6266,-50.4875,+19.6303
2019-09-30 21:50:00 GMT,+19.6266,-50.4875,+19.6303
2019-09-30 22:00:00 GMT,+19.9354,-50.4774,+19.9394
2019-09-30 22:10:00 GMT,+19.9353,-50.4868,+19.9391
2019-09-30 22:20:00 GMT,+20.182,-50.4876,+20.1863
2019-09-30 22:30:00 GMT,+20.1821,-50.4768,+20.182
2019-09-30 22:40:00 GMT,+20.49,-50.4754,+20.4946
2019-09-30 22:50:00 GMT,+20.49,-50.4675,+20.4866
2019-09-30 23:00:00 GMT,+20.0309,-50.4862,+20.0347
2019-09-30 23:10:00 GMT,+20.0309,-50.4804,+20.0324
2019-09-30 23:20:00 GMT,+19.997,-50.4875,+20.0011
2019-09-30 23:30:00 GMT,+19.997,-50.4875,+20.0011
2019-09-30 23:40:00 GMT,+19.0698,-50.4873,+19.0729
2019-09-30 23:50:00 GMT,+19.0698,-50.4873,+19.0729
