# file...... output/generator_node.csv
# date...... Sun Nov 14 18:05:30 2021
# user...... root
# host...... gentoo
# target.... node 9
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA,current_A,current_B,current_C,power_A,power_B,power_C,measured_angle_A,measured_frequency_A,measured_angle_B,measured_frequency_B,measured_angle_C,measured_frequency_C,measured_frequency
2019-09-30 00:00:00 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:01 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:02 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:03 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:04 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:05 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:06 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:07 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:08 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
2019-09-30 00:00:09 GMT,+6345.44+0.00609625d,+6354.17-119.987d,+6353.11+119.981d,+10997.8+30.0322d,+11006.6-90.006d,+10995.9+149.973d,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0,+50,+0,+50,+0,+50,+50
